serial_interval;delay_distr
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
