t;serial_interval;delay_distr
0,00;0.04653485923726769;0.013005996262043629
1,00;0.0870645679970877;0.03004645144862535
2,00;0.11206077643817344;0.04467391280484335
3,00;0.11934593229534451;0.05547299602416379
4,00;0.11454033566501254;0.06242202677176952
5,00;0.10292237624521194;0.06601130344960394
6,00;0.08837543531019787;0.0668880743354384
7,00;0.07340392972354359;0.06569892857029666
8,00;0.05944126152205642;0.06302181200969607
9,00;0.04718115288412539;0.059341855084483114
10,00;0.036848747972925144;0.05504886352410035
11,00;0.028397304891685904;0.05044504374312593
12,00;0.021640276815890203;0.04575691023627221
13,00;0.016334404377010947;0.0411481844822162
14,00;0.012228465410723088;0.03673206920506547
15,00;0.009089308888731606;0.03258215808909988
16,00;0.0067136371140041895;0.028741724790385167
17,00;0.004931350622852548;0.025231394288358414
18,00;0.0036042672430812717;0.02205532893517436
19,00;0.0026226046867554587;0.019206116745624533
20,00;0.0019006519116306908;0.016668563073206893
21,00;0.0013724260809732103;0.014422578266168088
22,00;0.000987717942389832;0.012445334615704975
23,00;0.0007086919221513943;0.01071284252179191
24,00;0.0005070729647114192;0.009201072023774669
25,00;0.0003618820384733157;0.007886723629008439
26,00;0.0002576508463640881;0.006747732631528908
27,00;0.00018303715220135963;0.005763574141869074
28,00;0.00012976491722294092;0.0049154218056044465
29,00;9,18E+10;0.004186201452430985
30,00;6,49E+10;0.0035605713920427206
31,00;4,57E+11;0.0030248534398444114
32,00;3,22E+11;0.002566932709044299
33,00;2,26E+10;0.002176139459137141
34,00;1,59E+10;0.001843122632869192
35,00;1,11E+11;0.0015597218572948551
36,00;7,80E+09;0.0013188425755581467
37,00;5,46E+09;0.0011143373468758323
38,00;3,81E+10;0.0009408951700620861
39,00;2,66E+10;0.000793939819135718
40,00;1,86E+10;0.000669537562163097
41,00;1,29E+09;0.0005643142056938217
42,00;8,99E+08;0.00047538112004494884
43,00;6,25E+08;0.0004002697187506477
44,00;4,34E+08;0.00033687376050868864
45,00;3,02E+08;0.00028339879203561876
46,00;2,09E+09;0.00023831803997676894
47,00;1,45E+09;0.0002003340744836532
48,00;1,00E+09;0.00016834560109869168
49,00;6,95E+07;0.0001414187801319824
50,00;4,81E+08;0.00011876252190403624
51,00;3,33E+07;9,97E+09
52,00;2,30E+08;8,37E+10
53,00;1,59E+07;7,02E+10
54,00;1,10E+08;5,89E+10
55,00;7,55E+06;4,94E+10
56,00;5,21E+06;4,14E+09
57,00;3,59E+07;3,47E+10
58,00;2,47E+06;2,91E+11
59,00;1,70E+07;2,44E+11
60,00;1,17E+07;2,04E+11
61,00;8,06E+05;1,71E+10
62,00;5,54E+04;1,43E+10
63,00;3,81E+05;1,20E+11
64,00;2,62E+05;1,01E+11
65,00;1,80E+06;8,43E+08
66,00;1,23E+06;7,05E+09
67,00;8,46E+03;5,91E+09
68,00;5,81E+05;4,94E+09
69,00;3,98E+05;4,14E+09
70,00;2,73E+04;3,46E+09
71,00;1,87E+05;2,90E+09
72,00;1,28E+05;2,42E+09
73,00;8,78E+03;2,03E+10
74,00;6,01E+03;1,70E+09
75,00;4,12E+03;1,42E+10
76,00;2,82E+04;1,19E+09
77,00;1,93E+03;9,93E+08
78,00;1,32E+04;8,30E+08
79,00;9,01E+02;6,94E+08
80,00;6,16E+02;5,80E+08
81,00;4,21E+02;4,85E+08
82,00;2,88E+03;4,06E+08
83,00;1,97E+03;3,39E+08
84,00;1,34E+03;2,84E+09
85,00;9,17E+01;2,37E+09
86,00;6,26E+01;1,98E+09
