t;serial_interval;delay_distr
87,00;4,26E+01;1,66E+08
88,00;2,92E+01;1,38E+09
89,00;1,99E+02;1,16E+08
90,00;1,35E+01;9,67E+07
91,00;9,33E+00;8,08E+07
92,00;6,22E+00;6,75E+07
93,00;4,33E+01;5,64E+08
94,00;3,00E+01;4,72E+08
95,00;2,00E+01;3,94E+07
96,00;1,33E+01;3,29E+07
97,00;8,88E-01;2,75E+08
98,00;6,66E-01;2,30E+08
99,00;4,44E-01;1,92E+07
100,00;2,22E-01;1,60E+08
101,00;2,22E-01;1,34E+07
102,00;1,11E+00;1,12E+08
103,00;1,11E+00;9,36E+05
104,00;1,11E+00;7,82E+06
105,00;0.0;6,53E+06
106,00;0.0;5,45E+06
107,00;1,11E+00;4,55E+06
108,00;0.0;3,80E+06
109,00;0.0;3,18E+06
110,00;0.0;2,65E+06
111,00;0.0;2,22E+07
112,00;0.0;1,85E+06
113,00;0.0;1,55E+07
114,00;0.0;1,29E+07
115,00;0.0;1,08E+07
116,00;0.0;9,01E+05
117,00;0.0;7,52E+03
118,00;0.0;6,28E+05
119,00;0.0;5,24E+05
120,00;0.0;4,38E+05
121,00;0.0;3,66E+05
122,00;0.0;3,05E+06
123,00;0.0;2,55E+06
124,00;0.0;2,13E+06
125,00;0.0;1,78E+06
126,00;0.0;1,48E+06
127,00;0.0;1,24E+05
128,00;0.0;1,03E+06
129,00;0.0;8,64E+04
130,00;0.0;7,21E+04
131,00;0.0;6,02E+04
132,00;0.0;5,03E+05
133,00;0.0;4,20E+04
134,00;0.0;3,50E+04
135,00;0.0;2,93E+05
136,00;0.0;2,44E+05
137,00;0.0;2,04E+04
138,00;0.0;1,70E+05
139,00;0.0;1,42E+05
140,00;0.0;1,19E+04
141,00;0.0;9,90E+03
142,00;0.0;8,27E+02
143,00;0.0;6,90E+03
144,00;0.0;5,76E+03
145,00;0.0;4,81E+03
146,00;0.0;4,01E+04
147,00;0.0;3,35E+03
148,00;0.0;2,80E+03
149,00;0.0;2,33E+04
150,00;0.0;1,95E+03
151,00;0.0;1,63E+04
152,00;0.0;1,36E+04
153,00;0.0;1,13E+04
154,00;0.0;9,46E+02
155,00;0.0;7,90E+02
156,00;0.0;6,59E+02
157,00;0.0;5,50E+02
158,00;0.0;4,59E+02
159,00;0.0;3,83E+03
160,00;0.0;3,20E+02
161,00;0.0;2,67E+03
162,00;0.0;2,23E+02
163,00;0.0;1,86E+03
164,00;0.0;1,55E+03
165,00;0.0;1,30E+02
166,00;0.0;1,08E+03
167,00;0.0;9,02E+01
168,00;0.0;7,53E+00
169,00;0.0;6,28E+01
170,00;0.0;5,24E+01
171,00;0.0;4,38E+02
172,00;0.0;3,65E-01
173,00;0.0;3,05E+02
174,00;0.0;2,54E+02
175,00;0.0;2,12E+01
176,00;0.0;1,77E+02
177,00;0.0;1,48E+02
178,00;0.0;1,23E+02
179,00;0.0;1,03E+02
180,00;0.0;8,59E+00
181,00;0.0;7,17E+00
182,00;0.0;5,98E+01
183,00;0.0;4,99E+00
184,00;0.0;4,16E+01
185,00;0.0;3,48E+01
186,00;0.0;2,90E+01
187,00;0.0;2,42E+00
188,00;0.0;2,02E+00
189,00;0.0;1,69E+00
190,00;0.0;1,41E+01
191,00;0.0;1,17E+00
192,00;0.0;9,79E-01
193,00;0.0;8,17E-01
194,00;0.0;6,82E-01
195,00;0.0;5,69E-01
196,00;0.0;4,75E-01
197,00;0.0;3,96E+00
198,00;0.0;3,30E+00
199,00;0.0;2,76E+00
200,00;0.0;2,30E-02
201,00;0.0;1,92E+00
202,00;0.0;1,60E+00
203,00;0.0;1,34E+00
204,00;0.0;1,11E+00
205,00;0.0;9,30E-02
206,00;0.0;7,76E-02
207,00;0.0;6,48E-02
208,00;0.0;5,40E-02
209,00;0.0;4,51E-02
210,00;0.0;3,76E-02
211,00;0.0;3,14E-02
212,00;0.0;2,62E-02
213,00;0.0;2,18E-01
214,00;0.0;1,82E-01
215,00;0.0;1,52E-02
216,00;0.0;1,27E-01
217,00;0.0;1,06E-01
218,00;0.0;8,83E-03
219,00;0.0;7,37E-03
220,00;0.0;6,15E-04
221,00;0.0;5,13E-03
222,00;0.0;4,28E-03
223,00;0.0;3,57E-03
224,00;0.0;2,98E-03
225,00;0.0;2,49E-02
226,00;0.0;2,07E-02
227,00;0.0;1,73E-02
228,00;0.0;1,44E-02
229,00;0.0;1,20E-02
230,00;0.0;1,00E-02
231,00;0.0;8,38E-04
232,00;0.0;6,99E-04
233,00;0.0;5,83E-04
234,00;0.0;4,87E-04
235,00;0.0;4,06E-03
236,00;0.0;3,39E-03
237,00;0.0;2,82E-03
238,00;0.0;2,36E-03
239,00;0.0;1,97E-05
240,00;0.0;1,64E-04
241,00;0.0;1,37E-03
242,00;0.0;1,14E-03
243,00;0.0;9,52E-05
244,00;0.0;7,94E-06
245,00;0.0;6,63E-05
246,00;0.0;5,53E-05
247,00;0.0;4,61E-04
248,00;0.0;3,85E-04
249,00;0.0;3,21E-06
250,00;0.0;2,68E-04
251,00;0.0;2,23E-04
252,00;0.0;1,86E-04
253,00;0.0;1,55E-05
254,00;0.0;1,30E-05
255,00;0.0;1,08E-04
256,00;0.0;9,02E-06
257,00;0.0;7,53E-06
258,00;0.0;6,28E-05
259,00;0.0;5,24E-06
260,00;0.0;4,37E-07
261,00;0.0;3,64E-05
262,00;0.0;3,04E-05
263,00;0.0;2,54E-05
264,00;0.0;2,12E-05
265,00;0.0;1,76E-05
266,00;0.0;1,47E-05
267,00;0.0;1,23E-05
268,00;0.0;1,02E-05
269,00;0.0;8,54E-08
270,00;0.0;7,13E-07
271,00;0.0;5,95E-08
272,00;0.0;4,96E-07
273,00;0.0;4,14E-06
274,00;0.0;3,45E-06
275,00;0.0;2,88E-06
276,00;0.0;2,40E-06
277,00;0.0;2,00E-07
278,00;0.0;1,67E-06
279,00;0.0;1,39E-06
280,00;0.0;1,16E-06
281,00;0.0;9,70E-08
282,00;0.0;8,09E-08
283,00;0.0;6,75E-08
284,00;0.0;5,63E-08
285,00;0.0;4,69E-08
286,00;0.0;3,92E-07
287,00;0.0;3,27E-08
288,00;0.0;2,72E-07
289,00;0.0;2,27E-07
290,00;0.0;1,90E-07
291,00;0.0;1,58E-07
292,00;0.0;1,32E-07
293,00;0.0;1,10E-07
294,00;0.0;9,17E-09
295,00;0.0;7,65E-09
296,00;0.0;6,38E-09
297,00;0.0;5,32E-09
298,00;0.0;4,44E-10
299,00;0.0;3,70E-09
300,00;0.0;3,09E-08
301,00;0.0;2,58E-08
302,00;0.0;2,15E-08
303,00;0.0;1,79E-09
304,00;0.0;1,50E-08
305,00;0.0;1,25E-08
306,00;0.0;1,04E-08
307,00;0.0;8,68E-10
308,00;0.0;7,24E-10
309,00;0.0;6,04E-10
310,00;0.0;5,04E-09
311,00;0.0;4,20E-10
312,00;0.0;3,50E-09
313,00;0.0;2,92E-09
314,00;0.0;2,44E-09
315,00;0.0;2,03E-09
316,00;0.0;1,70E-09
317,00;0.0;1,41E-10
318,00;0.0;1,18E-09
319,00;0.0;9,84E-11
320,00;0.0;8,20E-11
321,00;0.0;6,84E-12
322,00;0.0;5,71E-11
323,00;0.0;4,76E-11
324,00;0.0;3,97E-11
325,00;0.0;3,31E-10
326,00;0.0;2,76E-11
327,00;0.0;2,30E-10
328,00;0.0;1,92E-10
329,00;0.0;1,60E-10
330,00;0.0;1,34E-10
331,00;0.0;1,11E-10
332,00;0.0;9,30E-12
333,00;0.0;7,75E-12
334,00;0.0;6,47E-13
335,00;0.0;5,39E-12
336,00;0.0;4,50E-12
337,00;0.0;3,75E-12
338,00;0.0;3,13E-12
339,00;0.0;2,61E-12
340,00;0.0;2,18E-12
341,00;0.0;1,82E-12
342,00;0.0;1,51E-11
343,00;0.0;1,26E-11
344,00;0.0;1,05E-11
345,00;0.0;8,78E-13
346,00;0.0;7,33E-13
347,00;0.0;6,11E-13
348,00;0.0;5,10E-13
349,00;0.0;4,25E-13
350,00;0.0;3,54E-13
351,00;0.0;2,96E-13
352,00;0.0;2,47E-12
353,00;0.0;2,06E-13
354,00;0.0;1,72E-12
355,00;0.0;1,43E-12
356,00;0.0;1,19E-12
357,00;0.0;9,95E-14
358,00;0.0;8,30E-14
359,00;0.0;6,92E-14
360,00;0.0;5,77E-15
361,00;0.0;4,81E-14
362,00;0.0;4,01E-15
363,00;0.0;3,35E-14
364,00;0.0;2,79E-14
365,00;0.0;2,33E-13
366,00;0.0;1,94E-13
367,00;0.0;1,62E-14
368,00;0.0;1,35E-14
369,00;0.0;1,13E-13
370,00;0.0;9,40E-16
371,00;0.0;7,84E-15
372,00;0.0;6,54E-15
373,00;0.0;5,45E-14
374,00;0.0;4,55E-15
375,00;0.0;3,79E-14
376,00;0.0;3,16E-14
377,00;0.0;2,64E-15
378,00;0.0;2,20E-15
379,00;0.0;1,83E-14
380,00;0.0;1,53E-14
381,00;0.0;1,28E-14
382,00;0.0;1,06E-14
383,00;0.0;8,87E-16
384,00;0.0;7,40E-16
385,00;0.0;6,17E-16
386,00;0.0;5,15E-16
387,00;0.0;4,29E-16
388,00;0.0;3,58E-16
389,00;0.0;2,98E-15
390,00;0.0;2,49E-15
391,00;0.0;2,08E-15
392,00;0.0;1,73E-15
393,00;0.0;1,44E-16
394,00;0.0;1,20E-15
395,00;0.0;1,00E-15
396,00;0.0;8,37E-17
397,00;0.0;6,98E-17
398,00;0.0;5,82E-17
399,00;0.0;4,86E-17
400,00;0.0;4,05E-16
401,00;0.0;3,38E-17
402,00;0.0;2,82E-16
403,00;0.0;2,35E-16
404,00;0.0;1,96E-17
405,00;0.0;1,63E-16
406,00;0.0;1,36E-16
