"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;68;0;0;2;31/01/2022
Hovedstaden;0-9;13537;0;8;99;31/01/2022
Midtjylland;0-9;10805;0;5;32;31/01/2022
Nordjylland;0-9;4679;0;0;15;31/01/2022
Sjælland;0-9;6203;0;2;39;31/01/2022
Syddanmark;0-9;10590;0;5;36;31/01/2022
;10-19;77;0;0;0;31/01/2022
Hovedstaden;10-19;17154;0;5;27;31/01/2022
Midtjylland;10-19;15617;0;3;10;31/01/2022
Nordjylland;10-19;7125;0;1;7;31/01/2022
Sjælland;10-19;9531;0;2;20;31/01/2022
Syddanmark;10-19;15513;0;2;15;31/01/2022
;20-29;184;0;1;3;31/01/2022
Hovedstaden;20-29;9923;0;11;54;31/01/2022
Midtjylland;20-29;7743;0;5;23;31/01/2022
Nordjylland;20-29;3166;0;1;5;31/01/2022
Sjælland;20-29;3771;0;4;26;31/01/2022
Syddanmark;20-29;6600;0;5;16;31/01/2022
;30-39;280;0;0;1;31/01/2022
Hovedstaden;30-39;14658;0;21;83;31/01/2022
Midtjylland;30-39;10556;0;6;23;31/01/2022
Nordjylland;30-39;4375;0;3;6;31/01/2022
Sjælland;30-39;6328;0;7;31;31/01/2022
Syddanmark;30-39;10160;0;10;37;31/01/2022
;40-49;272;0;1;3;31/01/2022
Hovedstaden;40-49;15347;0;10;55;31/01/2022
Midtjylland;40-49;10514;0;6;16;31/01/2022
Nordjylland;40-49;4356;0;2;4;31/01/2022
Sjælland;40-49;6823;0;7;20;31/01/2022
Syddanmark;40-49;9845;0;9;23;31/01/2022
;50-59;129;0;1;1;31/01/2022
Hovedstaden;50-59;8664;0;20;38;31/01/2022
Midtjylland;50-59;5879;0;9;39;31/01/2022
Nordjylland;50-59;2588;0;5;5;31/01/2022
Sjælland;50-59;4415;0;4;29;31/01/2022
Syddanmark;50-59;5948;0;7;21;31/01/2022
;60-69;41;1;0;1;31/01/2022
Hovedstaden;60-69;4416;1;19;48;31/01/2022
Midtjylland;60-69;3015;0;11;22;31/01/2022
Nordjylland;60-69;1351;0;8;12;31/01/2022
Sjælland;60-69;2262;2;6;22;31/01/2022
Syddanmark;60-69;3141;1;8;13;31/01/2022
;70-79;7;0;0;1;31/01/2022
Hovedstaden;70-79;2059;1;32;67;31/01/2022
Midtjylland;70-79;1267;1;10;22;31/01/2022
Nordjylland;70-79;605;0;4;10;31/01/2022
Sjælland;70-79;1101;0;18;31;31/01/2022
Syddanmark;70-79;1283;2;13;29;31/01/2022
;80-89;3;1;1;2;31/01/2022
Hovedstaden;80-89;666;7;25;63;31/01/2022
Midtjylland;80-89;347;0;12;18;31/01/2022
Nordjylland;80-89;187;0;8;11;31/01/2022
Sjælland;80-89;318;3;11;26;31/01/2022
Syddanmark;80-89;400;1;16;29;31/01/2022
Hovedstaden;90+;215;1;9;21;31/01/2022
Midtjylland;90+;98;0;3;6;31/01/2022
Nordjylland;90+;43;0;1;1;31/01/2022
Sjælland;90+;81;1;8;14;31/01/2022
Syddanmark;90+;99;1;4;9;31/01/2022
