"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere"
2021-W35;K;7550;79;3,3
2021-W35;M;6016;71;3,0
2021-W36;K;6197;57;2,7
2021-W36;M;4879;52;2,6
2021-W37;K;5001;37;1,7
2021-W37;M;3954;36;1,4
2021-W38;K;4669;44;1,4
2021-W38;M;3553;41;1,6
2021-W39;K;4728;52;1,2
2021-W39;M;3595;50;1,6
2021-W40;K;5229;70;1,8
2021-W40;M;3900;66;1,9
2021-W41;K;7194;91;2,6
2021-W41;M;5438;79;2,9
2021-W42;K;8930;150;4,2
2021-W42;M;7024;144;4,1
2021-W43;K;12140;207;4,9
2021-W43;M;9355;196;5,3
2021-W44;K;16048;270;6,0
2021-W44;M;12357;272;6,8
2021-W45;K;20808;391;6,6
2021-W45;M;15721;381;8,7
2021-W46;K;22609;483;9,0
2021-W46;M;16798;472;9,8
2021-W47;K;23905;494;9,6
2021-W47;M;18100;491;9,6
2021-W48;K;24646;582;10,6
2021-W48;M;18933;588;10,4
2021-W49;K;27116;811;11,3
2021-W49;M;20763;815;11,7
2021-W50;K;29580;1256;13,4
2021-W50;M;22376;1243;13,2
2021-W51;K;24561;1312;14,5
2021-W51;M;18682;1295;14,1
2021-W52;K;21517;2068;21,0
2021-W52;M;16790;2005;17,9
2022-W01;K;24866;2182;20,7
2022-W01;M;19280;2139;17,5
2022-W02;K;26132;3019;23,5
2022-W02;M;20171;2833;20,8
2022-W03;K;29776;4712;30,0
2022-W03;M;23438;4396;23,7
2022-W04;K;24021;4610;33,9
2022-W04;M;18583;4266;27,4
