"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;;37;0
;0-9;407;0
Hovedstaden;0-9;88130;1
Midtjylland;0-9;45401;1
Nordjylland;0-9;18486;0
Sjælland;0-9;29443;0
Syddanmark;0-9;42740;0
;10-19;597;0
Hovedstaden;10-19;118651;0
Midtjylland;10-19;72637;0
Nordjylland;10-19;28971;1
Sjælland;10-19;48448;0
Syddanmark;10-19;64947;0
;20-29;2373;3
Hovedstaden;20-29;120796;5
Midtjylland;20-29;56038;1
Nordjylland;20-29;22375;1
Sjælland;20-29;27859;1
Syddanmark;20-29;41181;3
;30-39;2560;1
Hovedstaden;30-39;109567;5
Midtjylland;30-39;48148;1
Nordjylland;30-39;19606;0
Sjælland;30-39;32984;3
Syddanmark;30-39;42454;0
;40-49;2154;4
Hovedstaden;40-49;101806;14
Midtjylland;40-49;46873;3
Nordjylland;40-49;18904;3
Sjælland;40-49;35594;8
Syddanmark;40-49;42369;3
;50-59;1337;3
Hovedstaden;50-59;70264;51
Midtjylland;50-59;32520;18
Nordjylland;50-59;14391;7
Sjælland;50-59;28267;23
Syddanmark;50-59;30907;17
;60-69;470;5
Hovedstaden;60-69;33637;166
Midtjylland;60-69;16809;45
Nordjylland;60-69;8140;28
Sjælland;60-69;14751;59
Syddanmark;60-69;16293;32
;70-79;114;0
Hovedstaden;70-79;17700;477
Midtjylland;70-79;8037;125
Nordjylland;70-79;4363;89
Sjælland;70-79;7716;179
Syddanmark;70-79;8286;101
;80-89;43;9
Hovedstaden;80-89;7080;703
Midtjylland;80-89;2654;209
Nordjylland;80-89;1541;98
Sjælland;80-89;2648;221
Syddanmark;80-89;2859;169
;90+;28;4
Hovedstaden;90+;2126;419
Midtjylland;90+;680;113
Nordjylland;90+;334;66
Sjælland;90+;621;117
Syddanmark;90+;616;90
