"Uge";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere"
2021-W10;Sjælland;9;1,08
2021-W10;Syddanmark;7;0,57
2021-W11;Hovedstaden;34;1,84
2021-W11;Midtjylland;11;0,83
2021-W11;Nordjylland;3;0,51
2021-W11;Sjælland;15;1,79
2021-W11;Syddanmark;6;0,49
2021-W12;Hovedstaden;34;1,84
2021-W12;Midtjylland;8;0,60
2021-W12;Nordjylland;5;0,85
2021-W12;Sjælland;13;1,55
2021-W12;Syddanmark;6;0,49
2021-W13;Hovedstaden;25;1,35
2021-W13;Midtjylland;6;0,45
2021-W13;Nordjylland;2;0,34
2021-W13;Sjælland;3;0,36
2021-W13;Syddanmark;7;0,57
2021-W14;Hovedstaden;27;1,46
2021-W14;Midtjylland;7;0,53
2021-W14;Nordjylland;4;0,68
2021-W14;Sjælland;8;0,96
2021-W14;Syddanmark;4;0,33
2021-W15;Hovedstaden;29;1,57
2021-W15;Midtjylland;9;0,68
2021-W15;Sjælland;4;0,48
2021-W15;Syddanmark;6;0,49
2021-W16;Hovedstaden;24;1,30
2021-W16;Midtjylland;3;0,23
2021-W16;Nordjylland;5;0,85
2021-W16;Sjælland;6;0,72
2021-W16;Syddanmark;6;0,49
2021-W17;Hovedstaden;23;1,24
2021-W17;Midtjylland;3;0,23
2021-W17;Nordjylland;2;0,34
2021-W17;Sjælland;5;0,60
2021-W17;Syddanmark;5;0,41
2021-W18;Hovedstaden;29;1,57
2021-W18;Midtjylland;4;0,30
2021-W18;Nordjylland;1;0,17
2021-W18;Sjælland;6;0,72
2021-W18;Syddanmark;5;0,41
2021-W19;Hovedstaden;29;1,57
2021-W19;Midtjylland;9;0,68
2021-W19;Nordjylland;3;0,51
2021-W19;Sjælland;2;0,24
2021-W19;Syddanmark;2;0,16
2021-W20;Hovedstaden;32;1,73
2021-W20;Midtjylland;6;0,45
2021-W20;Nordjylland;9;1,53
2021-W20;Sjælland;6;0,72
2021-W20;Syddanmark;7;0,57
2021-W21;Hovedstaden;22;1,19
2021-W21;Midtjylland;9;0,68
2021-W21;Nordjylland;6;1,02
2021-W21;Sjælland;5;0,60
2021-W21;Syddanmark;6;0,49
2021-W22;Hovedstaden;23;1,24
2021-W22;Midtjylland;8;0,60
2021-W22;Nordjylland;5;0,85
2021-W22;Sjælland;2;0,24
2021-W22;Syddanmark;4;0,33
2021-W23;Hovedstaden;21;1,14
2021-W23;Midtjylland;6;0,45
2021-W23;Nordjylland;4;0,68
2021-W23;Sjælland;4;0,48
2021-W23;Syddanmark;4;0,33
2021-W24;Hovedstaden;16;0,86
2021-W24;Midtjylland;1;0,08
2021-W24;Nordjylland;1;0,17
2021-W24;Sjælland;3;0,36
2021-W24;Syddanmark;2;0,16
2021-W25;Hovedstaden;9;0,49
2021-W25;Midtjylland;2;0,15
2021-W25;Sjælland;1;0,12
2021-W25;Syddanmark;1;0,08
2021-W26;Hovedstaden;24;1,30
2021-W26;Midtjylland;2;0,15
2021-W26;Nordjylland;1;0,17
2021-W26;Sjælland;4;0,48
2021-W26;Syddanmark;1;0,08
2021-W27;Hovedstaden;46;2,49
2021-W27;Midtjylland;11;0,83
2021-W27;Sjælland;5;0,60
2021-W27;Syddanmark;3;0,25
2021-W28;Hovedstaden;55;2,97
2021-W28;Midtjylland;15;1,13
2021-W28;Sjælland;9;1,07
2021-W28;Syddanmark;10;0,82
2021-W29;Hovedstaden;34;1,84
2021-W29;Midtjylland;12;0,90
2021-W29;Nordjylland;1;0,17
