"Region";"Dato";"Døde";"Kummuleret antal døde"
Hovedstaden;2021-09-27;2;2639
Midtjylland;2021-09-28;1;2640
Syddanmark;2021-09-29;1;2641
Sjælland;2021-09-29;0;2641
Midtjylland;2021-09-29;1;2642
Syddanmark;2021-09-30;1;2643
Sjælland;2021-09-30;1;2644
Hovedstaden;2021-09-30;1;2645
Sjælland;2021-10-01;1;2646
Hovedstaden;2021-10-01;2;2648
Syddanmark;2021-10-02;1;2649
Sjælland;2021-10-02;0;2649
Nordjylland;2021-10-02;0;2649
;2021-10-03;0;2649
;2021-10-04;0;2649
Syddanmark;2021-10-05;1;2650
Sjælland;2021-10-05;1;2651
Midtjylland;2021-10-05;0;2651
Nordjylland;2021-10-06;1;2652
Hovedstaden;2021-10-06;1;2653
Sjælland;2021-10-07;1;2654
Midtjylland;2021-10-07;1;2655
;2021-10-08;0;2655
Syddanmark;2021-10-09;1;2656
Midtjylland;2021-10-09;1;2657
Nordjylland;2021-10-10;1;2658
Midtjylland;2021-10-10;1;2659
Hovedstaden;2021-10-11;2;2661
;2021-10-12;0;2661
Syddanmark;2021-10-13;1;2662
Sjælland;2021-10-13;1;2663
Nordjylland;2021-10-13;1;2664
Hovedstaden;2021-10-13;1;2665
Syddanmark;2021-10-14;1;2666
Hovedstaden;2021-10-14;0;2666
Nordjylland;2021-10-15;1;2667
Midtjylland;2021-10-15;1;2668
Syddanmark;2021-10-16;1;2669
Hovedstaden;2021-10-16;2;2671
Syddanmark;2021-10-17;1;2672
Hovedstaden;2021-10-17;3;2675
Nordjylland;2021-10-18;0;2675
Midtjylland;2021-10-18;0;2675
Hovedstaden;2021-10-18;1;2676
Syddanmark;2021-10-19;1;2677
Sjælland;2021-10-19;1;2678
Nordjylland;2021-10-19;1;2679
Midtjylland;2021-10-20;1;2680
Hovedstaden;2021-10-20;1;2681
Nordjylland;2021-10-21;1;2682
Midtjylland;2021-10-21;1;2683
Midtjylland;2021-10-22;0;2683
Hovedstaden;2021-10-22;1;2684
Nordjylland;2021-10-23;1;2685
;2021-10-24;0;2685
Hovedstaden;2021-10-25;3;2688
Nordjylland;2021-10-26;2;2690
Midtjylland;2021-10-26;0;2690
Hovedstaden;2021-10-26;1;2691
Nordjylland;2021-10-27;0;2691
Midtjylland;2021-10-27;1;2692
Hovedstaden;2021-10-27;1;2693
Hovedstaden;2021-10-28;1;2694
Nordjylland;2021-10-29;1;2695
Hovedstaden;2021-10-29;3;2698
Sjælland;2021-10-30;0;2698
Hovedstaden;2021-10-30;3;2701
Sjælland;2021-10-31;0;2701
Midtjylland;2021-10-31;0;2701
Hovedstaden;2021-10-31;2;2703
;2021-11-01;0;2703
Syddanmark;2021-11-02;1;2704
Sjælland;2021-11-02;1;2705
Midtjylland;2021-11-02;1;2706
Syddanmark;2021-11-03;1;2707
Nordjylland;2021-11-03;1;2708
Hovedstaden;2021-11-03;1;2709
Sjælland;2021-11-04;2;2711
Midtjylland;2021-11-04;1;2712
Hovedstaden;2021-11-04;5;2717
Hovedstaden;2021-11-05;3;2720
Syddanmark;2021-11-06;2;2722
Hovedstaden;2021-11-06;2;2724
Syddanmark;2021-11-07;2;2726
Nordjylland;2021-11-07;1;2727
Hovedstaden;2021-11-07;1;2728
Syddanmark;2021-11-08;1;2729
Sjælland;2021-11-09;1;2730
Hovedstaden;2021-11-09;2;2732
Sjælland;2021-11-10;1;2733
Nordjylland;2021-11-10;1;2734
Midtjylland;2021-11-10;1;2735
Hovedstaden;2021-11-10;1;2736
Syddanmark;2021-11-11;1;2737
Nordjylland;2021-11-11;1;2738
Hovedstaden;2021-11-11;2;2740
Nordjylland;2021-11-12;1;2741
Hovedstaden;2021-11-12;5;2746
Sjælland;2021-11-13;2;2748
Nordjylland;2021-11-13;1;2749
Midtjylland;2021-11-13;2;2751
Hovedstaden;2021-11-13;4;2755
Sjælland;2021-11-14;1;2756
Midtjylland;2021-11-14;1;2757
Hovedstaden;2021-11-14;4;2761
Syddanmark;2021-11-15;2;2763
Sjælland;2021-11-15;4;2767
Hovedstaden;2021-11-15;3;2770
Syddanmark;2021-11-16;1;2771
Hovedstaden;2021-11-16;3;2774
Nordjylland;2021-11-17;1;2775
Midtjylland;2021-11-17;1;2776
Hovedstaden;2021-11-17;1;2777
Syddanmark;2021-11-18;3;2780
Sjælland;2021-11-18;1;2781
Nordjylland;2021-11-18;1;2782
Hovedstaden;2021-11-18;2;2784
Syddanmark;2021-11-19;2;2786
Sjælland;2021-11-19;1;2787
Hovedstaden;2021-11-19;5;2792
Syddanmark;2021-11-20;2;2794
Sjælland;2021-11-20;0;2794
Hovedstaden;2021-11-20;2;2796
Syddanmark;2021-11-21;1;2797
Sjælland;2021-11-21;1;2798
Nordjylland;2021-11-21;1;2799
Hovedstaden;2021-11-21;1;2800
Syddanmark;2021-11-22;2;2802
Sjælland;2021-11-22;1;2803
Midtjylland;2021-11-22;0;2803
Hovedstaden;2021-11-22;4;2807
Syddanmark;2021-11-23;2;2809
Sjælland;2021-11-23;3;2812
Midtjylland;2021-11-23;2;2814
Hovedstaden;2021-11-23;4;2818
Syddanmark;2021-11-24;3;2821
Sjælland;2021-11-24;1;2822
Midtjylland;2021-11-24;2;2824
Hovedstaden;2021-11-24;4;2828
Syddanmark;2021-11-25;1;2829
Sjælland;2021-11-25;5;2834
Nordjylland;2021-11-25;1;2835
Hovedstaden;2021-11-25;5;2840
Syddanmark;2021-11-26;2;2842
Sjælland;2021-11-26;3;2845
Nordjylland;2021-11-26;2;2847
Midtjylland;2021-11-26;1;2848
Hovedstaden;2021-11-26;4;2852
Syddanmark;2021-11-27;2;2854
Sjælland;2021-11-27;1;2855
Nordjylland;2021-11-27;1;2856
Midtjylland;2021-11-27;1;2857
Hovedstaden;2021-11-27;4;2861
Syddanmark;2021-11-28;1;2862
Sjælland;2021-11-28;7;2869
Nordjylland;2021-11-28;1;2870
Midtjylland;2021-11-28;2;2872
Hovedstaden;2021-11-28;3;2875
Syddanmark;2021-11-29;4;2879
Nordjylland;2021-11-29;1;2880
Midtjylland;2021-11-29;1;2881
Hovedstaden;2021-11-29;3;2884
Syddanmark;2021-11-30;3;2887
Sjælland;2021-11-30;2;2889
Nordjylland;2021-11-30;4;2893
Midtjylland;2021-11-30;0;2893
Hovedstaden;2021-11-30;4;2897
Sjælland;2021-12-01;0;2897
Nordjylland;2021-12-01;3;2900
Hovedstaden;2021-12-01;2;2902
Syddanmark;2021-12-02;4;2906
Sjælland;2021-12-02;3;2909
Nordjylland;2021-12-02;1;2910
Midtjylland;2021-12-02;1;2911
Hovedstaden;2021-12-02;4;2915
Syddanmark;2021-12-03;1;2916
Sjælland;2021-12-03;1;2917
Nordjylland;2021-12-03;3;2920
Midtjylland;2021-12-03;3;2923
Hovedstaden;2021-12-03;4;2927
Syddanmark;2021-12-04;3;2930
Sjælland;2021-12-04;3;2933
Midtjylland;2021-12-04;2;2935
Hovedstaden;2021-12-04;1;2936
Syddanmark;2021-12-05;1;2937
Sjælland;2021-12-05;3;2940
Hovedstaden;2021-12-05;3;2943
Syddanmark;2021-12-06;2;2945
Sjælland;2021-12-06;2;2947
Midtjylland;2021-12-06;2;2949
Hovedstaden;2021-12-06;2;2951
Syddanmark;2021-12-07;1;2952
Sjælland;2021-12-07;2;2954
Hovedstaden;2021-12-07;4;2958
Syddanmark;2021-12-08;4;2962
Sjælland;2021-12-08;2;2964
Nordjylland;2021-12-08;2;2966
Midtjylland;2021-12-08;1;2967
Hovedstaden;2021-12-08;7;2974
Sjælland;2021-12-09;2;2976
Nordjylland;2021-12-09;2;2978
Hovedstaden;2021-12-09;4;2982
Syddanmark;2021-12-10;1;2983
Sjælland;2021-12-10;2;2985
Nordjylland;2021-12-10;1;2986
Hovedstaden;2021-12-10;5;2991
Syddanmark;2021-12-11;3;2994
Sjælland;2021-12-11;1;2995
Nordjylland;2021-12-11;1;2996
Midtjylland;2021-12-11;4;3000
Hovedstaden;2021-12-11;2;3002
Sjælland;2021-12-12;3;3005
Midtjylland;2021-12-12;1;3006
Hovedstaden;2021-12-12;3;3009
Syddanmark;2021-12-13;2;3011
Sjælland;2021-12-13;1;3012
Nordjylland;2021-12-13;1;3013
Midtjylland;2021-12-13;1;3014
Hovedstaden;2021-12-13;5;3019
Syddanmark;2021-12-14;2;3021
Sjælland;2021-12-14;1;3022
Midtjylland;2021-12-14;1;3023
Hovedstaden;2021-12-14;3;3026
Syddanmark;2021-12-15;2;3028
Sjælland;2021-12-15;3;3031
Nordjylland;2021-12-15;1;3032
Hovedstaden;2021-12-15;4;3036
Syddanmark;2021-12-16;3;3039
Sjælland;2021-12-16;2;3041
Midtjylland;2021-12-16;1;3042
Hovedstaden;2021-12-16;3;3045
Syddanmark;2021-12-17;2;3047
Sjælland;2021-12-17;4;3051
Nordjylland;2021-12-17;2;3053
Midtjylland;2021-12-17;2;3055
Hovedstaden;2021-12-17;4;3059
Syddanmark;2021-12-18;4;3063
Midtjylland;2021-12-18;3;3066
Hovedstaden;2021-12-18;5;3071
Syddanmark;2021-12-19;4;3075
Sjælland;2021-12-19;2;3077
Midtjylland;2021-12-19;2;3079
Hovedstaden;2021-12-19;5;3084
Syddanmark;2021-12-20;3;3087
Sjælland;2021-12-20;2;3089
Midtjylland;2021-12-20;2;3091
Hovedstaden;2021-12-20;5;3096
Syddanmark;2021-12-21;4;3100
Sjælland;2021-12-21;2;3102
Midtjylland;2021-12-21;2;3104
Hovedstaden;2021-12-21;3;3107
Syddanmark;2021-12-22;1;3108
Sjælland;2021-12-22;1;3109
Nordjylland;2021-12-22;1;3110
Midtjylland;2021-12-22;3;3113
Hovedstaden;2021-12-22;8;3121
Syddanmark;2021-12-23;3;3124
Sjælland;2021-12-23;6;3130
Nordjylland;2021-12-23;1;3131
Midtjylland;2021-12-23;1;3132
Hovedstaden;2021-12-23;7;3139
Syddanmark;2021-12-24;1;3140
Sjælland;2021-12-24;3;3143
Nordjylland;2021-12-24;1;3144
Hovedstaden;2021-12-24;5;3149
Syddanmark;2021-12-25;1;3150
Sjælland;2021-12-25;2;3152
Nordjylland;2021-12-25;1;3153
Midtjylland;2021-12-25;1;3154
Hovedstaden;2021-12-25;6;3160
Syddanmark;2021-12-26;1;3161
Sjælland;2021-12-26;0;3161
Midtjylland;2021-12-26;3;3164
Hovedstaden;2021-12-26;6;3170
Sjælland;2021-12-27;3;3173
Midtjylland;2021-12-27;1;3174
Hovedstaden;2021-12-27;4;3178
Syddanmark;2021-12-28;1;3179
Sjælland;2021-12-28;3;3182
Nordjylland;2021-12-28;1;3183
Midtjylland;2021-12-28;2;3185
Hovedstaden;2021-12-28;4;3189
Syddanmark;2021-12-29;3;3192
Sjælland;2021-12-29;4;3196
Midtjylland;2021-12-29;0;3196
Hovedstaden;2021-12-29;2;3198
Syddanmark;2021-12-30;0;3198
Sjælland;2021-12-30;1;3199
Nordjylland;2021-12-30;2;3201
Midtjylland;2021-12-30;2;3203
Hovedstaden;2021-12-30;4;3207
Syddanmark;2021-12-31;1;3208
Sjælland;2021-12-31;1;3209
Nordjylland;2021-12-31;2;3211
Midtjylland;2021-12-31;0;3211
Hovedstaden;2021-12-31;6;3217
Syddanmark;2022-01-01;1;3218
Sjælland;2022-01-01;4;3222
Midtjylland;2022-01-01;1;3223
Hovedstaden;2022-01-01;6;3229
Syddanmark;2022-01-02;1;3230
Sjælland;2022-01-02;4;3234
Hovedstaden;2022-01-02;4;3238
Syddanmark;2022-01-03;1;3239
Sjælland;2022-01-03;2;3241
Midtjylland;2022-01-03;3;3244
Hovedstaden;2022-01-03;9;3253
Syddanmark;2022-01-04;1;3254
Sjælland;2022-01-04;3;3257
Nordjylland;2022-01-04;1;3258
Midtjylland;2022-01-04;3;3261
Hovedstaden;2022-01-04;6;3267
Syddanmark;2022-01-05;2;3269
Sjælland;2022-01-05;3;3272
Nordjylland;2022-01-05;2;3274
Midtjylland;2022-01-05;2;3276
Hovedstaden;2022-01-05;7;3283
Syddanmark;2022-01-06;1;3284
Sjælland;2022-01-06;4;3288
Nordjylland;2022-01-06;1;3289
Midtjylland;2022-01-06;2;3291
Hovedstaden;2022-01-06;7;3298
Syddanmark;2022-01-07;2;3300
Sjælland;2022-01-07;2;3302
Midtjylland;2022-01-07;5;3307
Hovedstaden;2022-01-07;7;3314
Syddanmark;2022-01-08;2;3316
Sjælland;2022-01-08;4;3320
Midtjylland;2022-01-08;2;3322
Hovedstaden;2022-01-08;6;3328
Syddanmark;2022-01-09;3;3331
Sjælland;2022-01-09;2;3333
Nordjylland;2022-01-09;4;3337
Midtjylland;2022-01-09;1;3338
Hovedstaden;2022-01-09;6;3344
Sjælland;2022-01-10;3;3347
Nordjylland;2022-01-10;3;3350
Midtjylland;2022-01-10;6;3356
Hovedstaden;2022-01-10;5;3361
Syddanmark;2022-01-11;2;3363
Sjælland;2022-01-11;3;3366
Nordjylland;2022-01-11;0;3366
Midtjylland;2022-01-11;2;3368
Hovedstaden;2022-01-11;11;3379
Syddanmark;2022-01-12;4;3383
Sjælland;2022-01-12;5;3388
Midtjylland;2022-01-12;3;3391
Hovedstaden;2022-01-12;5;3396
Syddanmark;2022-01-13;3;3399
Sjælland;2022-01-13;3;3402
Nordjylland;2022-01-13;1;3403
Midtjylland;2022-01-13;2;3405
Hovedstaden;2022-01-13;6;3411
Syddanmark;2022-01-14;1;3412
Sjælland;2022-01-14;2;3414
Midtjylland;2022-01-14;4;3418
Hovedstaden;2022-01-14;6;3424
Syddanmark;2022-01-15;2;3426
Nordjylland;2022-01-15;2;3428
Hovedstaden;2022-01-15;5;3433
Syddanmark;2022-01-16;1;3434
Sjælland;2022-01-16;2;3436
Nordjylland;2022-01-16;3;3439
Midtjylland;2022-01-16;2;3441
Hovedstaden;2022-01-16;9;3450
Syddanmark;2022-01-17;3;3453
Sjælland;2022-01-17;2;3455
Nordjylland;2022-01-17;1;3456
Midtjylland;2022-01-17;0;3456
Hovedstaden;2022-01-17;5;3461
Syddanmark;2022-01-18;1;3462
Sjælland;2022-01-18;1;3463
Midtjylland;2022-01-18;2;3465
Hovedstaden;2022-01-18;4;3469
Syddanmark;2022-01-19;3;3472
Sjælland;2022-01-19;3;3475
Nordjylland;2022-01-19;3;3478
Midtjylland;2022-01-19;2;3480
Hovedstaden;2022-01-19;14;3494
Syddanmark;2022-01-20;4;3498
Sjælland;2022-01-20;6;3504
Nordjylland;2022-01-20;1;3505
Midtjylland;2022-01-20;4;3509
Hovedstaden;2022-01-20;7;3516
Syddanmark;2022-01-21;4;3520
Sjælland;2022-01-21;2;3522
Nordjylland;2022-01-21;1;3523
Midtjylland;2022-01-21;3;3526
Hovedstaden;2022-01-21;10;3536
Syddanmark;2022-01-22;1;3537
Sjælland;2022-01-22;3;3540
Nordjylland;2022-01-22;2;3542
Midtjylland;2022-01-22;0;3542
Hovedstaden;2022-01-22;4;3546
Syddanmark;2022-01-23;1;3547
Sjælland;2022-01-23;1;3548
Nordjylland;2022-01-23;5;3553
Midtjylland;2022-01-23;3;3556
Hovedstaden;2022-01-23;5;3561
Syddanmark;2022-01-24;3;3564
Sjælland;2022-01-24;2;3566
Nordjylland;2022-01-24;3;3569
Midtjylland;2022-01-24;1;3570
Hovedstaden;2022-01-24;6;3576
Syddanmark;2022-01-25;1;3577
Sjælland;2022-01-25;3;3580
Midtjylland;2022-01-25;5;3585
Hovedstaden;2022-01-25;11;3596
Syddanmark;2022-01-26;6;3602
Sjælland;2022-01-26;2;3604
Nordjylland;2022-01-26;3;3607
Midtjylland;2022-01-26;0;3607
Hovedstaden;2022-01-26;8;3615
Syddanmark;2022-01-27;0;3615
Sjælland;2022-01-27;4;3619
Nordjylland;2022-01-27;2;3621
Midtjylland;2022-01-27;3;3624
Hovedstaden;2022-01-27;7;3631
Syddanmark;2022-01-28;4;3635
Sjælland;2022-01-28;2;3637
Nordjylland;2022-01-28;1;3638
Midtjylland;2022-01-28;2;3640
Hovedstaden;2022-01-28;9;3649
Syddanmark;2022-01-29;2;3651
Sjælland;2022-01-29;1;3652
Nordjylland;2022-01-29;1;3653
Midtjylland;2022-01-29;2;3655
Hovedstaden;2022-01-29;10;3665
Syddanmark;2022-01-30;5;3670
Sjælland;2022-01-30;2;3672
Midtjylland;2022-01-30;1;3673
Hovedstaden;2022-01-30;3;3676
;2022-01-31;0;3676
