"Region";"Alders gruppe";"Indlæggelser"
;;0
;0-9;13
Hovedstaden;0-9;755
Midtjylland;0-9;195
Nordjylland;0-9;86
Sjælland;0-9;236
Syddanmark;0-9;158
;10-19;6
Hovedstaden;10-19;454
Midtjylland;10-19;114
Nordjylland;10-19;57
Sjælland;10-19;156
Syddanmark;10-19;113
;20-29;49
Hovedstaden;20-29;1165
Midtjylland;20-29;336
Nordjylland;20-29;157
Sjælland;20-29;374
Syddanmark;20-29;307
;30-39;68
Hovedstaden;30-39;1656
Midtjylland;30-39;480
Nordjylland;30-39;169
Sjælland;30-39;493
Syddanmark;30-39;400
;40-49;73
Hovedstaden;40-49;1616
Midtjylland;40-49;502
Nordjylland;40-49;189
Sjælland;40-49;533
Syddanmark;40-49;402
;50-59;92
Hovedstaden;50-59;1941
Midtjylland;50-59;656
Nordjylland;50-59;237
Sjælland;50-59;703
Syddanmark;50-59;532
;60-69;60
Hovedstaden;60-69;1773
Midtjylland;60-69;564
Nordjylland;60-69;311
Sjælland;60-69;716
Syddanmark;60-69;551
;70-79;24
Hovedstaden;70-79;2499
Midtjylland;70-79;748
Nordjylland;70-79;408
Sjælland;70-79;959
Syddanmark;70-79;704
;80-89;15
Hovedstaden;80-89;2056
Midtjylland;80-89;524
Nordjylland;80-89;332
Sjælland;80-89;753
Syddanmark;80-89;554
;90+;0
Hovedstaden;90+;615
Midtjylland;90+;138
Nordjylland;90+;68
Sjælland;90+;220
Syddanmark;90+;142
