,group
0,1
1,1
2,1
3,1
4,2
5,1
6,1
7,2
8,1
9,2
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,2
24,1
25,1
26,0
27,1
28,2
29,2
30,1
31,2
32,2
33,2
34,0
35,0
36,0
37,2
38,1
39,0
40,2
41,1
42,0
43,0
44,2
45,0
46,1
47,2
48,1
49,1
50,1
51,2
52,1
53,1
54,2
55,1
56,2
57,1
58,1
59,1
60,1
61,2
62,2
63,0
64,1
65,2
66,0
67,0
68,1
69,2
70,2
71,2
72,2
73,1
74,0
75,0
76,2
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,2
86,1
87,1
88,0
89,2
90,1
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,0
99,2
100,1
101,0
102,2
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,2
112,1
113,2
114,2
115,1
116,0
117,0
118,2
119,0
120,1
121,1
122,1
123,1
124,2
125,0
126,0
127,1
128,0
129,0
130,1
131,2
132,1
133,1
134,0
135,1
136,0
137,2
138,2
139,0
140,2
141,2
142,0
143,0
144,1
145,2
146,2
147,1
148,1
149,0
150,1
151,2
152,1
153,1
154,0
155,2
156,2
157,1
158,1
159,2
160,0
161,2
162,1
163,0
164,0
165,1
166,2
167,1
168,0
169,0
170,2
171,1
172,1
173,2
174,2
175,2
176,1
177,1
178,1
179,0
180,2
181,2
182,0
183,1
184,0
185,1
186,2
187,2
188,1
189,1
190,1
191,2
192,1
193,1
194,2
195,1
196,2
197,2
198,0
199,1
200,1
201,2
202,0
203,1
204,2
205,1
206,1
207,2
208,1
209,1
210,0
211,2
212,2
213,1
214,1
215,2
216,0
217,1
218,1
219,0
220,0
221,2
222,1
223,0
224,1
225,0
226,1
227,0
228,2
229,1
230,2
231,2
232,1
233,2
234,2
235,2
236,1
237,0
238,2
239,0
240,2
241,2
242,0
243,2
244,2
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,2
254,0
255,1
256,1
257,0
258,2
259,1
260,0
261,1
262,1
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,2
275,1
276,1
277,0
278,1
279,2
280,2
281,2
282,1
283,0
284,1
285,1
286,2
287,1
288,1
289,1
290,2
291,0
292,1
293,0
294,2
295,0
296,2
297,0
298,0
299,2
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,2
312,0
313,2
314,2
315,2
316,1
317,1
318,2
319,1
320,2
321,0
322,2
323,1
324,2
325,2
326,0
327,1
328,1
329,1
330,1
331,2
332,1
333,2
334,0
335,1
336,2
337,1
338,1
339,1
340,1
341,1
342,1
343,2
344,1
345,2
346,2
347,2
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,2
356,2
357,1
358,1
359,2
360,0
361,0
362,2
363,2
364,2
365,0
366,1
367,2
368,2
369,1
370,0
371,1
372,0
373,1
374,2
375,2
376,1
377,1
378,1
379,2
380,1
381,1
382,0
383,2
384,2
385,2
386,0
387,2
388,2
389,0
390,2
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,2
404,2
405,0
406,1
407,1
408,2
409,1
410,2
411,0
412,2
413,1
414,0
415,1
416,1
417,0
418,2
419,0
420,0
421,2
422,0
423,2
424,2
425,2
426,2
427,1
428,0
429,1
430,2
431,2
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,2
440,0
441,0
442,1
443,0
444,2
445,1
446,0
447,1
448,1
449,0
450,2
451,2
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,2
461,2
462,0
463,1
464,0
465,1
466,1
467,2
468,0
469,0
470,2
471,2
472,1
473,1
474,1
475,1
476,2
477,0
478,0
479,2
480,1
481,1
482,1
483,1
484,2
485,1
486,1
487,1
488,2
489,1
490,2
491,2
492,1
493,2
494,2
495,2
496,1
497,2
498,1
499,0
500,2
501,2
502,2
503,1
504,0
505,1
506,0
507,2
508,2
509,1
510,2
511,0
512,2
513,2
514,1
515,2
516,0
517,1
518,2
519,2
520,1
521,2
522,0
523,1
524,0
525,2
526,0
527,0
528,1
529,1
530,0
531,2
532,2
533,1
534,0
535,0
536,2
537,0
538,2
539,2
540,0
541,1
542,1
543,1
544,0
545,1
546,1
547,2
548,1
549,1
550,2
551,0
552,1
553,2
554,1
555,1
556,2
557,1
558,1
559,1
560,1
561,0
562,1
563,2
564,0
565,2
566,2
567,1
568,1
569,2
570,2
571,2
572,1
573,1
574,0
575,1
576,2
577,1
578,1
579,1
580,1
581,2
582,0
583,1
584,1
585,0
586,2
587,1
588,2
589,1
590,1
591,2
592,0
593,0
594,2
595,0
596,2
597,1
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,1
606,2
607,0
608,0
609,1
610,0
611,2
612,0
613,1
614,0
615,0
616,2
617,0
618,1
619,0
620,1
621,0
622,0
623,1
624,1
625,0
626,1
627,0
628,2
629,1
630,1
631,2
632,1
633,0
634,1
635,1
636,1
637,1
638,0
639,2
640,1
641,0
642,0
643,1
644,2
645,0
646,1
647,2
648,1
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,0
657,0
658,2
659,0
660,0
661,1
662,1
663,0
664,1
665,0
666,0
667,1
668,1
669,0
670,1
671,1
672,1
673,2
674,0
675,2
676,0
677,2
678,0
679,0
680,0
681,1
682,0
683,1
684,1
685,2
686,1
687,0
688,1
689,1
690,0
691,1
692,1
693,1
694,2
695,0
696,0
697,2
698,1
699,1
700,2
701,2
702,0
703,1
704,0
705,0
706,1
707,2
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,2
716,0
717,2
718,2
719,1
720,1
721,2
722,1
723,1
724,2
725,1
726,1
727,2
728,0
729,0
730,2
731,0
732,2
733,0
734,2
735,0
736,1
737,2
738,2
739,2
740,1
741,0
742,1
743,2
744,1
745,2
746,0
747,2
748,2
749,1
750,0
751,1
752,1
753,1
754,0
755,1
756,0
757,0
758,2
759,1
760,2
761,0
762,1
763,0
764,1
765,1
766,2
767,0
768,1
769,1
770,2
771,0
772,2
773,1
774,2
775,0
776,0
777,0
778,1
779,1
780,1
781,2
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,2
790,1
791,0
792,2
793,0
794,0
795,1
796,0
797,1
798,0
799,1
800,1
801,1
802,0
803,1
804,1
805,0
806,0
807,0
808,2
809,1
810,1
811,0
812,2
