,date,percentage
1,2020-05-29,0.7407407407407407
3,2020-05-30,0.7306397306397306
5,2020-05-31,0.6212121212121212
7,2020-06-01,0.6705107084019769
9,2020-06-02,0.6763754045307443
11,2020-06-03,0.6804878048780488
13,2020-06-04,0.6641509433962264
15,2020-06-05,0.711943793911007
17,2020-06-06,0.662621359223301
19,2020-06-07,0.6570972886762361
21,2020-06-08,0.7153558052434457
23,2020-06-09,0.6757575757575758
25,2020-06-10,0.6541353383458647
27,2020-06-11,0.6977777777777778
29,2020-06-12,0.6857142857142857
31,2020-06-13,0.5709459459459459
33,2020-06-14,0.6782945736434108
35,2020-06-15,0.6402640264026402
37,2020-06-16,0.6325088339222615
39,2020-06-17,0.6051502145922747
41,2020-06-18,0.689419795221843
43,2020-06-19,0.6861924686192469
45,2020-06-20,0.6357142857142857
47,2020-06-21,0.6024096385542169
49,2020-06-22,0.654627539503386
51,2020-06-23,0.6109660574412533
53,2020-06-24,0.6612903225806451
55,2020-06-25,0.6311111111111111
57,2020-06-26,0.634020618556701
59,2020-06-27,0.5633802816901409
61,2020-06-28,0.6387096774193548
63,2020-06-29,0.6697819314641744
65,2020-06-30,0.6129032258064516
67,2020-07-01,0.621875
69,2020-07-02,0.6573033707865169
71,2020-07-03,0.6134185303514377
73,2020-07-04,0.6347826086956522
75,2020-07-05,0.6657754010695187
77,2020-07-06,0.6983050847457627
79,2020-07-07,0.6935483870967742
81,2020-07-08,0.5841584158415841
83,2020-07-09,0.6605504587155964
85,2020-07-10,0.7124463519313304
87,2020-07-11,0.6111111111111112
89,2020-07-12,0.6752411575562701
91,2020-07-13,0.6555183946488294
93,2020-07-14,0.6236559139784946
95,2020-07-15,0.6506550218340611
97,2020-07-16,0.6408163265306123
99,2020-07-17,0.6227544910179641
101,2020-07-18,0.6124567474048442
103,2020-07-19,0.5985130111524164
105,2020-07-20,0.6437908496732027
107,2020-07-21,0.6446280991735537
109,2020-07-22,0.6084142394822006
111,2020-07-23,0.5849802371541502
113,2020-07-24,0.6
115,2020-07-25,0.5988538681948424
117,2020-07-26,0.572992700729927
119,2020-07-27,0.6287128712871287
121,2020-07-28,0.6418918918918919
123,2020-07-29,0.6318407960199005
125,2020-07-30,0.6195652173913043
127,2020-07-31,0.6086956521739131
129,2020-08-01,0.6111111111111112
131,2020-08-02,0.5863309352517986
133,2020-08-03,0.6426332288401254
135,2020-08-04,0.6370106761565836
137,2020-08-05,0.6351351351351351
139,2020-08-06,0.7154811715481172
141,2020-08-07,0.6588235294117647
143,2020-08-08,0.6153846153846154
145,2020-08-09,0.6528301886792452
147,2020-08-10,0.6274509803921569
149,2020-08-11,0.6441717791411042
151,2020-08-12,0.6544117647058824
153,2020-08-13,0.6891385767790262
155,2020-08-14,0.6584507042253521
157,2020-08-15,0.631578947368421
159,2020-08-16,0.6829971181556196
161,2020-08-17,0.6723549488054608
163,2020-08-18,0.5926966292134831
165,2020-08-19,0.6643598615916955
167,2020-08-20,0.6614583333333334
169,2020-08-21,0.6895161290322581
171,2020-08-22,0.7023809523809523
173,2020-08-23,0.6160714285714286
175,2020-08-24,0.6579804560260586
177,2020-08-25,0.6236786469344608
179,2020-08-26,0.6706948640483383
181,2020-08-27,0.7118055555555556
183,2020-08-28,0.6075268817204301
185,2020-08-29,0.6088082901554405
187,2020-08-30,0.6049107142857143
189,2020-08-31,0.6428571428571429
191,2020-09-01,0.6821345707656613
193,2020-09-02,0.6361031518624641
195,2020-09-03,0.6984126984126984
197,2020-09-04,0.6273764258555133
199,2020-09-05,0.639344262295082
201,2020-09-06,0.6779661016949152
203,2020-09-07,0.668141592920354
205,2020-09-08,0.6884057971014492
207,2020-09-09,0.6931818181818182
209,2020-09-10,0.703030303030303
211,2020-09-11,0.673992673992674
213,2020-09-12,0.6509186351706037
215,2020-09-13,0.6764705882352942
217,2020-09-14,0.7125984251968503
219,2020-09-15,0.6454849498327759
221,2020-09-16,0.6824644549763034
223,2020-09-17,0.7024291497975709
225,2020-09-18,0.6853333333333333
227,2020-09-19,0.635
229,2020-09-20,0.64
231,2020-09-21,0.7129337539432177
233,2020-09-22,0.6507462686567164
235,2020-09-23,0.7194244604316546
237,2020-09-24,0.6483516483516484
239,2020-09-25,0.6713780918727915
241,2020-09-26,0.6274509803921569
243,2020-09-27,0.6555555555555556
245,2020-09-28,0.7
247,2020-09-29,0.6979405034324943
249,2020-09-30,0.6724565756823822
251,2020-10-01,0.6528662420382165
253,2020-10-02,0.676923076923077
255,2020-10-03,0.6333333333333333
257,2020-10-04,0.6207792207792208
259,2020-10-05,0.6925373134328359
261,2020-10-06,0.7095890410958904
263,2020-10-07,0.6746575342465754
265,2020-10-08,0.6678082191780822
267,2020-10-09,0.6224066390041494
269,2020-10-10,0.6626016260162602
271,2020-10-11,0.5985915492957746
273,2020-10-12,0.5816733067729084
275,2020-10-13,0.6156716417910447
277,2020-10-14,0.6038461538461538
279,2020-10-15,0.6178861788617886
281,2020-10-16,0.660377358490566
283,2020-10-17,0.6595092024539877
285,2020-10-18,0.6151315789473685
287,2020-10-19,0.6498054474708171
289,2020-10-20,0.6648199445983379
291,2020-10-21,0.6666666666666666
293,2020-10-22,0.6655052264808362
295,2020-10-23,0.6609442060085837
297,2020-10-24,0.7023255813953488
299,2020-10-25,0.7123287671232876
301,2020-10-26,0.7068181818181818
303,2020-10-27,0.6993670886075949
305,2020-10-28,0.7177033492822966
307,2020-10-29,0.6859296482412061
309,2020-10-30,0.6974169741697417
311,2020-10-31,0.701195219123506
313,2020-11-01,0.7364620938628159
315,2020-11-02,0.7255520504731862
317,2020-11-03,0.7378277153558053
319,2020-11-04,0.6430976430976431
321,2020-11-05,0.717948717948718
323,2020-11-06,0.7152777777777778
325,2020-11-07,0.7128378378378378
327,2020-11-08,0.6552631578947369
329,2020-11-09,0.7272727272727273
331,2020-11-10,0.6408163265306123
333,2020-11-11,0.7183908045977011
335,2020-11-12,0.6493150684931507
337,2020-11-13,0.6733333333333333
339,2020-11-14,0.6925566343042071
341,2020-11-15,0.6815068493150684
343,2020-11-16,0.7091633466135459
345,2020-11-17,0.6807511737089202
347,2020-11-18,0.7051792828685259
349,2020-11-19,0.6468085106382979
351,2020-11-20,0.680672268907563
353,2020-11-21,0.7050147492625368
355,2020-11-22,0.6824324324324325
357,2020-11-23,0.6909722222222222
359,2020-11-24,0.63671875
361,2020-11-25,0.754601226993865
363,2020-11-26,0.6988416988416989
365,2020-11-27,0.6488888888888888
367,2020-11-28,0.708185053380783
369,2020-11-29,0.6966292134831461
371,2020-11-30,0.7132352941176471
373,2020-12-01,0.6473214285714286
375,2020-12-02,0.6716417910447762
377,2020-12-03,0.706140350877193
379,2020-12-04,0.6737967914438503
381,2020-12-05,0.6067073170731707
383,2020-12-06,0.6468646864686468
385,2020-12-07,0.718562874251497
387,2020-12-08,0.7009345794392523
389,2020-12-09,0.7317073170731707
391,2020-12-10,0.7130044843049327
393,2020-12-11,0.7174721189591078
395,2020-12-12,0.74822695035461
397,2020-12-13,0.795774647887324
399,2020-12-14,0.7843866171003717
401,2020-12-15,0.762589928057554
403,2020-12-16,0.7236842105263158
405,2020-12-17,0.7842465753424658
407,2020-12-18,0.8286852589641435
409,2020-12-19,0.75
411,2020-12-20,0.7861111111111111
413,2020-12-21,0.7811320754716982
415,2020-12-22,0.7955801104972375
417,2020-12-23,0.7379679144385026
419,2020-12-24,0.7
421,2020-12-25,0.7425149700598802
423,2020-12-26,0.7634854771784232
425,2020-12-27,0.7359154929577465
427,2020-12-28,0.7692307692307693
429,2020-12-29,0.7218045112781954
431,2020-12-30,0.875
433,2020-12-31,0.8518518518518519
435,2021-01-01,0.8095238095238095
437,2021-01-02,0.6947368421052632
439,2021-01-03,0.7359307359307359
441,2021-01-04,0.7926136363636364
443,2021-01-05,0.8052325581395349
445,2021-01-06,0.773851590106007
447,2021-01-07,0.7944664031620553
449,2021-01-08,0.8390804597701149
451,2021-01-09,0.8150470219435737
453,2021-01-10,0.8126984126984127
455,2021-01-11,0.8333333333333334
457,2021-01-12,0.8368200836820083
459,2021-01-13,0.810126582278481
461,2021-01-14,0.8035087719298246
463,2021-01-15,0.782608695652174
465,2021-01-16,0.8319783197831978
467,2021-01-17,0.7979094076655052
469,2021-01-18,0.7980769230769231
471,2021-01-19,0.8382749326145552
473,2021-01-20,0.7924528301886793
475,2021-01-21,0.8603603603603603
477,2021-01-22,0.8571428571428571
479,2021-01-23,0.7715231788079471
481,2021-01-24,0.8057851239669421
483,2021-01-25,0.7756653992395437
485,2021-01-26,0.7894736842105263
487,2021-01-27,0.8333333333333334
489,2021-01-28,0.7528089887640449
491,2021-01-29,0.8615384615384616
493,2021-01-30,0.7222222222222222
495,2021-01-31,0.7911392405063291
497,2021-02-01,0.7564575645756457
499,2021-02-02,0.7977941176470589
501,2021-02-03,0.8095238095238095
503,2021-02-04,0.7520661157024794
505,2021-02-05,0.7428571428571429
507,2021-02-06,0.7769784172661871
509,2021-02-07,0.7615384615384615
511,2021-02-08,0.7581227436823105
513,2021-02-09,0.762214983713355
515,2021-02-10,0.7905138339920948
517,2021-02-11,0.774468085106383
519,2021-02-12,0.7947368421052632
521,2021-02-13,0.7298245614035088
523,2021-02-14,0.6879699248120301
525,2021-02-15,0.74235807860262
527,2021-02-16,0.75177304964539
529,2021-02-17,0.7649253731343284
531,2021-02-18,0.7689075630252101
533,2021-02-19,0.7604562737642585
535,2021-02-20,0.7962264150943397
537,2021-02-21,0.7570093457943925
539,2021-02-22,0.7294117647058823
541,2021-02-23,0.7450199203187251
543,2021-02-24,0.7766990291262136
545,2021-02-25,0.7095238095238096
547,2021-02-26,0.7901234567901234
549,2021-02-27,0.7177033492822966
551,2021-02-28,0.7303370786516854
553,2021-03-01,0.72
555,2021-03-02,0.7206349206349206
557,2021-03-03,0.7296137339055794
559,2021-03-04,0.697560975609756
561,2021-03-05,0.7687861271676301
563,2021-03-06,0.7398373983739838
565,2021-03-07,0.7416666666666667
567,2021-03-08,0.7428571428571429
569,2021-03-09,0.7379032258064516
571,2021-03-10,0.7611940298507462
573,2021-03-11,0.753968253968254
575,2021-03-12,0.7053140096618358
577,2021-03-13,0.6557971014492754
579,2021-03-14,0.7008547008547008
581,2021-03-15,0.7142857142857143
583,2021-03-16,0.6991150442477876
585,2021-03-17,0.6911764705882353
587,2021-03-18,0.6823104693140795
589,2021-03-19,0.6885245901639344
591,2021-03-20,0.667953667953668
593,2021-03-21,0.6696035242290749
595,2021-03-22,0.7372881355932204
597,2021-03-23,0.6743119266055045
599,2021-03-24,0.6830065359477124
601,2021-03-25,0.7123893805309734
603,2021-03-26,0.7029702970297029
605,2021-03-27,0.7008196721311475
607,2021-03-28,0.7095435684647303
609,2021-03-29,0.700507614213198
611,2021-03-30,0.7205882352941176
613,2021-03-31,0.7512437810945274
615,2021-04-01,0.6329787234042553
617,2021-04-02,0.6277777777777778
619,2021-04-03,0.6325301204819277
621,2021-04-04,0.6650717703349283
623,2021-04-05,0.697508896797153
625,2021-04-06,0.6759776536312849
627,2021-04-07,0.6735751295336787
629,2021-04-08,0.7375
631,2021-04-09,0.6593406593406593
633,2021-04-10,0.6649746192893401
635,2021-04-11,0.6330645161290323
637,2021-04-12,0.6936416184971098
639,2021-04-13,0.7068965517241379
641,2021-04-14,0.7043010752688172
643,2021-04-15,0.7114093959731543
645,2021-04-16,0.6256684491978609
647,2021-04-17,0.6519337016574586
649,2021-04-18,0.6467661691542289
651,2021-04-19,0.703030303030303
653,2021-04-20,0.7114427860696517
655,2021-04-21,0.69140625
657,2021-04-22,0.6456692913385826
659,2021-04-23,0.6637554585152838
661,2021-04-24,0.65
663,2021-04-25,0.6521739130434783
665,2021-04-26,0.6178343949044586
667,2021-04-27,0.6181818181818182
669,2021-04-28,0.6442307692307693
671,2021-04-29,0.6375838926174496
673,2021-04-30,0.6753731343283582
675,2021-05-01,0.7052631578947368
677,2021-05-02,0.7007299270072993
679,2021-05-03,0.6792452830188679
681,2021-05-04,0.6858638743455497
683,2021-05-05,0.5935251798561151
685,2021-05-06,0.6966292134831461
687,2021-05-07,0.6
689,2021-05-08,0.6149732620320856
691,2021-05-09,0.5879396984924623
693,2021-05-10,0.6504854368932039
695,2021-05-11,0.6528497409326425
697,2021-05-12,0.5858585858585859
699,2021-05-13,0.5982532751091703
701,2021-05-14,0.6037735849056604
703,2021-05-15,0.5823754789272031
705,2021-05-16,0.6084905660377359
707,2021-05-17,0.6372549019607843
709,2021-05-18,0.6788990825688074
711,2021-05-19,0.6511627906976745
713,2021-05-20,0.6928571428571428
715,2021-05-21,0.6436363636363637
717,2021-05-22,0.6497695852534562
719,2021-05-23,0.6052631578947368
721,2021-05-24,0.6188524590163934
723,2021-05-25,0.7005347593582888
725,2021-05-26,0.6933962264150944
727,2021-05-27,0.5966850828729282
729,2021-05-28,0.6382978723404256
731,2021-05-29,0.5321637426900585
733,2021-05-30,0.5989304812834224
735,2021-05-31,0.6708074534161491
737,2021-06-01,0.6157635467980296
739,2021-06-02,0.6206896551724138
741,2021-06-03,0.6347826086956522
743,2021-06-04,0.6528925619834711
745,2021-06-05,0.6444444444444445
747,2021-06-06,0.5851063829787234
749,2021-06-07,0.6
751,2021-06-08,0.611764705882353
753,2021-06-09,0.6108108108108108
755,2021-06-10,0.57
757,2021-06-11,0.5838509316770186
759,2021-06-12,0.60625
761,2021-06-13,0.5857988165680473
763,2021-06-14,0.6197916666666666
765,2021-06-15,0.5654450261780105
767,2021-06-16,0.6
769,2021-06-17,0.6666666666666666
771,2021-06-18,0.6449704142011834
773,2021-06-19,0.6
775,2021-06-20,0.647887323943662
777,2021-06-21,0.5846774193548387
779,2021-06-22,0.600896860986547
781,2021-06-23,0.5404040404040404
783,2021-06-24,0.6171875
785,2021-06-25,0.5833333333333334
