,date,group,percentage
0,2020-07-16,0,0.4066390041493776
1,2020-07-17,0,0.4727272727272727
2,2020-07-18,0,0.3588850174216028
3,2020-07-19,0,0.40234375
4,2020-07-20,0,0.34146341463414637
5,2020-07-21,0,0.38666666666666666
6,2020-07-22,0,0.47058823529411764
7,2020-07-23,0,0.451063829787234
8,2020-07-24,0,0.4581673306772908
9,2020-07-25,0,0.3799392097264438
10,2020-07-26,0,0.4461538461538462
11,2020-07-27,0,0.40102827763496146
12,2020-07-28,0,0.3771626297577855
13,2020-07-29,0,0.4095744680851064
14,2020-07-30,0,0.41570438799076215
15,2020-07-31,0,0.47717842323651455
16,2020-08-01,0,0.4377880184331797
17,2020-08-02,0,0.3984375
18,2020-08-03,0,0.3933333333333333
19,2020-08-04,0,0.4356060606060606
20,2020-08-05,0,0.4148936170212766
21,2020-08-06,0,0.37117903930131
22,2020-08-07,0,0.37130801687763715
23,2020-08-08,0,0.4
24,2020-08-09,0,0.42248062015503873
25,2020-08-10,0,0.3755274261603376
26,2020-08-11,0,0.37579617834394907
27,2020-08-12,0,0.3684210526315789
28,2020-08-13,0,0.3557312252964427
29,2020-08-14,0,0.4015444015444015
30,2020-08-15,0,0.42696629213483145
31,2020-08-16,0,0.34069400630914826
32,2020-08-17,0,0.3655913978494624
33,2020-08-18,0,0.41964285714285715
34,2020-08-19,0,0.4036363636363636
35,2020-08-20,0,0.33516483516483514
36,2020-08-21,0,0.3562231759656652
37,2020-08-22,0,0.32098765432098764
38,2020-08-23,0,0.42592592592592593
39,2020-08-24,0,0.33676975945017185
40,2020-08-25,0,0.38620689655172413
41,2020-08-26,0,0.3588039867109635
42,2020-08-27,0,0.3
43,2020-08-28,0,0.35
44,2020-08-29,0,0.3651685393258427
45,2020-08-30,0,0.3586698337292161
46,2020-08-31,0,0.35368421052631577
47,2020-09-01,0,0.33902439024390246
48,2020-09-02,0,0.3586626139817629
49,2020-09-03,0,0.30472103004291845
50,2020-09-04,0,0.4065040650406504
51,2020-09-05,0,0.39655172413793105
52,2020-09-06,0,0.36283185840707965
53,2020-09-07,0,0.3412322274881517
54,2020-09-08,0,0.36186770428015563
55,2020-09-09,0,0.2981366459627329
56,2020-09-10,0,0.3522012578616352
57,2020-09-11,0,0.3852140077821012
58,2020-09-12,0,0.3791208791208791
59,2020-09-13,0,0.391304347826087
60,2020-09-14,0,0.37037037037037035
61,2020-09-15,0,0.45104895104895104
62,2020-09-16,0,0.3910891089108911
63,2020-09-17,0,0.3642241379310345
64,2020-09-18,0,0.4090909090909091
65,2020-09-19,0,0.43041237113402064
66,2020-09-20,0,0.44410876132930516
67,2020-09-21,0,0.40594059405940597
68,2020-09-22,0,0.4227129337539432
69,2020-09-23,0,0.3831417624521073
70,2020-09-24,0,0.43410852713178294
71,2020-09-25,0,0.45724907063197023
72,2020-09-26,0,0.4421965317919075
73,2020-09-27,0,0.4409448818897638
74,2020-09-28,0,0.4151898734177215
75,2020-09-29,0,0.40632603406326034
76,2020-09-30,0,0.41836734693877553
77,2020-10-01,0,0.44299674267100975
78,2020-10-02,0,0.45161290322580644
79,2020-10-03,0,0.4279661016949153
80,2020-10-04,0,0.49865229110512127
81,2020-10-05,0,0.4012738853503185
82,2020-10-06,0,0.4355300859598854
83,2020-10-07,0,0.4142857142857143
84,2020-10-08,0,0.39855072463768115
85,2020-10-09,0,0.4557522123893805
86,2020-10-10,0,0.43612334801762115
87,2020-10-11,0,0.4729241877256318
88,2020-10-12,0,0.4957627118644068
89,2020-10-13,0,0.42857142857142855
90,2020-10-14,0,0.4567901234567901
91,2020-10-15,0,0.4217391304347826
92,2020-10-16,0,0.4675324675324675
93,2020-10-17,0,0.42483660130718953
94,2020-10-18,0,0.42105263157894735
95,2020-10-19,0,0.37872340425531914
96,2020-10-20,0,0.43582089552238806
97,2020-10-21,0,0.43727598566308246
98,2020-10-22,0,0.40977443609022557
99,2020-10-23,0,0.44907407407407407
100,2020-10-24,0,0.41728395061728396
101,2020-10-25,0,0.40875912408759124
102,2020-10-26,0,0.4209245742092457
103,2020-10-27,0,0.41471571906354515
104,2020-10-28,0,0.4105263157894737
105,2020-10-29,0,0.3787465940054496
106,2020-10-30,0,0.40711462450592883
107,2020-10-31,0,0.37872340425531914
108,2020-11-01,0,0.35687732342007433
109,2020-11-02,0,0.348993288590604
110,2020-11-03,0,0.39183673469387753
111,2020-11-04,0,0.4226415094339623
112,2020-11-05,0,0.3694581280788177
113,2020-11-06,0,0.4108527131782946
114,2020-11-07,0,0.4460431654676259
115,2020-11-08,0,0.4207492795389049
116,2020-11-09,0,0.42803030303030304
117,2020-11-10,0,0.4246575342465753
118,2020-11-11,0,0.3933333333333333
119,2020-11-12,0,0.4463768115942029
120,2020-11-13,0,0.41353383458646614
121,2020-11-14,0,0.3964285714285714
122,2020-11-15,0,0.4777777777777778
123,2020-11-16,0,0.41739130434782606
124,2020-11-17,0,0.3802083333333333
125,2020-11-18,0,0.4008810572687225
126,2020-11-19,0,0.4532710280373832
127,2020-11-20,0,0.42857142857142855
128,2020-11-21,0,0.4012738853503185
129,2020-11-22,0,0.43656716417910446
130,2020-11-23,0,0.41923076923076924
131,2020-11-24,0,0.4279661016949153
132,2020-11-25,0,0.375886524822695
133,2020-11-26,0,0.42276422764227645
134,2020-11-27,0,0.45410628019323673
135,2020-11-28,0,0.41509433962264153
136,2020-11-29,0,0.375
137,2020-11-30,0,0.4083333333333333
138,2020-12-01,0,0.4236453201970443
139,2020-12-02,0,0.44505494505494503
140,2020-12-03,0,0.4223300970873786
