,date,group,percentage
0,2020-07-21,1,0.38666666666666666
1,2020-07-22,1,0.4671280276816609
2,2020-07-23,1,0.451063829787234
3,2020-07-24,1,0.46215139442231074
4,2020-07-25,1,0.3799392097264438
5,2020-07-26,1,0.4423076923076923
6,2020-07-27,1,0.39845758354755784
7,2020-07-28,1,0.3771626297577855
8,2020-07-29,1,0.4095744680851064
9,2020-07-30,1,0.41570438799076215
10,2020-07-31,1,0.48132780082987553
11,2020-08-01,1,0.4377880184331797
12,2020-08-02,1,0.3984375
13,2020-08-03,1,0.4
14,2020-08-04,1,0.4318181818181818
15,2020-08-05,1,0.4219858156028369
16,2020-08-06,1,0.37554585152838427
17,2020-08-07,1,0.379746835443038
18,2020-08-08,1,0.4
19,2020-08-09,1,0.42248062015503873
20,2020-08-10,1,0.3755274261603376
21,2020-08-11,1,0.37579617834394907
22,2020-08-12,1,0.3684210526315789
23,2020-08-13,1,0.3557312252964427
24,2020-08-14,1,0.4015444015444015
25,2020-08-15,1,0.4232209737827715
26,2020-08-16,1,0.3438485804416404
27,2020-08-17,1,0.36917562724014336
28,2020-08-18,1,0.4166666666666667
29,2020-08-19,1,0.4036363636363636
30,2020-08-20,1,0.33516483516483514
31,2020-08-21,1,0.3648068669527897
32,2020-08-22,1,0.32098765432098764
33,2020-08-23,1,0.4351851851851852
34,2020-08-24,1,0.3402061855670103
35,2020-08-25,1,0.38620689655172413
36,2020-08-26,1,0.3554817275747508
37,2020-08-27,1,0.3
38,2020-08-28,1,0.35555555555555557
39,2020-08-29,1,0.36235955056179775
40,2020-08-30,1,0.35629453681710216
41,2020-08-31,1,0.35157894736842105
42,2020-09-01,1,0.33658536585365856
43,2020-09-02,1,0.3556231003039514
44,2020-09-03,1,0.30472103004291845
45,2020-09-04,1,0.4024390243902439
46,2020-09-05,1,0.39655172413793105
47,2020-09-06,1,0.36283185840707965
48,2020-09-07,1,0.33649289099526064
49,2020-09-08,1,0.36964980544747084
50,2020-09-09,1,0.2981366459627329
51,2020-09-10,1,0.3522012578616352
52,2020-09-11,1,0.3852140077821012
53,2020-09-12,1,0.37637362637362637
54,2020-09-13,1,0.391304347826087
55,2020-09-14,1,0.35390946502057613
56,2020-09-15,1,0.45104895104895104
57,2020-09-16,1,0.3910891089108911
58,2020-09-17,1,0.3620689655172414
59,2020-09-18,1,0.4034090909090909
60,2020-09-19,1,0.43041237113402064
61,2020-09-20,1,0.44108761329305135
62,2020-09-21,1,0.40594059405940597
63,2020-09-22,1,0.416403785488959
64,2020-09-23,1,0.3793103448275862
