method,number_cluster,silhouette_score_avg,ch_score_avg,model_specific_score_avg,db_score_avg,silhouette_score_std,ch_score_std,model_specific_score_std,db_score_std
gmm_full,1,,,-70273.37255017369,,,,0.0,
gmm_full,2,0.21651874177095118,10385.127952410423,-91635.84065304606,1.9676376871555163,0.00016578084316802298,3.280447359347752,1.1657019525702452,0.000259217068508808
gmm_full,3,0.12193307270131178,8636.013924775163,-94828.68149910042,1.946506466689409,0.0001043181050563361,1.672795355640695,3.885234221815611,0.0009552476243140561
gmm_full,4,0.05488423405163885,5624.427827430101,-134764.30768679624,3.4415511390857754,0.00033842586177717507,98.58814945492645,111.25091896532757,0.0010461289073857667
gmm_full,5,0.053806330522666215,5239.245966836524,-136333.94967684904,3.1711293575055253,0.010263435977275399,360.4093400696993,422.5980696827991,0.5533541781800875
gmm_full,6,0.03513909093614419,4761.55959430257,-138249.18913382193,2.923535764722793,0.003938454803770939,205.76816545830602,508.86240415469945,0.42063532932411374
gmm_full,7,0.02212532724118783,4634.227543057426,-138250.09337490847,2.7163468228598413,0.005769052270422054,125.1743313474546,470.4467934039953,0.32683467565222507
kmeans,1,,,7733.3782829519605,,,,0.0,
kmeans,2,0.22861232430030348,14515.243056303865,5962.063029536381,1.6864043794269115,0.00015583557715250103,1.0445066355366717,0.006689881498970932,0.0003743947470328845
kmeans,3,0.21114247136146208,14424.40395820514,4920.786704920189,1.4351822142144035,1.7693642717105287e-05,2.1933971666185785,0.004019721279821428,0.00032089048085700265
kmeans,4,0.19360584157907473,12628.539159282478,4393.144676799177,1.4908813734419197,0.00018286124235756117,1.1968201566833263,0.010551699564406658,0.002462018912745691
kmeans,5,0.1977877920472379,11742.850967243106,3980.2943661371546,1.431089119155015,0.0002733242612601207,1.0280965065754777,0.03965219939384981,0.0011747277106529223
kmeans,6,0.17353824562008843,10873.18254649982,3709.640064604956,1.5236555419813618,0.0005007781563717688,4.8255193498525575,0.1128145124346005,0.001358055450115043
kmeans,7,0.17761204515001888,10301.420778987298,3460.989620770867,1.4606794182440566,0.0005882187890260715,16.04032709251964,0.26446975604951883,0.006463136110744211
