covariance_type,number_cluster,silhouette_score,ch_score
full,2,0.22932773958323666,10502.726960574348
full,3,0.17429611994974348,10810.050610853616
full,4,0.07129621989450868,7957.195699273706
full,5,0.049754463017641255,5794.043046522125
tied,2,0.3749837693619787,14567.21950560552
tied,3,0.24920028382931342,8899.89164631863
tied,4,0.22227812213431627,7686.807269193788
tied,5,0.1477359972963879,8255.274837330706
diag,2,0.1809357867175771,9925.201331879894
diag,3,0.1468124773311046,11639.433379575095
diag,4,0.07012544386898859,6657.539587227644
diag,5,0.02912710719273078,4712.872350786194
spherical,2,0.36302111894931927,15349.150264347558
spherical,3,0.2033259741455598,12212.859906799566
spherical,4,0.14713904368351263,11057.945408567062
spherical,5,0.141214658340987,9609.1788789699
