method,number_cluster,silhouette_score_avg,ch_score_avg,model_specific_score_avg,db_score_avg,silhouette_score_std,ch_score_std,model_specific_score_std,db_score_std
gmm_diag,2,0.15402854202654742,8395.824738961386,-106780.86661872943,2.286609788700064,0.0,0.0,0.1384486500136618,0.0
gmm_diag,3,0.059730653799861616,5108.19819620266,-122785.55455209986,2.9343600698938435,9.188529746691324e-05,5.3016866596756715,13.65370053728243,0.0031936397358567183
gmm_diag,4,0.03805563429966577,4134.096547531897,-155787.1749032417,4.098434563683792,0.008554746359620278,9.270271725490188,89.78883501818669,0.550562655521078
gmm_diag,5,0.030972288393401715,3835.9553207907047,-162519.72706582025,3.6048322097152896,0.0002370182175728058,6.813458915638646,9.585374352057507,0.004742033116250367
gmm_diag,6,0.03653089220064212,3717.2742565708377,-167213.76694328457,3.243810313879212,0.00040965839084074337,0.10430679853678887,13.323769006646232,0.004676744866666093
gmm_diag,7,0.009724560075661349,3319.6198889076445,-169672.04833140687,3.467022084880318,0.006401174338664507,70.22415249954602,168.909629134131,0.42748468898766384
gmm_full,2,0.1606314195636686,6214.80490362881,-124545.6263968767,2.639774759404769,1.076981635514984e-05,0.6655826200628517,0.17500940130560286,0.00015758982343912496
gmm_full,3,0.023070147789653165,4080.567882042945,-132896.68062141887,3.7571352108543112,4.023856407995926e-05,0.2788524419234354,2.9989926103722495,0.0003230264808663593
gmm_full,4,0.02654005897530779,3545.9018625506897,-168075.17222646475,3.2231763015319523,0.00566331296713735,81.78466694837685,24.636925960282213,0.0737940072929509
gmm_full,5,0.0179927426141593,3346.0239541770766,-172409.80362800736,3.4443090161097247,8.371368825603462e-05,4.500118409732357,8.380375222993695,0.0049228881011013845
gmm_full,6,0.006719933358494737,3008.185143223019,-174662.08812406543,3.852428030008796,0.0075622310550593885,53.10216789059425,31.42484710571216,0.5771218988091642
gmm_full,7,-0.002723212838841688,2639.0200005476154,-177439.92873972625,4.174221472066419,0.006205929277247639,235.35962177005212,1024.7670878162762,0.6728339449976297
gmm_spherical,2,0.21459133770776576,8599.085091740964,-76747.79210169161,2.20794604089624,4.506942340709804e-05,0.32591753672229173,0.15029266975461464,0.00019477717778415153
gmm_spherical,3,0.12645360614094317,8306.644408161228,-86752.51619152704,1.9045130584339287,6.543829709693935e-06,0.32046111850515735,0.09912340665234465,4.1669798255970436e-05
gmm_spherical,4,0.08747791744467669,6391.710657045614,-93640.76742603176,2.445054570134684,0.000612197919489359,0.007142606474625664,2.187056973275072,0.008366356090675818
gmm_spherical,5,0.10753524319164405,6268.914454800802,-96812.33045382694,2.165173754592537,0.0012691904027602376,56.63356959805669,83.81910311887337,0.017081362570487885
gmm_spherical,6,0.11643349397962097,5983.939290494146,-99887.82416823955,1.9464421555081461,0.004198180891714666,117.29337509815035,7.966138972813239,0.008361034503689531
gmm_spherical,7,0.1200766717582272,5973.395124291751,-102251.58293647827,1.7765902758940304,0.01906395106546063,407.42218691229795,793.5350429988217,0.0769088201270642
gmm_tied,2,0.24129719725963117,3581.970773060025,-103728.22519373088,1.8114009517993488,9.501226961794229e-06,0.45737660531710317,0.19550982231121053,7.437557049276446e-05
gmm_tied,3,0.14197512666628978,6035.617071876815,-104215.24169407776,2.019494644746209,4.043572607299456e-07,0.06862013242251011,0.05949311103325464,3.192233862162582e-05
gmm_tied,4,0.14599277166694274,5714.95597470447,-115612.63602235258,1.8567902219331227,3.839151928645277e-05,0.0345500180579616,0.36420555559547085,0.0016782486736278315
gmm_tied,5,0.13758648459143033,5502.700527182444,-117544.8202579777,1.8132456411842042,0.0006736727106822885,9.485874145602054,26.40350068192012,0.005256031660140223
gmm_tied,6,0.12691579703783437,5201.317146512665,-117710.52880364632,1.7745101026348937,0.0006934064730952502,14.029393963377897,34.827463876680014,0.0011771110004068133
gmm_tied,7,0.10842368442026448,4974.414917248327,-117885.62557859306,1.8145424443680491,0.009853213782912627,354.5076133290798,10.125962966191484,0.03392736702937805
kmeans,2,0.18714320416991015,10524.097661267766,9059.159137647704,1.9989862771668476,0.000486609100879201,4.766916417474103,0.0022505163600074402,0.001254450853207404
kmeans,3,0.1542826175268054,9626.078748050448,7948.799862445723,1.7932247406231425,5.854686557921447e-05,2.548356321477835,0.012289827323655972,0.0014126712375212862
kmeans,4,0.15815186056356562,8109.0233745411915,7356.824761607903,1.8020614832805202,8.49503021075051e-06,1.1684974635298622,0.07715414568723042,0.0042215037695668345
kmeans,5,0.14432354568312084,7363.134168175837,6871.047075145661,1.7353306440073348,2.106146119675043e-05,0.24583717731004923,0.1495294832783598,0.0004521866582087062
kmeans,6,0.15009412210930664,6972.121610840964,6437.559043387941,1.6769204225164014,0.0002978820338217036,1.4108405844394467,0.09697634320930228,0.000854540450523873
kmeans,7,0.1395983527010286,6649.118450675913,6082.002106946318,1.6249069104159624,0.0003047758726854178,0.9133668411844985,0.1834055821585343,0.0010721585955857807
