"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-W03;65-79;Påbegyndt vaccinationsforløb;79;29136;271,14
2021-W03;80+;Forventet fuld effekt;0;0;0,00
2021-W03;80+;Ikke vaccineret;201;233261;86,17
2021-W03;80+;Påbegyndt vaccinationsforløb;131;38504;340,22
2021-W04;12-15;Forventet fuld effekt;0;0;0,00
2021-W04;12-15;Ikke vaccineret;162;283605;57,12
2021-W04;12-15;Påbegyndt vaccinationsforløb;0;5;0,00
2021-W04;16-19;Forventet fuld effekt;0;0;0,00
2021-W04;16-19;Ikke vaccineret;169;277426;60,92
2021-W04;16-19;Påbegyndt vaccinationsforløb;0;739;0,00
2021-W04;20-39;Forventet fuld effekt;0;20;0,00
2021-W04;20-39;Ikke vaccineret;1033;1454258;71,03
2021-W04;20-39;Påbegyndt vaccinationsforløb;39;31020;125,73
2021-W04;40-64;Forventet fuld effekt;0;47;0,00
2021-W04;40-64;Ikke vaccineret;1173;1833112;63,99
2021-W04;40-64;Påbegyndt vaccinationsforløb;87;72666;119,73
2021-W04;65-79;Forventet fuld effekt;0;15;0,00
2021-W04;65-79;Ikke vaccineret;311;864971;35,95
2021-W04;65-79;Påbegyndt vaccinationsforløb;36;30197;119,22
2021-W04;80+;Forventet fuld effekt;0;24;0,00
2021-W04;80+;Ikke vaccineret;122;232075;52,57
2021-W04;80+;Påbegyndt vaccinationsforløb;82;39666;206,73
2021-W05;12-15;Forventet fuld effekt;0;2;0,00
2021-W05;12-15;Ikke vaccineret;133;283605;46,90
2021-W05;12-15;Påbegyndt vaccinationsforløb;0;3;0,00
2021-W05;16-19;Forventet fuld effekt;0;35;0,00
2021-W05;16-19;Ikke vaccineret;147;277362;53,00
2021-W05;16-19;Påbegyndt vaccinationsforløb;0;768;0,00
2021-W05;20-39;Forventet fuld effekt;0;1989;0,00
2021-W05;20-39;Ikke vaccineret;980;1453176;67,44
2021-W05;20-39;Påbegyndt vaccinationsforløb;18;30133;59,74
2021-W05;40-64;Forventet fuld effekt;0;5137;0,00
2021-W05;40-64;Ikke vaccineret;1006;1830740;54,95
2021-W05;40-64;Påbegyndt vaccinationsforløb;40;69948;57,19
2021-W05;65-79;Forventet fuld effekt;2;1907;104,90
2021-W05;65-79;Ikke vaccineret;277;863293;32,09
2021-W05;65-79;Påbegyndt vaccinationsforløb;31;29985;103,39
2021-W05;80+;Forventet fuld effekt;0;3014;0,00
2021-W05;80+;Ikke vaccineret;85;230036;36,95
2021-W05;80+;Påbegyndt vaccinationsforløb;54;38715;139,48
2021-W06;12-15;Forventet fuld effekt;0;2;0,00
2021-W06;12-15;Ikke vaccineret;132;283602;46,54
2021-W06;12-15;Påbegyndt vaccinationsforløb;1;6;17073,17
2021-W06;16-19;Forventet fuld effekt;0;182;0,00
2021-W06;16-19;Ikke vaccineret;146;277260;52,66
2021-W06;16-19;Påbegyndt vaccinationsforløb;0;723;0,00
2021-W06;20-39;Forventet fuld effekt;1;8579;11,66
2021-W06;20-39;Ikke vaccineret;849;1450273;58,54
2021-W06;20-39;Påbegyndt vaccinationsforløb;12;26446;45,37
2021-W06;40-64;Forventet fuld effekt;1;22131;4,52
2021-W06;40-64;Ikke vaccineret;919;1825553;50,34
2021-W06;40-64;Påbegyndt vaccinationsforløb;26;58141;44,72
2021-W06;65-79;Forventet fuld effekt;1;7902;12,66
2021-W06;65-79;Ikke vaccineret;204;861635;23,68
2021-W06;65-79;Påbegyndt vaccinationsforløb;16;25648;62,38
2021-W06;80+;Forventet fuld effekt;3;12313;24,36
2021-W06;80+;Ikke vaccineret;53;220882;23,99
2021-W06;80+;Påbegyndt vaccinationsforløb;13;38570;33,71
2021-W07;12-15;Forventet fuld effekt;0;2;0,00
2021-W07;12-15;Ikke vaccineret;152;283601;53,60
2021-W07;12-15;Påbegyndt vaccinationsforløb;0;7;0,00
2021-W07;16-19;Forventet fuld effekt;0;467;0,00
2021-W07;16-19;Ikke vaccineret;207;276920;74,75
2021-W07;16-19;Påbegyndt vaccinationsforløb;0;777;0,00
2021-W07;20-39;Forventet fuld effekt;3;19128;15,68
2021-W07;20-39;Ikke vaccineret;1080;1441465;74,92
2021-W07;20-39;Påbegyndt vaccinationsforløb;15;24705;60,72
2021-W07;40-64;Forventet fuld effekt;9;49442;18,20
2021-W07;40-64;Ikke vaccineret;1052;1808242;58,18
2021-W07;40-64;Påbegyndt vaccinationsforløb;15;48141;31,16
2021-W07;65-79;Forventet fuld effekt;5;18241;27,41
2021-W07;65-79;Ikke vaccineret;218;857351;25,43
2021-W07;65-79;Påbegyndt vaccinationsforløb;2;19592;10,21
2021-W07;80+;Forventet fuld effekt;5;26099;19,16
2021-W07;80+;Ikke vaccineret;42;188430;22,29
2021-W07;80+;Påbegyndt vaccinationsforløb;9;57236;15,72
2021-W08;12-15;Forventet fuld effekt;0;2;0,00
2021-W08;12-15;Ikke vaccineret;188;283597;66,29
2021-W08;12-15;Påbegyndt vaccinationsforløb;0;11;0,00
2021-W08;16-19;Forventet fuld effekt;0;637;0,00
2021-W08;16-19;Ikke vaccineret;221;276423;79,95
2021-W08;16-19;Påbegyndt vaccinationsforløb;2;1105;181,02
2021-W08;20-39;Forventet fuld effekt;3;26259;11,42
2021-W08;20-39;Ikke vaccineret;1220;1427874;85,44
2021-W08;20-39;Påbegyndt vaccinationsforløb;16;31164;51,34
2021-W08;40-64;Forventet fuld effekt;13;64375;20,19
2021-W08;40-64;Ikke vaccineret;1109;1779133;62,33
2021-W08;40-64;Påbegyndt vaccinationsforløb;36;62317;57,77
2021-W08;65-79;Forventet fuld effekt;4;26472;15,11
2021-W08;65-79;Ikke vaccineret;231;844482;27,35
2021-W08;65-79;Påbegyndt vaccinationsforløb;8;24230;33,02
2021-W08;80+;Forventet fuld effekt;9;36228;24,84
2021-W08;80+;Ikke vaccineret;49;152069;32,22
2021-W08;80+;Påbegyndt vaccinationsforløb;26;83467;31,15
2021-W09;12-15;Forventet fuld effekt;0;3;0,00
2021-W09;12-15;Ikke vaccineret;187;283571;65,94
2021-W09;12-15;Påbegyndt vaccinationsforløb;0;36;0,00
2021-W09;16-19;Forventet fuld effekt;0;709;0,00
2021-W09;16-19;Ikke vaccineret;239;275612;86,72
2021-W09;16-19;Påbegyndt vaccinationsforløb;0;1844;0,00
2021-W09;20-39;Forventet fuld effekt;2;29580;6,76
2021-W09;20-39;Ikke vaccineret;1142;1407344;81,15
2021-W09;20-39;Påbegyndt vaccinationsforløb;30;48375;62,02
2021-W09;40-64;Forventet fuld effekt;16;70193;22,79
2021-W09;40-64;Ikke vaccineret;1080;1732355;62,34
2021-W09;40-64;Påbegyndt vaccinationsforløb;46;103277;44,54
2021-W09;65-79;Forventet fuld effekt;2;29038;6,89
2021-W09;65-79;Ikke vaccineret;191;815302;23,43
2021-W09;65-79;Påbegyndt vaccinationsforløb;21;50844;41,30
2021-W09;80+;Forventet fuld effekt;4;38137;10,49
2021-W09;80+;Ikke vaccineret;41;137303;29,86
2021-W09;80+;Påbegyndt vaccinationsforløb;15;96325;15,57
2021-W10;12-15;Forventet fuld effekt;0;3;0,00
2021-W10;12-15;Ikke vaccineret;208;283550;73,36
2021-W10;12-15;Påbegyndt vaccinationsforløb;0;57;0,00
2021-W10;16-19;Forventet fuld effekt;0;764;0,00
2021-W10;16-19;Ikke vaccineret;266;274913;96,76
2021-W10;16-19;Påbegyndt vaccinationsforløb;3;2488;120,59
2021-W10;20-39;Forventet fuld effekt;3;30785;9,75
2021-W10;20-39;Ikke vaccineret;1225;1388795;88,21
2021-W10;20-39;Påbegyndt vaccinationsforløb;35;65719;53,26
2021-W10;40-64;Forventet fuld effekt;9;72793;12,36
2021-W10;40-64;Ikke vaccineret;1137;1697181;66,99
2021-W10;40-64;Påbegyndt vaccinationsforløb;66;135851;48,58
2021-W10;65-79;Forventet fuld effekt;3;30873;9,72
2021-W10;65-79;Ikke vaccineret;155;794557;19,51
2021-W10;65-79;Påbegyndt vaccinationsforløb;20;69755;28,67
2021-W10;80+;Forventet fuld effekt;2;39617;5,05
2021-W10;80+;Ikke vaccineret;32;127214;25,15
2021-W10;80+;Påbegyndt vaccinationsforløb;14;104934;13,34
2021-W11;12-15;Forventet fuld effekt;0;6;0,00
2021-W11;12-15;Ikke vaccineret;266;283537;93,81
2021-W11;12-15;Påbegyndt vaccinationsforløb;0;67;0,00
2021-W11;16-19;Forventet fuld effekt;0;832;0,00
2021-W11;16-19;Ikke vaccineret;329;274654;119,79
2021-W11;16-19;Påbegyndt vaccinationsforløb;1;2679;37,33
2021-W11;20-39;Forventet fuld effekt;9;32070;28,06
2021-W11;20-39;Ikke vaccineret;1420;1383399;102,65
2021-W11;20-39;Påbegyndt vaccinationsforløb;37;69829;52,99
2021-W11;40-64;Forventet fuld effekt;12;75613;15,87
2021-W11;40-64;Ikke vaccineret;1317;1685338;78,14
2021-W11;40-64;Påbegyndt vaccinationsforløb;75;144874;51,77
2021-W11;65-79;Forventet fuld effekt;5;32791;15,25
2021-W11;65-79;Ikke vaccineret;214;783911;27,30
2021-W11;65-79;Påbegyndt vaccinationsforløb;16;78482;20,39
2021-W11;80+;Forventet fuld effekt;1;45403;2,20
2021-W11;80+;Ikke vaccineret;24;113568;21,13
2021-W11;80+;Påbegyndt vaccinationsforløb;15;112795;13,30
2021-W12;12-15;Forventet fuld effekt;0;7;0,00
2021-W12;12-15;Ikke vaccineret;273;283534;96,28
2021-W12;12-15;Påbegyndt vaccinationsforløb;0;69;0,00
2021-W12;16-19;Forventet fuld effekt;0;891;0,00
2021-W12;16-19;Ikke vaccineret;354;274391;129,01
2021-W12;16-19;Påbegyndt vaccinationsforløb;1;2883;34,68
2021-W12;20-39;Forventet fuld effekt;7;33484;20,91
2021-W12;20-39;Ikke vaccineret;1659;1379369;120,27
2021-W12;20-39;Påbegyndt vaccinationsforløb;38;72445;52,45
2021-W12;40-64;Forventet fuld effekt;21;79061;26,56
2021-W12;40-64;Ikke vaccineret;1531;1675852;91,36
2021-W12;40-64;Påbegyndt vaccinationsforløb;71;150912;47,05
2021-W12;65-79;Forventet fuld effekt;3;36396;8,24
2021-W12;65-79;Ikke vaccineret;251;773404;32,45
2021-W12;65-79;Påbegyndt vaccinationsforløb;21;85384;24,59
2021-W12;80+;Forventet fuld effekt;7;77332;9,05
2021-W12;80+;Ikke vaccineret;27;89628;30,12
2021-W12;80+;Påbegyndt vaccinationsforløb;20;104805;19,08
2021-W13;12-15;Forventet fuld effekt;0;9;0,00
2021-W13;12-15;Ikke vaccineret;238;283531;83,94
2021-W13;12-15;Påbegyndt vaccinationsforløb;0;70;0,00
2021-W13;16-19;Forventet fuld effekt;0;1037;0,00
2021-W13;16-19;Ikke vaccineret;361;274183;131,66
2021-W13;16-19;Påbegyndt vaccinationsforløb;1;2945;33,95
2021-W13;20-39;Forventet fuld effekt;10;36056;27,73
2021-W13;20-39;Ikke vaccineret;1448;1376128;105,22
2021-W13;20-39;Påbegyndt vaccinationsforløb;29;73114;39,66
2021-W13;40-64;Forventet fuld effekt;10;87013;11,49
2021-W13;40-64;Ikke vaccineret;1339;1665693;80,39
2021-W13;40-64;Påbegyndt vaccinationsforløb;69;153119;45,06
2021-W13;65-79;Forventet fuld effekt;8;48718;16,42
2021-W13;65-79;Ikke vaccineret;224;743384;30,13
2021-W13;65-79;Påbegyndt vaccinationsforløb;28;103083;27,16
2021-W13;80+;Forventet fuld effekt;8;114252;7,00
2021-W13;80+;Ikke vaccineret;26;55497;46,85
2021-W13;80+;Påbegyndt vaccinationsforløb;18;102016;17,64
2021-W14;12-15;Forventet fuld effekt;0;16;0,00
2021-W14;12-15;Ikke vaccineret;278;283531;98,05
2021-W14;12-15;Påbegyndt vaccinationsforløb;0;63;0,00
2021-W14;16-19;Forventet fuld effekt;2;1299;153,93
2021-W14;16-19;Ikke vaccineret;465;273998;169,71
2021-W14;16-19;Påbegyndt vaccinationsforløb;4;2868;139,46
2021-W14;20-39;Forventet fuld effekt;15;39814;37,68
2021-W14;20-39;Ikke vaccineret;1531;1373584;111,46
2021-W14;20-39;Påbegyndt vaccinationsforløb;38;71900;52,85
2021-W14;40-64;Forventet fuld effekt;27;100072;26,98
2021-W14;40-64;Ikke vaccineret;1304;1658194;78,64
2021-W14;40-64;Påbegyndt vaccinationsforløb;61;147559;41,34
2021-W14;65-79;Forventet fuld effekt;8;71217;11,23
2021-W14;65-79;Ikke vaccineret;233;687155;33,91
2021-W14;65-79;Påbegyndt vaccinationsforløb;20;136811;14,62
2021-W14;80+;Forventet fuld effekt;13;128765;10,10
2021-W14;80+;Ikke vaccineret;13;35289;36,84
2021-W14;80+;Påbegyndt vaccinationsforløb;25;107711;23,21
2021-W15;12-15;Forventet fuld effekt;0;31;0,00
2021-W15;12-15;Ikke vaccineret;311;283528;109,69
2021-W15;12-15;Påbegyndt vaccinationsforløb;0;51;0,00
2021-W15;16-19;Forventet fuld effekt;0;1551;0,00
2021-W15;16-19;Ikke vaccineret;495;273811;180,78
2021-W15;16-19;Påbegyndt vaccinationsforløb;3;2803;107,03
2021-W15;20-39;Forventet fuld effekt;8;43181;18,53
2021-W15;20-39;Ikke vaccineret;1684;1370964;122,83
2021-W15;20-39;Påbegyndt vaccinationsforløb;48;71153;67,46
2021-W15;40-64;Forventet fuld effekt;24;111129;21,60
2021-W15;40-64;Ikke vaccineret;1448;1651579;87,67
2021-W15;40-64;Påbegyndt vaccinationsforløb;62;143117;43,32
2021-W15;65-79;Forventet fuld effekt;6;91473;6,56
2021-W15;65-79;Ikke vaccineret;156;532629;29,29
2021-W15;65-79;Påbegyndt vaccinationsforløb;55;271082;20,29
2021-W15;80+;Forventet fuld effekt;16;137384;11,65
2021-W15;80+;Ikke vaccineret;8;22475;35,60
2021-W15;80+;Påbegyndt vaccinationsforløb;8;111906;7,15
2021-W16;12-15;Forventet fuld effekt;0;53;0,00
2021-W16;12-15;Ikke vaccineret;358;283526;126,27
2021-W16;12-15;Påbegyndt vaccinationsforløb;0;31;0,00
2021-W16;16-19;Forventet fuld effekt;0;1763;0,00
2021-W16;16-19;Ikke vaccineret;372;273652;135,94
2021-W16;16-19;Påbegyndt vaccinationsforløb;2;2750;72,73
2021-W16;20-39;Forventet fuld effekt;11;46756;23,53
2021-W16;20-39;Ikke vaccineret;1531;1368916;111,84
2021-W16;20-39;Påbegyndt vaccinationsforløb;40;69625;57,45
2021-W16;40-64;Forventet fuld effekt;36;120773;29,81
2021-W16;40-64;Ikke vaccineret;1481;1646360;89,96
2021-W16;40-64;Påbegyndt vaccinationsforløb;60;138692;43,26
2021-W16;65-79;Forventet fuld effekt;11;104912;10,48
2021-W16;65-79;Ikke vaccineret;130;397710;32,69
2021-W16;65-79;Påbegyndt vaccinationsforløb;76;392562;19,36
2021-W16;80+;Forventet fuld effekt;15;147239;10,19
2021-W16;80+;Ikke vaccineret;4;19026;21,02
2021-W16;80+;Påbegyndt vaccinationsforløb;17;105501;16,11
2021-W17;12-15;Forventet fuld effekt;0;65;0,00
2021-W17;12-15;Ikke vaccineret;322;283525;113,57
2021-W17;12-15;Påbegyndt vaccinationsforløb;0;20;0,00
2021-W17;16-19;Forventet fuld effekt;1;2072;48,26
2021-W17;16-19;Ikke vaccineret;476;273494;174,04
2021-W17;16-19;Påbegyndt vaccinationsforløb;3;2599;115,43
2021-W17;20-39;Forventet fuld effekt;15;51751;28,98
2021-W17;20-39;Ikke vaccineret;1929;1366975;141,11
2021-W17;20-39;Påbegyndt vaccinationsforløb;53;66572;79,61
2021-W17;40-64;Forventet fuld effekt;34;132682;25,63
2021-W17;40-64;Ikke vaccineret;1651;1636745;100,87
2021-W17;40-64;Påbegyndt vaccinationsforløb;79;136399;57,92
2021-W17;65-79;Forventet fuld effekt;11;117804;9,34
2021-W17;65-79;Ikke vaccineret;125;256501;48,73
2021-W17;65-79;Påbegyndt vaccinationsforløb;106;520880;20,35
2021-W17;80+;Forventet fuld effekt;9;171219;5,26
2021-W17;80+;Ikke vaccineret;9;16815;53,52
2021-W17;80+;Påbegyndt vaccinationsforløb;3;83731;3,58
2021-W18;12-15;Forventet fuld effekt;0;68;0,00
2021-W18;12-15;Ikke vaccineret;369;283523;130,15
2021-W18;12-15;Påbegyndt vaccinationsforløb;0;19;0,00
2021-W18;16-19;Forventet fuld effekt;3;2267;132,31
2021-W18;16-19;Ikke vaccineret;804;273319;294,16
2021-W18;16-19;Påbegyndt vaccinationsforløb;1;2579;38,78
2021-W18;20-39;Forventet fuld effekt;18;54597;32,97
2021-W18;20-39;Ikke vaccineret;2306;1364699;168,98
2021-W18;20-39;Påbegyndt vaccinationsforløb;49;66002;74,24
