"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-W01;16-19;Forventet fuld effekt;0;0;0,00
2021-W01;16-19;Ikke vaccineret;5;277831;1,80
2021-W01;16-19;Påbegyndt vaccinationsforløb;0;334;0,00
2021-W01;20-39;Forventet fuld effekt;0;0;0,00
2021-W01;20-39;Ikke vaccineret;72;1469962;4,90
2021-W01;20-39;Påbegyndt vaccinationsforløb;3;15336;19,56
2021-W01;40-64;Forventet fuld effekt;0;0;0,00
2021-W01;40-64;Ikke vaccineret;214;1868648;11,45
2021-W01;40-64;Påbegyndt vaccinationsforløb;6;37177;16,14
2021-W01;65-79;Forventet fuld effekt;0;0;0,00
2021-W01;65-79;Ikke vaccineret;208;884174;23,52
2021-W01;65-79;Påbegyndt vaccinationsforløb;18;11010;163,48
2021-W01;80+;Forventet fuld effekt;0;0;0,00
2021-W01;80+;Ikke vaccineret;197;254927;77,28
2021-W01;80+;Påbegyndt vaccinationsforløb;35;16838;207,87
2021-W02;16-19;Forventet fuld effekt;0;0;0,00
2021-W02;16-19;Ikke vaccineret;2;277625;0,72
2021-W02;16-19;Påbegyndt vaccinationsforløb;0;540;0,00
2021-W02;20-39;Forventet fuld effekt;0;0;0,00
2021-W02;20-39;Ikke vaccineret;44;1461314;3,01
2021-W02;20-39;Påbegyndt vaccinationsforløb;1;23984;4,17
2021-W02;40-64;Forventet fuld effekt;0;0;0,00
2021-W02;40-64;Ikke vaccineret;157;1847976;8,50
2021-W02;40-64;Påbegyndt vaccinationsforløb;14;57848;24,20
2021-W02;65-79;Forventet fuld effekt;0;0;0,00
2021-W02;65-79;Ikke vaccineret;145;875230;16,57
2021-W02;65-79;Påbegyndt vaccinationsforløb;34;19954;170,39
2021-W02;80+;Forventet fuld effekt;0;0;0,00
2021-W02;80+;Ikke vaccineret;107;243733;43,90
2021-W02;80+;Påbegyndt vaccinationsforløb;57;28032;203,34
2021-W03;12-15;Forventet fuld effekt;0;0;0,00
2021-W03;12-15;Ikke vaccineret;1;283607;0,35
2021-W03;12-15;Påbegyndt vaccinationsforløb;0;3;0,00
2021-W03;16-19;Forventet fuld effekt;0;0;0,00
2021-W03;16-19;Ikke vaccineret;3;277470;1,08
2021-W03;16-19;Påbegyndt vaccinationsforløb;0;695;0,00
2021-W03;20-39;Forventet fuld effekt;0;2;0,00
2021-W03;20-39;Ikke vaccineret;41;1455208;2,82
2021-W03;20-39;Påbegyndt vaccinationsforløb;2;30088;6,65
2021-W03;40-64;Forventet fuld effekt;0;1;0,00
2021-W03;40-64;Ikke vaccineret;131;1835240;7,14
2021-W03;40-64;Påbegyndt vaccinationsforløb;11;70584;15,58
2021-W03;65-79;Forventet fuld effekt;0;0;0,00
2021-W03;65-79;Ikke vaccineret;112;866048;12,93
2021-W03;65-79;Påbegyndt vaccinationsforløb;19;29136;65,21
2021-W03;80+;Forventet fuld effekt;0;0;0,00
2021-W03;80+;Ikke vaccineret;94;233261;40,30
2021-W03;80+;Påbegyndt vaccinationsforløb;56;38504;145,44
2021-W04;16-19;Forventet fuld effekt;0;0;0,00
2021-W04;16-19;Ikke vaccineret;3;277426;1,08
2021-W04;16-19;Påbegyndt vaccinationsforløb;0;739;0,00
2021-W04;20-39;Forventet fuld effekt;0;20;0,00
2021-W04;20-39;Ikke vaccineret;40;1454258;2,75
2021-W04;20-39;Påbegyndt vaccinationsforløb;0;31020;0,00
2021-W04;40-64;Forventet fuld effekt;0;47;0,00
2021-W04;40-64;Ikke vaccineret;80;1833112;4,36
2021-W04;40-64;Påbegyndt vaccinationsforløb;3;72666;4,13
2021-W04;65-79;Forventet fuld effekt;0;15;0,00
2021-W04;65-79;Ikke vaccineret;69;864971;7,98
2021-W04;65-79;Påbegyndt vaccinationsforløb;9;30197;29,80
2021-W04;80+;Forventet fuld effekt;0;24;0,00
2021-W04;80+;Ikke vaccineret;58;232075;24,99
2021-W04;80+;Påbegyndt vaccinationsforløb;25;39666;63,03
2021-W05;16-19;Forventet fuld effekt;0;35;0,00
2021-W05;16-19;Ikke vaccineret;2;277362;0,72
2021-W05;16-19;Påbegyndt vaccinationsforløb;0;768;0,00
2021-W05;20-39;Forventet fuld effekt;0;1989;0,00
2021-W05;20-39;Ikke vaccineret;21;1453176;1,45
2021-W05;20-39;Påbegyndt vaccinationsforløb;0;30133;0,00
2021-W05;40-64;Forventet fuld effekt;0;5137;0,00
2021-W05;40-64;Ikke vaccineret;56;1830740;3,06
2021-W05;40-64;Påbegyndt vaccinationsforløb;1;69948;1,43
2021-W05;65-79;Forventet fuld effekt;1;1907;52,45
2021-W05;65-79;Ikke vaccineret;53;863293;6,14
2021-W05;65-79;Påbegyndt vaccinationsforløb;10;29985;33,35
2021-W05;80+;Forventet fuld effekt;0;3014;0,00
2021-W05;80+;Ikke vaccineret;29;230036;12,61
2021-W05;80+;Påbegyndt vaccinationsforløb;14;38715;36,16
2021-W06;12-15;Forventet fuld effekt;0;2;0,00
2021-W06;12-15;Ikke vaccineret;2;283602;0,71
2021-W06;12-15;Påbegyndt vaccinationsforløb;0;6;0,00
2021-W06;16-19;Forventet fuld effekt;0;182;0,00
2021-W06;16-19;Ikke vaccineret;2;277260;0,72
2021-W06;16-19;Påbegyndt vaccinationsforløb;0;723;0,00
2021-W06;20-39;Forventet fuld effekt;0;8579;0,00
2021-W06;20-39;Ikke vaccineret;26;1450273;1,79
2021-W06;20-39;Påbegyndt vaccinationsforløb;1;26446;3,78
2021-W06;40-64;Forventet fuld effekt;0;22131;0,00
2021-W06;40-64;Ikke vaccineret;60;1825553;3,29
2021-W06;40-64;Påbegyndt vaccinationsforløb;1;58141;1,72
2021-W06;65-79;Forventet fuld effekt;0;7902;0,00
