"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-W24;20-39;Forventet fuld effekt;0;115729;0,00
2021-W24;20-39;Ikke vaccineret;26;1259569;2,06
2021-W24;20-39;Påbegyndt vaccinationsforløb;1;109999;0,91
2021-W24;40-64;Forventet fuld effekt;2;266465;0,75
2021-W24;40-64;Ikke vaccineret;24;503043;4,77
2021-W24;40-64;Påbegyndt vaccinationsforløb;7;1136317;0,62
2021-W24;65-79;Forventet fuld effekt;2;673673;0,30
2021-W24;65-79;Ikke vaccineret;1;39391;2,54
2021-W24;65-79;Påbegyndt vaccinationsforløb;1;182120;0,55
2021-W24;80+;Forventet fuld effekt;3;255078;1,18
2021-W24;80+;Ikke vaccineret;1;11364;8,80
2021-W24;80+;Påbegyndt vaccinationsforløb;2;5323;37,57
2021-W25;12-15;Forventet fuld effekt;0;117;0,00
2021-W25;12-15;Ikke vaccineret;1;283272;0,35
2021-W25;12-15;Påbegyndt vaccinationsforløb;0;222;0,00
2021-W25;20-39;Forventet fuld effekt;0;133829;0,00
2021-W25;20-39;Ikke vaccineret;17;1175599;1,45
2021-W25;20-39;Påbegyndt vaccinationsforløb;2;175869;1,14
2021-W25;40-64;Forventet fuld effekt;1;311284;0,32
2021-W25;40-64;Ikke vaccineret;11;367368;2,99
2021-W25;40-64;Påbegyndt vaccinationsforløb;9;1227173;0,73
2021-W25;65-79;Forventet fuld effekt;3;737306;0,41
2021-W25;65-79;Ikke vaccineret;1;37758;2,65
2021-W25;65-79;Påbegyndt vaccinationsforløb;0;120120;0,00
2021-W26;12-15;Forventet fuld effekt;0;129;0,00
2021-W26;12-15;Ikke vaccineret;1;279926;0,36
2021-W26;12-15;Påbegyndt vaccinationsforløb;0;3555;0,00
2021-W26;16-19;Forventet fuld effekt;1;5090;19,65
2021-W26;16-19;Ikke vaccineret;2;85435;2,34
2021-W26;16-19;Påbegyndt vaccinationsforløb;0;187640;0,00
2021-W26;20-39;Forventet fuld effekt;0;150927;0,00
2021-W26;20-39;Ikke vaccineret;19;1085418;1,75
2021-W26;20-39;Påbegyndt vaccinationsforløb;1;248954;0,40
2021-W26;40-64;Forventet fuld effekt;0;374472;0,00
2021-W26;40-64;Ikke vaccineret;3;292126;1,03
2021-W26;40-64;Påbegyndt vaccinationsforløb;4;1239228;0,32
2021-W26;65-79;Forventet fuld effekt;1;793123;0,13
2021-W26;65-79;Ikke vaccineret;1;36737;2,72
2021-W26;65-79;Påbegyndt vaccinationsforløb;0;65324;0,00
2021-W26;80+;Forventet fuld effekt;1;256854;0,39
2021-W26;80+;Ikke vaccineret;0;10947;0,00
2021-W26;80+;Påbegyndt vaccinationsforløb;1;3964;25,23
2021-W27;12-15;Forventet fuld effekt;0;141;0,00
2021-W27;12-15;Ikke vaccineret;1;273305;0,37
2021-W27;12-15;Påbegyndt vaccinationsforløb;0;10164;0,00
2021-W27;16-19;Forventet fuld effekt;0;5318;0,00
2021-W27;16-19;Ikke vaccineret;1;71360;1,40
2021-W27;16-19;Påbegyndt vaccinationsforløb;1;201487;0,50
2021-W27;20-39;Forventet fuld effekt;0;158819;0,00
2021-W27;20-39;Ikke vaccineret;27;949080;2,84
2021-W27;20-39;Påbegyndt vaccinationsforløb;5;377399;1,32
2021-W27;40-64;Forventet fuld effekt;1;510080;0,20
2021-W27;40-64;Ikke vaccineret;6;247694;2,42
2021-W27;40-64;Påbegyndt vaccinationsforløb;7;1148050;0,61
2021-W27;65-79;Forventet fuld effekt;4;826175;0,48
2021-W27;65-79;Ikke vaccineret;2;35686;5,60
2021-W27;65-79;Påbegyndt vaccinationsforløb;0;33323;0,00
2021-W27;80+;Forventet fuld effekt;0;257524;0,00
2021-W27;80+;Ikke vaccineret;1;10789;9,27
2021-W27;80+;Påbegyndt vaccinationsforløb;0;3452;0,00
2021-W28;20-39;Forventet fuld effekt;3;163897;1,83
2021-W28;20-39;Ikke vaccineret;41;724223;5,66
2021-W28;20-39;Påbegyndt vaccinationsforløb;9;597178;1,51
2021-W28;40-64;Forventet fuld effekt;2;726580;0,28
2021-W28;40-64;Ikke vaccineret;17;222643;7,64
2021-W28;40-64;Påbegyndt vaccinationsforløb;6;956603;0,63
2021-W28;65-79;Forventet fuld effekt;6;840068;0,71
2021-W28;65-79;Ikke vaccineret;1;34710;2,88
2021-W28;65-79;Påbegyndt vaccinationsforløb;2;20406;9,80
2021-W28;80+;Forventet fuld effekt;3;258140;1,16
2021-W28;80+;Ikke vaccineret;0;10642;0,00
2021-W28;80+;Påbegyndt vaccinationsforløb;0;2983;0,00
2021-W29;12-15;Forventet fuld effekt;0;161;0,00
2021-W29;12-15;Ikke vaccineret;1;234635;0,43
2021-W29;12-15;Påbegyndt vaccinationsforløb;0;48815;0,00
2021-W29;16-19;Forventet fuld effekt;1;16186;6,18
2021-W29;16-19;Ikke vaccineret;3;58283;5,15
2021-W29;16-19;Påbegyndt vaccinationsforløb;0;203696;0,00
2021-W29;20-39;Forventet fuld effekt;1;168145;0,59
2021-W29;20-39;Ikke vaccineret;39;568922;6,86
2021-W29;20-39;Påbegyndt vaccinationsforløb;10;748230;1,34
2021-W29;40-64;Forventet fuld effekt;0;964974;0,00
2021-W29;40-64;Ikke vaccineret;18;208711;8,62
2021-W29;40-64;Påbegyndt vaccinationsforløb;5;732140;0,68
2021-W29;65-79;Forventet fuld effekt;4;847821;0,47
2021-W29;65-79;Ikke vaccineret;3;33983;8,83
2021-W29;65-79;Påbegyndt vaccinationsforløb;0;13380;0,00
2021-W29;80+;Forventet fuld effekt;7;258687;2,71
2021-W29;80+;Ikke vaccineret;1;10502;9,52
2021-W29;80+;Påbegyndt vaccinationsforløb;0;2576;0,00
2021-W30;12-15;Forventet fuld effekt;0;173;0,00
2021-W30;12-15;Ikke vaccineret;0;194333;0,00
2021-W30;12-15;Påbegyndt vaccinationsforløb;1;89104;1,12
2021-W30;16-19;Forventet fuld effekt;0;55302;0,00
2021-W30;16-19;Ikke vaccineret;1;54235;1,84
2021-W30;16-19;Påbegyndt vaccinationsforløb;0;168628;0,00
2021-W30;20-39;Forventet fuld effekt;2;184664;1,08
2021-W30;20-39;Ikke vaccineret;34;475726;7,15
2021-W30;20-39;Påbegyndt vaccinationsforløb;9;824908;1,09
2021-W30;40-64;Forventet fuld effekt;7;1182390;0,59
2021-W30;40-64;Ikke vaccineret;20;197830;10,11
2021-W30;40-64;Påbegyndt vaccinationsforløb;12;525605;2,28
2021-W30;65-79;Forventet fuld effekt;7;851603;0,82
2021-W30;65-79;Ikke vaccineret;4;33349;11,99
2021-W30;65-79;Påbegyndt vaccinationsforløb;0;10232;0,00
2021-W30;80+;Forventet fuld effekt;4;259086;1,54
2021-W30;80+;Ikke vaccineret;0;10393;0,00
2021-W30;80+;Påbegyndt vaccinationsforløb;0;2286;0,00
2021-W31;12-15;Forventet fuld effekt;0;492;0,00
2021-W31;12-15;Ikke vaccineret;1;159778;0,63
2021-W31;12-15;Påbegyndt vaccinationsforløb;0;123340;0,00
2021-W31;16-19;Forventet fuld effekt;0;114875;0,00
2021-W31;16-19;Ikke vaccineret;2;51359;3,89
2021-W31;16-19;Påbegyndt vaccinationsforløb;1;111931;0,89
2021-W31;20-39;Forventet fuld effekt;1;241289;0,41
2021-W31;20-39;Ikke vaccineret;36;428100;8,41
2021-W31;20-39;Påbegyndt vaccinationsforløb;6;815909;0,74
2021-W31;40-64;Forventet fuld effekt;12;1380596;0,87
2021-W31;40-64;Ikke vaccineret;24;190664;12,59
2021-W31;40-64;Påbegyndt vaccinationsforløb;8;334565;2,39
2021-W31;65-79;Forventet fuld effekt;8;854104;0,94
2021-W31;65-79;Ikke vaccineret;5;32872;15,21
2021-W31;65-79;Påbegyndt vaccinationsforløb;1;8208;12,18
2021-W31;80+;Forventet fuld effekt;13;259429;5,01
2021-W31;80+;Ikke vaccineret;0;10298;0,00
2021-W31;80+;Påbegyndt vaccinationsforløb;0;2039;0,00
2021-W32;12-15;Forventet fuld effekt;0;1942;0,00
2021-W32;12-15;Ikke vaccineret;3;134544;2,23
2021-W32;12-15;Påbegyndt vaccinationsforløb;1;147124;0,68
2021-W32;16-19;Forventet fuld effekt;1;160321;0,62
2021-W32;16-19;Ikke vaccineret;3;48950;6,13
2021-W32;16-19;Påbegyndt vaccinationsforløb;1;68894;1,45
2021-W32;20-39;Forventet fuld effekt;1;330105;0,30
2021-W32;20-39;Ikke vaccineret;55;402259;13,67
2021-W32;20-39;Påbegyndt vaccinationsforløb;16;752934;2,13
2021-W32;40-64;Forventet fuld effekt;9;1514850;0,59
2021-W32;40-64;Ikke vaccineret;39;184796;21,10
2021-W32;40-64;Påbegyndt vaccinationsforløb;12;206179;5,82
2021-W32;65-79;Forventet fuld effekt;12;855895;1,40
2021-W32;65-79;Ikke vaccineret;4;32464;12,32
2021-W32;65-79;Påbegyndt vaccinationsforløb;0;6825;0,00
2021-W32;80+;Forventet fuld effekt;8;259696;3,08
2021-W32;80+;Ikke vaccineret;3;10224;29,34
2021-W32;80+;Påbegyndt vaccinationsforløb;0;1845;0,00
2021-W33;12-15;Forventet fuld effekt;0;7993;0,00
2021-W33;12-15;Ikke vaccineret;2;120285;1,66
2021-W33;12-15;Påbegyndt vaccinationsforløb;0;155332;0,00
2021-W33;16-19;Forventet fuld effekt;0;188326;0,00
2021-W33;16-19;Ikke vaccineret;6;46571;12,88
2021-W33;16-19;Påbegyndt vaccinationsforløb;1;43268;2,31
2021-W33;20-39;Forventet fuld effekt;2;459429;0,44
2021-W33;20-39;Ikke vaccineret;70;382043;18,32
2021-W33;20-39;Påbegyndt vaccinationsforløb;5;643826;0,78
2021-W33;40-64;Forventet fuld effekt;16;1598392;1,00
2021-W33;40-64;Ikke vaccineret;52;179701;28,94
2021-W33;40-64;Påbegyndt vaccinationsforløb;8;127732;6,26
2021-W33;65-79;Forventet fuld effekt;23;857147;2,68
2021-W33;65-79;Ikke vaccineret;6;32056;18,72
2021-W33;65-79;Påbegyndt vaccinationsforløb;1;5981;16,72
2021-W33;80+;Forventet fuld effekt;11;259882;4,23
2021-W33;80+;Ikke vaccineret;2;10145;19,71
2021-W33;80+;Påbegyndt vaccinationsforløb;1;1738;57,54
2021-W34;12-15;Forventet fuld effekt;0;27811;0,00
2021-W34;12-15;Ikke vaccineret;3;108897;2,75
2021-W34;12-15;Påbegyndt vaccinationsforløb;1;146902;0,68
2021-W34;16-19;Forventet fuld effekt;1;204461;0,49
2021-W34;16-19;Ikke vaccineret;6;44478;13,49
2021-W34;16-19;Påbegyndt vaccinationsforløb;0;29226;0,00
2021-W34;20-39;Forventet fuld effekt;2;684227;0,29
2021-W34;20-39;Ikke vaccineret;57;365771;15,58
2021-W34;20-39;Påbegyndt vaccinationsforløb;4;435301;0,92
2021-W34;40-64;Forventet fuld effekt;11;1652589;0,67
2021-W34;40-64;Ikke vaccineret;38;175100;21,70
2021-W34;40-64;Påbegyndt vaccinationsforløb;6;78136;7,68
2021-W34;65-79;Forventet fuld effekt;24;858605;2,80
2021-W34;65-79;Ikke vaccineret;12;31605;37,97
2021-W34;65-79;Påbegyndt vaccinationsforløb;0;4974;0,00
2021-W34;80+;Forventet fuld effekt;16;260127;6,15
2021-W34;80+;Ikke vaccineret;6;10045;59,73
2021-W34;80+;Påbegyndt vaccinationsforløb;0;1593;0,00
2021-W35;12-15;Forventet fuld effekt;0;66250;0,00
2021-W35;12-15;Ikke vaccineret;3;100863;2,97
2021-W35;12-15;Påbegyndt vaccinationsforløb;0;116497;0,00
2021-W35;16-19;Forventet fuld effekt;0;214281;0,00
2021-W35;16-19;Ikke vaccineret;2;42836;4,67
2021-W35;16-19;Påbegyndt vaccinationsforløb;0;21048;0,00
2021-W35;20-39;Forventet fuld effekt;2;872675;0,23
2021-W35;20-39;Ikke vaccineret;51;354228;14,40
2021-W35;20-39;Påbegyndt vaccinationsforløb;6;258395;2,32
2021-W35;40-64;Forventet fuld effekt;11;1683318;0,65
2021-W35;40-64;Ikke vaccineret;47;171610;27,39
2021-W35;40-64;Påbegyndt vaccinationsforløb;6;50897;11,79
2021-W35;65-79;Forventet fuld effekt;13;859888;1,51
2021-W35;65-79;Ikke vaccineret;10;31191;32,06
2021-W35;65-79;Påbegyndt vaccinationsforløb;2;4105;48,72
2021-W35;80+;Forventet fuld effekt;16;260355;6,15
2021-W35;80+;Ikke vaccineret;9;9951;90,45
2021-W35;80+;Påbegyndt vaccinationsforløb;3;1459;205,60
2021-W36;12-15;Forventet fuld effekt;0;102968;0,00
2021-W36;12-15;Ikke vaccineret;1;95682;1,05
2021-W36;12-15;Påbegyndt vaccinationsforløb;0;84961;0,00
2021-W36;20-39;Forventet fuld effekt;3;978257;0,31
2021-W36;20-39;Ikke vaccineret;34;346822;9,80
2021-W36;20-39;Påbegyndt vaccinationsforløb;4;160219;2,50
2021-W36;40-64;Forventet fuld effekt;16;1698135;0,94
2021-W36;40-64;Ikke vaccineret;36;169128;21,29
2021-W36;40-64;Påbegyndt vaccinationsforløb;4;38562;10,37
2021-W36;65-79;Forventet fuld effekt;16;860685;1,86
2021-W36;65-79;Ikke vaccineret;6;30914;19,41
2021-W36;65-79;Påbegyndt vaccinationsforløb;1;3584;27,90
2021-W36;80+;Forventet fuld effekt;16;260522;6,14
2021-W36;80+;Ikke vaccineret;3;9889;30,34
2021-W36;80+;Påbegyndt vaccinationsforløb;1;1354;73,86
2021-W37;20-39;Forventet fuld effekt;3;1036450;0,29
2021-W37;20-39;Ikke vaccineret;13;341185;3,81
2021-W37;20-39;Påbegyndt vaccinationsforløb;3;107740;2,78
2021-W37;40-64;Forventet fuld effekt;8;1708105;0,47
2021-W37;40-64;Ikke vaccineret;24;167105;14,36
2021-W37;40-64;Påbegyndt vaccinationsforløb;2;30625;6,53
2021-W37;65-79;Forventet fuld effekt;12;861300;1,39
2021-W37;65-79;Ikke vaccineret;1;30656;3,26
2021-W37;65-79;Påbegyndt vaccinationsforløb;0;3216;0,00
2021-W37;80+;Forventet fuld effekt;17;260621;6,52
2021-W37;80+;Ikke vaccineret;0;9812;0,00
2021-W37;80+;Påbegyndt vaccinationsforløb;0;1312;0,00
2021-W38;16-19;Forventet fuld effekt;0;226727;0,00
2021-W38;16-19;Ikke vaccineret;1;40561;2,47
2021-W38;16-19;Påbegyndt vaccinationsforløb;0;11069;0,00
2021-W38;20-39;Forventet fuld effekt;3;1063648;0,28
2021-W38;20-39;Ikke vaccineret;12;337606;3,55
2021-W38;20-39;Påbegyndt vaccinationsforløb;1;85070;1,18
2021-W38;40-64;Forventet fuld effekt;6;1714150;0,35
2021-W38;40-64;Ikke vaccineret;12;165713;7,24
2021-W38;40-64;Påbegyndt vaccinationsforløb;0;26062;0,00
2021-W38;65-79;Forventet fuld effekt;17;861502;1,97
2021-W38;65-79;Ikke vaccineret;7;30418;23,01
2021-W38;65-79;Påbegyndt vaccinationsforløb;1;3006;33,27
2021-W38;80+;Forventet fuld effekt;16;260390;6,14
2021-W38;80+;Ikke vaccineret;2;9701;20,62
2021-W38;80+;Påbegyndt vaccinationsforløb;0;1288;0,00
2021-W39;12-15;Forventet fuld effekt;1;167636;0,60
2021-W39;12-15;Ikke vaccineret;0;88861;0,00
2021-W39;12-15;Påbegyndt vaccinationsforløb;0;29117;0,00
2021-W39;16-19;Forventet fuld effekt;0;228851;0,00
2021-W39;16-19;Ikke vaccineret;0;40385;0,00
2021-W39;16-19;Påbegyndt vaccinationsforløb;1;9353;10,69
2021-W39;20-39;Forventet fuld effekt;3;1082827;0,28
2021-W39;20-39;Ikke vaccineret;13;335301;3,88
2021-W39;20-39;Påbegyndt vaccinationsforløb;2;69491;2,88
2021-W39;40-64;Forventet fuld effekt;6;1718883;0,35
2021-W39;40-64;Ikke vaccineret;18;164680;10,93
2021-W39;40-64;Påbegyndt vaccinationsforløb;0;22479;0,00
2021-W39;65-79;Forventet fuld effekt;19;861608;2,21
2021-W39;65-79;Ikke vaccineret;6;30197;19,87
2021-W39;65-79;Påbegyndt vaccinationsforløb;0;2753;0,00
2021-W39;80+;Forventet fuld effekt;8;260096;3,08
2021-W39;80+;Ikke vaccineret;0;9617;0,00
2021-W39;80+;Påbegyndt vaccinationsforløb;1;1181;84,70
2021-W40;12-15;Forventet fuld effekt;0;176830;0,00
2021-W40;12-15;Ikke vaccineret;2;87968;2,27
2021-W40;12-15;Påbegyndt vaccinationsforløb;0;21879;0,00
2021-W40;16-19;Forventet fuld effekt;1;230547;0,43
2021-W40;16-19;Ikke vaccineret;2;40156;4,98
2021-W40;16-19;Påbegyndt vaccinationsforløb;0;8026;0,00
2021-W40;20-39;Forventet fuld effekt;3;1097398;0,27
2021-W40;20-39;Ikke vaccineret;23;333584;6,89
2021-W40;20-39;Påbegyndt vaccinationsforløb;0;57737;0,00
2021-W40;40-64;Forventet fuld effekt;7;1722647;0,41
2021-W40;40-64;Ikke vaccineret;21;163848;12,82
2021-W40;40-64;Påbegyndt vaccinationsforløb;1;19610;5,10
2021-W40;65-79;Forventet fuld effekt;14;861699;1,62
2021-W40;65-79;Ikke vaccineret;4;30077;13,30
2021-W40;65-79;Påbegyndt vaccinationsforløb;0;2443;0,00
2021-W40;80+;Forventet fuld effekt;15;259756;5,77
2021-W40;80+;Ikke vaccineret;1;9560;10,46
2021-W40;80+;Påbegyndt vaccinationsforløb;0;1059;0,00
2021-W41;16-19;Forventet fuld effekt;1;231751;0,43
2021-W41;16-19;Ikke vaccineret;1;39947;2,50
2021-W41;16-19;Påbegyndt vaccinationsforløb;0;7129;0,00
2021-W41;20-39;Forventet fuld effekt;4;1107657;0,36
2021-W41;20-39;Ikke vaccineret;25;331706;7,54
2021-W41;20-39;Påbegyndt vaccinationsforløb;1;50215;1,99
2021-W41;40-64;Forventet fuld effekt;16;1725447;0,93
2021-W41;40-64;Ikke vaccineret;30;163041;18,40
2021-W41;40-64;Påbegyndt vaccinationsforløb;1;17658;5,66
2021-W41;65-79;Forventet fuld effekt;32;861675;3,71
2021-W41;65-79;Ikke vaccineret;5;29982;16,68
2021-W41;65-79;Påbegyndt vaccinationsforløb;0;2207;0,00
2021-W41;80+;Forventet fuld effekt;17;259379;6,55
2021-W41;80+;Ikke vaccineret;8;9523;84,01
2021-W41;80+;Påbegyndt vaccinationsforløb;0;965;0,00
2021-W42;12-15;Forventet fuld effekt;0;186959;0,00
2021-W42;12-15;Ikke vaccineret;1;86384;1,16
2021-W42;12-15;Påbegyndt vaccinationsforløb;0;15317;0,00
2021-W42;16-19;Forventet fuld effekt;1;232646;0,43
2021-W42;16-19;Ikke vaccineret;3;39714;7,55
2021-W42;16-19;Påbegyndt vaccinationsforløb;0;6533;0,00
2021-W42;20-39;Forventet fuld effekt;5;1114225;0,45
2021-W42;20-39;Ikke vaccineret;34;329482;10,32
2021-W42;20-39;Påbegyndt vaccinationsforløb;3;46687;6,43
2021-W42;40-64;Forventet fuld effekt;19;1727406;1,10
2021-W42;40-64;Ikke vaccineret;34;162248;20,96
2021-W42;40-64;Påbegyndt vaccinationsforløb;1;16582;6,03
2021-W42;65-79;Forventet fuld effekt;43;861579;4,99
2021-W42;65-79;Ikke vaccineret;7;29868;23,44
2021-W42;65-79;Påbegyndt vaccinationsforløb;0;2086;0,00
2021-W42;80+;Forventet fuld effekt;46;258913;17,77
2021-W42;80+;Ikke vaccineret;4;9484;42,18
2021-W42;80+;Påbegyndt vaccinationsforløb;2;923;216,68
2021-W43;12-15;Forventet fuld effekt;0;190118;0,00
2021-W43;12-15;Ikke vaccineret;2;84942;2,35
2021-W43;12-15;Påbegyndt vaccinationsforløb;0;14564;0,00
2021-W43;16-19;Forventet fuld effekt;3;233321;1,29
2021-W43;16-19;Ikke vaccineret;1;39431;2,54
2021-W43;16-19;Påbegyndt vaccinationsforløb;0;6216;0,00
2021-W43;20-39;Forventet fuld effekt;11;1119818;0,98
2021-W43;20-39;Ikke vaccineret;43;326269;13,18
2021-W43;20-39;Påbegyndt vaccinationsforløb;1;44837;2,23
2021-W43;40-64;Forventet fuld effekt;34;1729138;1,97
2021-W43;40-64;Ikke vaccineret;43;161142;26,68
2021-W43;40-64;Påbegyndt vaccinationsforløb;1;16027;6,24
2021-W43;65-79;Forventet fuld effekt;69;861458;8,01
2021-W43;65-79;Ikke vaccineret;13;29702;43,77
2021-W43;65-79;Påbegyndt vaccinationsforløb;0;2020;0,00
2021-W43;80+;Forventet fuld effekt;38;258408;14,71
2021-W43;80+;Ikke vaccineret;8;9430;84,83
2021-W43;80+;Påbegyndt vaccinationsforløb;0;890;0,00
2021-W44;12-15;Forventet fuld effekt;0;192505;0,00
2021-W44;12-15;Ikke vaccineret;3;82653;3,63
2021-W44;12-15;Påbegyndt vaccinationsforløb;1;15432;6,48
2021-W44;16-19;Forventet fuld effekt;1;233786;0,43
2021-W44;16-19;Ikke vaccineret;0;39046;0,00
2021-W44;16-19;Påbegyndt vaccinationsforløb;0;6237;0,00
2021-W44;20-39;Forventet fuld effekt;13;1124362;1,16
2021-W44;20-39;Ikke vaccineret;66;321885;20,50
2021-W44;20-39;Påbegyndt vaccinationsforløb;3;45155;6,64
2021-W44;40-64;Forventet fuld effekt;47;1730456;2,72
2021-W44;40-64;Ikke vaccineret;51;159674;31,94
2021-W44;40-64;Påbegyndt vaccinationsforløb;5;16288;30,70
2021-W44;65-79;Forventet fuld effekt;70;861302;8,13
2021-W44;65-79;Ikke vaccineret;17;29515;57,60
2021-W44;65-79;Påbegyndt vaccinationsforløb;1;2051;48,76
2021-W44;80+;Forventet fuld effekt;46;257963;17,83
2021-W44;80+;Ikke vaccineret;8;9379;85,29
2021-W44;80+;Påbegyndt vaccinationsforløb;1;868;115,21
2021-W45;12-15;Forventet fuld effekt;0;195013;0,00
2021-W45;12-15;Ikke vaccineret;2;78747;2,54
2021-W45;12-15;Påbegyndt vaccinationsforløb;0;17881;0,00
2021-W45;16-19;Forventet fuld effekt;3;234276;1,28
2021-W45;16-19;Ikke vaccineret;2;38183;5,24
2021-W45;16-19;Påbegyndt vaccinationsforløb;0;6705;0,00
2021-W45;20-39;Forventet fuld effekt;14;1128717;1,24
2021-W45;20-39;Ikke vaccineret;49;313255;15,64
2021-W45;20-39;Påbegyndt vaccinationsforløb;2;49993;4,00
2021-W45;40-64;Forventet fuld effekt;52;1731795;3,00
2021-W45;40-64;Ikke vaccineret;46;156595;29,38
2021-W45;40-64;Påbegyndt vaccinationsforløb;8;18133;44,12
2021-W45;65-79;Forventet fuld effekt;101;861096;11,73
2021-W45;65-79;Ikke vaccineret;16;29178;54,84
2021-W45;65-79;Påbegyndt vaccinationsforløb;3;2222;135,00
2021-W45;80+;Forventet fuld effekt;66;257433;25,64
2021-W45;80+;Ikke vaccineret;6;9278;64,67
2021-W45;80+;Påbegyndt vaccinationsforløb;2;878;227,75
2021-W46;12-15;Forventet fuld effekt;0;197141;0,00
2021-W46;12-15;Ikke vaccineret;2;73370;2,73
2021-W46;12-15;Påbegyndt vaccinationsforløb;0;22138;0,00
2021-W46;16-19;Forventet fuld effekt;0;234769;0,00
2021-W46;16-19;Ikke vaccineret;2;36529;5,48
2021-W46;16-19;Påbegyndt vaccinationsforløb;0;7906;0,00
2021-W46;20-39;Forventet fuld effekt;21;1133163;1,85
2021-W46;20-39;Ikke vaccineret;63;299745;21,02
2021-W46;20-39;Påbegyndt vaccinationsforløb;1;59594;1,68
2021-W46;40-64;Forventet fuld effekt;68;1733159;3,92
2021-W46;40-64;Ikke vaccineret;71;151643;46,82
2021-W46;40-64;Påbegyndt vaccinationsforløb;4;21751;18,39
2021-W46;65-79;Forventet fuld effekt;98;860917;11,38
2021-W46;65-79;Ikke vaccineret;19;28722;66,15
2021-W46;65-79;Påbegyndt vaccinationsforløb;1;2508;39,87
2021-W46;80+;Forventet fuld effekt;80;256943;31,14
2021-W46;80+;Ikke vaccineret;13;9141;142,22
2021-W46;80+;Påbegyndt vaccinationsforløb;0;920;0,00
2021-W47;12-15;Forventet fuld effekt;1;199075;0,50
2021-W47;12-15;Ikke vaccineret;2;69615;2,87
2021-W47;12-15;Påbegyndt vaccinationsforløb;0;24940;0,00
2021-W47;16-19;Forventet fuld effekt;3;235374;1,27
2021-W47;16-19;Ikke vaccineret;1;35199;2,84
2021-W47;16-19;Påbegyndt vaccinationsforløb;0;8697;0,00
2021-W47;20-39;Forventet fuld effekt;33;1138264;2,90
2021-W47;20-39;Ikke vaccineret;72;289824;24,84
2021-W47;20-39;Påbegyndt vaccinationsforløb;5;64871;7,71
2021-W47;40-64;Forventet fuld effekt;74;1734684;4,27
2021-W47;40-64;Ikke vaccineret;71;148275;47,88
2021-W47;40-64;Påbegyndt vaccinationsforløb;6;23668;25,35
2021-W47;65-79;Forventet fuld effekt;105;860734;12,20
2021-W47;65-79;Ikke vaccineret;27;28360;95,21
2021-W47;65-79;Påbegyndt vaccinationsforløb;1;2684;37,26
2021-W47;80+;Forventet fuld effekt;70;256461;27,29
2021-W47;80+;Ikke vaccineret;13;9036;143,87
2021-W47;80+;Påbegyndt vaccinationsforløb;1;946;105,76
2021-W48;12-15;Forventet fuld effekt;1;201556;0,50
2021-W48;12-15;Ikke vaccineret;3;66663;4,50
2021-W48;12-15;Påbegyndt vaccinationsforløb;1;26425;3,78
2021-W48;16-19;Forventet fuld effekt;2;236091;0,85
2021-W48;16-19;Ikke vaccineret;5;33582;14,89
2021-W48;16-19;Påbegyndt vaccinationsforløb;0;9635;0,00
2021-W48;20-39;Forventet fuld effekt;24;1144254;2,10
2021-W48;20-39;Ikke vaccineret;75;280534;26,73
2021-W48;20-39;Påbegyndt vaccinationsforløb;9;68665;13,11
2021-W48;40-64;Forventet fuld effekt;87;1736532;5,01
2021-W48;40-64;Ikke vaccineret;67;145205;46,14
2021-W48;40-64;Påbegyndt vaccinationsforløb;5;25000;20,00
2021-W48;65-79;Forventet fuld effekt;124;860532;14,41
2021-W48;65-79;Ikke vaccineret;23;27987;82,18
2021-W48;65-79;Påbegyndt vaccinationsforløb;3;2834;105,87
2021-W48;80+;Forventet fuld effekt;73;255948;28,52
2021-W48;80+;Ikke vaccineret;11;8926;123,23
2021-W48;80+;Påbegyndt vaccinationsforløb;0;967;0,00
2021-W49;12-15;Forventet fuld effekt;0;204544;0,00
2021-W49;12-15;Ikke vaccineret;1;63790;1,57
2021-W49;12-15;Påbegyndt vaccinationsforløb;1;27195;3,68
2021-W49;16-19;Forventet fuld effekt;3;236800;1,27
2021-W49;16-19;Ikke vaccineret;2;32118;6,23
2021-W49;16-19;Påbegyndt vaccinationsforløb;0;10421;0,00
2021-W49;20-39;Forventet fuld effekt;44;1150251;3,83
2021-W49;20-39;Ikke vaccineret;80;272015;29,41
2021-W49;20-39;Påbegyndt vaccinationsforløb;5;71656;6,98
2021-W49;40-64;Forventet fuld effekt;115;1738473;6,62
2021-W49;40-64;Ikke vaccineret;70;142306;49,19
2021-W49;40-64;Påbegyndt vaccinationsforløb;6;26078;23,01
2021-W49;65-79;Forventet fuld effekt;119;860358;13,83
2021-W49;65-79;Ikke vaccineret;23;27614;83,29
2021-W49;65-79;Påbegyndt vaccinationsforløb;1;2971;33,66
2021-W49;80+;Forventet fuld effekt;68;255449;26,62
2021-W49;80+;Ikke vaccineret;14;8799;159,11
2021-W49;80+;Påbegyndt vaccinationsforløb;2;1005;199,00
2021-W50;12-15;Forventet fuld effekt;5;208995;2,39
2021-W50;12-15;Ikke vaccineret;5;60687;8,24
2021-W50;12-15;Påbegyndt vaccinationsforløb;2;26503;7,55
2021-W50;16-19;Forventet fuld effekt;10;237960;4,20
2021-W50;16-19;Ikke vaccineret;4;31178;12,83
2021-W50;16-19;Påbegyndt vaccinationsforløb;0;10239;0,00
