,group
799,5
800,4
801,2
802,1
803,0
804,1
805,5
806,1
807,2
808,2
809,5
810,5
811,2
812,5
813,4
814,0
815,3
816,5
817,0
818,5
819,5
820,5
821,1
822,2
823,2
824,1
825,5
826,5
827,5
828,4
829,0
830,4
831,2
832,3
833,5
834,5
835,2
836,5
837,5
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,1
846,2
847,0
848,4
849,5
850,0
851,2
852,3
853,5
854,5
855,0
856,1
857,4
858,5
859,5
860,5
861,4
862,3
863,5
864,5
865,0
866,4
867,2
868,5
869,5
870,3
871,5
872,2
873,5
874,5
875,0
876,5
877,2
878,1
879,5
880,0
881,0
882,0
883,2
884,5
885,2
886,1
887,1
888,0
889,0
890,3
891,5
892,5
893,4
894,5
895,2
896,4
897,0
898,1
899,4
900,1
901,0
902,1
903,4
904,0
905,0
906,1
907,5
908,0
909,2
910,5
911,2
912,1
913,3
914,5
915,0
916,0
917,5
918,1
919,0
920,0
921,5
922,1
923,0
924,5
925,5
926,5
927,5
928,0
929,4
930,0
931,2
932,3
933,2
934,5
935,5
936,1
937,5
938,1
939,4
940,1
941,4
942,0
943,4
944,0
945,5
946,0
947,5
948,0
949,4
950,1
951,0
952,2
953,4
954,4
955,0
956,5
957,5
958,5
959,2
960,5
961,0
962,0
963,5
964,4
965,5
966,5
967,4
968,1
969,0
970,0
971,0
972,4
973,3
974,0
975,1
976,1
977,3
978,5
979,1
980,4
981,1
982,1
983,0
984,2
985,4
986,5
987,5
988,3
989,1
990,1
991,4
992,2
993,1
994,3
995,2
996,5
997,1
998,4
999,4
1000,4
1001,4
1002,1
1003,1
1004,3
1005,4
1006,1
1007,2
1008,2
1009,1
1010,0
1011,5
1012,0
1013,4
1014,1
1015,2
1016,2
1017,4
1018,0
1019,2
1020,2
1021,1
1022,5
1023,0
1024,4
1025,0
1026,1
1027,3
1028,5
1029,5
1030,5
1031,0
1032,2
1033,0
1034,1
1035,0
1036,2
1037,1
1038,0
1039,5
1040,1
1041,5
1042,5
1043,0
1044,2
1045,2
1046,5
1047,5
1048,0
1049,0
1050,4
1051,2
1052,5
1053,2
1054,0
1055,2
1056,1
1057,4
1058,0
1059,5
1060,5
1061,4
1062,5
1063,0
1064,5
1065,4
1066,4
1067,5
1068,4
1069,2
1070,0
1071,0
1072,0
1073,4
1074,4
1075,2
1076,5
1077,2
1078,0
1079,4
1080,2
1081,3
1082,1
1083,0
1084,1
1085,5
1086,5
1087,2
1088,5
1089,2
1090,3
1091,1
1092,5
1093,5
1094,2
1095,0
1096,2
1097,5
1098,0
1099,0
1100,1
1101,1
1102,1
1103,2
1104,1
1105,4
1106,5
1107,5
1108,1
1109,2
1110,1
1111,2
1112,1
1113,5
1114,4
1115,5
1116,5
1117,2
1118,4
1119,4
1120,1
1121,0
1122,5
1123,0
1124,1
1125,1
1126,5
1127,4
1128,3
1129,1
1130,1
1131,2
1132,2
1133,1
1134,5
1135,1
1136,0
1137,0
1138,5
1139,4
1140,0
1141,1
1142,2
1143,4
1144,3
1145,2
1146,4
1147,5
1148,3
1149,2
1150,2
1151,5
1152,2
1153,5
1154,2
1155,1
1156,1
1157,1
1158,5
1159,0
1160,5
1161,1
1162,5
1163,0
1164,2
1165,5
1166,3
1167,5
1168,2
1169,4
1170,5
1171,0
1172,0
1173,1
1174,5
1175,4
1176,4
1177,4
1178,5
1179,5
1180,3
1181,5
1182,0
1183,5
1184,5
1185,2
1186,1
1187,5
1188,1
1189,0
1190,1
1191,5
1192,1
1193,4
1194,0
1195,0
1196,3
1197,5
1198,1
1199,0
1200,3
1201,1
1202,2
1203,0
1204,5
1205,0
1206,0
1207,3
1208,2
1209,5
1210,2
1211,1
1212,0
1213,2
1214,2
1215,0
1216,1
1217,4
1218,2
1219,0
1220,3
1221,5
1222,2
1223,1
1224,5
1225,2
1226,2
1227,0
1228,1
1229,4
1230,3
1231,1
1232,0
1233,1
1234,1
1235,2
1236,4
1237,0
1238,1
1239,1
1240,5
1241,2
1242,1
1243,2
1244,3
1245,5
1246,5
1247,1
1248,1
1249,4
1250,3
1251,2
1252,3
1253,1
1254,0
1255,4
1256,1
1257,5
1258,1
1259,1
1260,4
1261,1
1262,5
1263,0
1264,4
1265,5
1266,2
1267,3
1268,2
1269,0
1270,4
1271,0
1272,1
1273,1
1274,0
1275,2
1276,3
1277,2
1278,5
1279,3
1280,2
1281,1
1282,4
1283,2
1284,0
1285,1
1286,5
1287,3
1288,5
1289,3
1290,1
1291,5
1292,1
1293,4
1294,5
1295,2
1296,5
1297,0
1298,5
1299,3
1300,5
1301,1
1302,0
1303,5
1304,1
1305,0
1306,2
1307,5
1308,0
1309,5
1310,1
1311,2
1312,2
1313,1
1314,3
1315,0
1316,2
1317,2
1318,1
1319,0
1320,2
1321,0
1322,4
1323,0
1324,2
1325,0
1326,2
1327,5
1328,0
1329,1
1330,5
1331,0
1332,1
1333,2
1334,1
1335,5
1336,4
1337,1
1338,0
1339,2
1340,0
1341,1
1342,2
1343,0
1344,2
1345,0
1346,5
1347,2
1348,0
1349,0
1350,2
1351,5
1352,1
1353,5
1354,4
1355,5
1356,1
1357,5
1358,0
1359,0
1360,0
1361,0
1362,0
1363,3
1364,5
1365,0
1366,5
1367,2
1368,2
1369,2
1370,0
1371,0
1372,0
1373,0
1374,1
1375,5
1376,5
1377,5
1378,1
1379,4
1380,5
1381,1
1382,1
1383,0
1384,0
1385,4
1386,0
1387,0
1388,3
1389,3
1390,2
1391,5
1392,0
1393,5
1394,0
1395,0
1396,5
1397,3
1398,3
1399,4
1400,1
1401,0
1402,1
1403,1
1404,0
1405,1
1406,2
1407,5
1408,4
1409,1
1410,0
1411,0
1412,5
1413,1
1414,3
1415,0
1416,2
1417,0
1418,0
1419,2
1420,0
1421,0
1422,0
1423,1
1424,0
