"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;31;2022-01-31
019;0-9;37;2022-01-31
101;0-9;3789;2022-01-31
147;0-9;578;2022-01-31
151;0-9;478;2022-01-31
153;0-9;273;2022-01-31
155;0-9;91;2022-01-31
157;0-9;590;2022-01-31
159;0-9;518;2022-01-31
161;0-9;161;2022-01-31
163;0-9;229;2022-01-31
165;0-9;165;2022-01-31
167;0-9;439;2022-01-31
169;0-9;418;2022-01-31
173;0-9;508;2022-01-31
175;0-9;316;2022-01-31
183;0-9;192;2022-01-31
185;0-9;346;2022-01-31
187;0-9;155;2022-01-31
190;0-9;526;2022-01-31
201;0-9;279;2022-01-31
210;0-9;327;2022-01-31
217;0-9;472;2022-01-31
219;0-9;548;2022-01-31
223;0-9;214;2022-01-31
230;0-9;468;2022-01-31
240;0-9;388;2022-01-31
250;0-9;393;2022-01-31
253;0-9;510;2022-01-31
259;0-9;489;2022-01-31
260;0-9;232;2022-01-31
265;0-9;660;2022-01-31
269;0-9;300;2022-01-31
270;0-9;184;2022-01-31
306;0-9;124;2022-01-31
316;0-9;513;2022-01-31
320;0-9;281;2022-01-31
326;0-9;275;2022-01-31
329;0-9;234;2022-01-31
330;0-9;618;2022-01-31
336;0-9;192;2022-01-31
340;0-9;151;2022-01-31
350;0-9;195;2022-01-31
360;0-9;266;2022-01-31
370;0-9;643;2022-01-31
376;0-9;472;2022-01-31
390;0-9;280;2022-01-31
400;0-9;260;2022-01-31
410;0-9;292;2022-01-31
420;0-9;326;2022-01-31
430;0-9;444;2022-01-31
440;0-9;171;2022-01-31
450;0-9;268;2022-01-31
461;0-9;1885;2022-01-31
479;0-9;506;2022-01-31
480;0-9;289;2022-01-31
482;0-9;67;2022-01-31
492;0-9;13;2022-01-31
510;0-9;450;2022-01-31
530;0-9;272;2022-01-31
540;0-9;582;2022-01-31
550;0-9;250;2022-01-31
561;0-9;1219;2022-01-31
563;0-9;14;2022-01-31
573;0-9;498;2022-01-31
575;0-9;363;2022-01-31
580;0-9;437;2022-01-31
607;0-9;425;2022-01-31
615;0-9;806;2022-01-31
621;0-9;784;2022-01-31
630;0-9;1035;2022-01-31
657;0-9;905;2022-01-31
661;0-9;525;2022-01-31
665;0-9;76;2022-01-31
671;0-9;175;2022-01-31
706;0-9;317;2022-01-31
707;0-9;202;2022-01-31
710;0-9;504;2022-01-31
727;0-9;113;2022-01-31
730;0-9;769;2022-01-31
740;0-9;879;2022-01-31
741;0-9;8;2022-01-31
746;0-9;806;2022-01-31
751;0-9;2754;2022-01-31
756;0-9;304;2022-01-31
760;0-9;371;2022-01-31
766;0-9;305;2022-01-31
773;0-9;128;2022-01-31
779;0-9;292;2022-01-31
787;0-9;254;2022-01-31
791;0-9;694;2022-01-31
810;0-9;350;2022-01-31
813;0-9;418;2022-01-31
820;0-9;225;2022-01-31
825;0-9;1;2022-01-31
840;0-9;321;2022-01-31
846;0-9;332;2022-01-31
849;0-9;346;2022-01-31
851;0-9;1722;2022-01-31
860;0-9;582;2022-01-31
;10-19;36;2022-01-31
011;10-19;1;2022-01-31
019;10-19;40;2022-01-31
101;10-19;4089;2022-01-31
147;10-19;687;2022-01-31
151;10-19;462;2022-01-31
153;10-19;298;2022-01-31
155;10-19;162;2022-01-31
157;10-19;852;2022-01-31
159;10-19;669;2022-01-31
161;10-19;215;2022-01-31
163;10-19;276;2022-01-31
165;10-19;222;2022-01-31
167;10-19;513;2022-01-31
169;10-19;505;2022-01-31
173;10-19;670;2022-01-31
175;10-19;348;2022-01-31
183;10-19;208;2022-01-31
185;10-19;451;2022-01-31
187;10-19;209;2022-01-31
190;10-19;636;2022-01-31
201;10-19;442;2022-01-31
210;10-19;448;2022-01-31
217;10-19;631;2022-01-31
219;10-19;701;2022-01-31
223;10-19;312;2022-01-31
230;10-19;707;2022-01-31
240;10-19;630;2022-01-31
250;10-19;596;2022-01-31
253;10-19;630;2022-01-31
259;10-19;715;2022-01-31
260;10-19;342;2022-01-31
265;10-19;1159;2022-01-31
269;10-19;289;2022-01-31
270;10-19;432;2022-01-31
306;10-19;268;2022-01-31
316;10-19;794;2022-01-31
320;10-19;414;2022-01-31
326;10-19;493;2022-01-31
329;10-19;350;2022-01-31
330;10-19;814;2022-01-31
336;10-19;313;2022-01-31
340;10-19;365;2022-01-31
350;10-19;354;2022-01-31
360;10-19;384;2022-01-31
370;10-19;912;2022-01-31
376;10-19;723;2022-01-31
390;10-19;554;2022-01-31
400;10-19;441;2022-01-31
410;10-19;563;2022-01-31
420;10-19;527;2022-01-31
430;10-19;746;2022-01-31
440;10-19;351;2022-01-31
