"Kommune";"Kommunenavn";"Dato";"Bekræftede tilfælde"
265;Roskilde;2020-02-26;1
101;København;2020-02-27;1
751;Århus;2020-02-28;1
101;København;2020-03-01;1
101;København;2020-03-02;1
147;Frederiksberg;2020-03-02;1
326;Kalundborg;2020-03-02;1
410;Middelfart;2020-03-02;1
101;København;2020-03-03;4
101;København;2020-03-04;1
157;Gentofte;2020-03-04;1
269;Solrød;2020-03-04;1
101;København;2020-03-05;2
147;Frederiksberg;2020-03-05;2
155;Dragør;2020-03-05;1
201;Allerød;2020-03-05;1
217;Helsingør;2020-03-05;2
219;Hillerød;2020-03-05;1
230;Rudersdal;2020-03-05;1
370;Næstved;2020-03-06;1
851;Aalborg;2020-03-06;1
101;København;2020-03-07;1
147;Frederiksberg;2020-03-07;1
187;Vallensbæk;2020-03-07;1
219;Hillerød;2020-03-07;2
230;Rudersdal;2020-03-07;3
751;Århus;2020-03-07;1
101;København;2020-03-08;3
147;Frederiksberg;2020-03-08;2
157;Gentofte;2020-03-08;1
190;Furesø;2020-03-08;1
201;Allerød;2020-03-08;1
230;Rudersdal;2020-03-08;2
250;Frederikssund;2020-03-08;2
253;Greve;2020-03-08;1
265;Roskilde;2020-03-08;1
316;Holbæk;2020-03-08;1
370;Næstved;2020-03-08;1
461;Odense;2020-03-08;1
561;Esbjerg;2020-03-08;1
580;Aabenraa;2020-03-08;2
621;Kolding;2020-03-08;4
630;Vejle;2020-03-08;1
710;Favrskov;2020-03-08;1
740;Silkeborg;2020-03-08;2
746;Skanderborg;2020-03-08;4
751;Århus;2020-03-08;15
851;Aalborg;2020-03-08;1
101;København;2020-03-09;23
147;Frederiksberg;2020-03-09;6
151;Ballerup;2020-03-09;2
157;Gentofte;2020-03-09;5
159;Gladsaxe;2020-03-09;3
163;Herlev;2020-03-09;1
167;Hvidovre;2020-03-09;1
173;Lyngby-Taarbæk;2020-03-09;6
175;Rødovre;2020-03-09;1
187;Vallensbæk;2020-03-09;1
190;Furesø;2020-03-09;2
217;Helsingør;2020-03-09;9
219;Hillerød;2020-03-09;2
223;Hørsholm;2020-03-09;4
230;Rudersdal;2020-03-09;2
240;Egedal;2020-03-09;1
253;Greve;2020-03-09;2
259;Køge;2020-03-09;2
260;Halsnæs;2020-03-09;2
265;Roskilde;2020-03-09;2
269;Solrød;2020-03-09;4
316;Holbæk;2020-03-09;2
320;Faxe;2020-03-09;2
326;Kalundborg;2020-03-09;1
330;Slagelse;2020-03-09;1
336;Stevns;2020-03-09;3
340;Sorø;2020-03-09;2
350;Lejre;2020-03-09;2
360;Lolland;2020-03-09;3
370;Næstved;2020-03-09;7
376;Guldborgsund;2020-03-09;2
390;Vordingborg;2020-03-09;2
410;Middelfart;2020-03-09;5
430;Faaborg-Midtfyn;2020-03-09;2
450;Nyborg;2020-03-09;1
461;Odense;2020-03-09;8
479;Svendborg;2020-03-09;3
480;Nordfyn;2020-03-09;1
510;Haderslev;2020-03-09;1
540;Sønderborg;2020-03-09;2
561;Esbjerg;2020-03-09;11
575;Vejen;2020-03-09;1
580;Aabenraa;2020-03-09;2
607;Fredericia;2020-03-09;1
615;Horsens;2020-03-09;1
621;Kolding;2020-03-09;6
630;Vejle;2020-03-09;5
657;Herning;2020-03-09;5
706;Syddjurs;2020-03-09;1
710;Favrskov;2020-03-09;1
730;Randers;2020-03-09;2
740;Silkeborg;2020-03-09;6
746;Skanderborg;2020-03-09;2
751;Århus;2020-03-09;25
779;Skive;2020-03-09;1
791;Viborg;2020-03-09;1
851;Aalborg;2020-03-09;6
860;Hjørring;2020-03-09;2
101;København;2020-03-10;50
147;Frederiksberg;2020-03-10;13
151;Ballerup;2020-03-10;1
153;Brøndby;2020-03-10;1
157;Gentofte;2020-03-10;13
159;Gladsaxe;2020-03-10;1
163;Herlev;2020-03-10;2
167;Hvidovre;2020-03-10;1
173;Lyngby-Taarbæk;2020-03-10;3
175;Rødovre;2020-03-10;1
187;Vallensbæk;2020-03-10;1
201;Allerød;2020-03-10;3
217;Helsingør;2020-03-10;7
219;Hillerød;2020-03-10;4
223;Hørsholm;2020-03-10;3
230;Rudersdal;2020-03-10;6
240;Egedal;2020-03-10;1
250;Frederikssund;2020-03-10;2
253;Greve;2020-03-10;7
259;Køge;2020-03-10;4
260;Halsnæs;2020-03-10;2
265;Roskilde;2020-03-10;6
269;Solrød;2020-03-10;1
270;Gribskov;2020-03-10;1
306;Odsherred;2020-03-10;2
316;Holbæk;2020-03-10;1
326;Kalundborg;2020-03-10;1
376;Guldborgsund;2020-03-10;2
390;Vordingborg;2020-03-10;3
410;Middelfart;2020-03-10;2
430;Faaborg-Midtfyn;2020-03-10;2
440;Kerteminde;2020-03-10;1
450;Nyborg;2020-03-10;1
461;Odense;2020-03-10;3
479;Svendborg;2020-03-10;1
480;Nordfyn;2020-03-10;1
510;Haderslev;2020-03-10;1
530;Billund;2020-03-10;1
561;Esbjerg;2020-03-10;4
580;Aabenraa;2020-03-10;1
607;Fredericia;2020-03-10;3
615;Horsens;2020-03-10;1
621;Kolding;2020-03-10;5
630;Vejle;2020-03-10;1
657;Herning;2020-03-10;2
661;Holstebro;2020-03-10;1
707;Norddjurs;2020-03-10;1
710;Favrskov;2020-03-10;4
727;Odder;2020-03-10;1
730;Randers;2020-03-10;2
740;Silkeborg;2020-03-10;4
746;Skanderborg;2020-03-10;13
751;Århus;2020-03-10;37
760;Ringkøbing-Skjern;2020-03-10;2
779;Skive;2020-03-10;3
791;Viborg;2020-03-10;1
813;Frederikshavn;2020-03-10;2
820;Vesthimmerland;2020-03-10;1
840;Rebild;2020-03-10;3
846;Mariagerfjord;2020-03-10;2
851;Aalborg;2020-03-10;5
101;København;2020-03-11;29
147;Frederiksberg;2020-03-11;8
151;Ballerup;2020-03-11;1
153;Brøndby;2020-03-11;3
155;Dragør;2020-03-11;3
157;Gentofte;2020-03-11;11
159;Gladsaxe;2020-03-11;6
161;Glostrup;2020-03-11;1
169;Høje Tåstrup;2020-03-11;1
173;Lyngby-Taarbæk;2020-03-11;3
185;Tårnby;2020-03-11;3
187;Vallensbæk;2020-03-11;1
190;Furesø;2020-03-11;1
217;Helsingør;2020-03-11;2
219;Hillerød;2020-03-11;1
223;Hørsholm;2020-03-11;1
230;Rudersdal;2020-03-11;7
240;Egedal;2020-03-11;4
250;Frederikssund;2020-03-11;1
253;Greve;2020-03-11;4
259;Køge;2020-03-11;2
260;Halsnæs;2020-03-11;1
265;Roskilde;2020-03-11;4
269;Solrød;2020-03-11;3
306;Odsherred;2020-03-11;4
320;Faxe;2020-03-11;1
330;Slagelse;2020-03-11;3
360;Lolland;2020-03-11;1
370;Næstved;2020-03-11;4
376;Guldborgsund;2020-03-11;1
410;Middelfart;2020-03-11;2
430;Faaborg-Midtfyn;2020-03-11;5
461;Odense;2020-03-11;6
480;Nordfyn;2020-03-11;1
530;Billund;2020-03-11;1
540;Sønderborg;2020-03-11;1
550;Tønder;2020-03-11;2
561;Esbjerg;2020-03-11;4
575;Vejen;2020-03-11;1
580;Aabenraa;2020-03-11;2
607;Fredericia;2020-03-11;4
621;Kolding;2020-03-11;10
630;Vejle;2020-03-11;4
657;Herning;2020-03-11;3
727;Odder;2020-03-11;1
730;Randers;2020-03-11;1
740;Silkeborg;2020-03-11;8
751;Århus;2020-03-11;12
773;Morsø;2020-03-11;1
787;Thisted;2020-03-11;2
813;Frederikshavn;2020-03-11;1
840;Rebild;2020-03-11;1
846;Mariagerfjord;2020-03-11;4
849;Jammerbugt;2020-03-11;1
