"Dato";"Døde";"Kumuleret antal døde"
2020-02-26;0;0
2020-02-27;0;0
2020-02-28;0;0
2020-03-01;0;0
2020-03-02;0;0
2020-03-03;0;0
2020-03-04;0;0
2020-03-05;0;0
2020-03-06;0;0
2020-03-07;0;0
2020-03-08;0;0
2020-03-09;0;0
2020-03-10;0;0
2020-03-11;1;1
2020-03-12;0;1
2020-03-13;0;1
2020-03-14;1;2
2020-03-15;2;4
2020-03-16;1;5
2020-03-17;1;6
2020-03-18;4;10
2020-03-19;5;15
2020-03-20;4;19
2020-03-21;3;22
2020-03-22;3;25
2020-03-23;6;31
2020-03-24;6;37
2020-03-25;6;43
2020-03-26;12;55
2020-03-27;12;67
2020-03-28;9;76
2020-03-29;8;84
2020-03-30;11;95
2020-03-31;15;110
2020-04-01;22;132
2020-04-02;18;150
2020-04-03;20;170
2020-04-04;15;185
2020-04-05;12;197
2020-04-06;17;214
2020-04-07;12;226
2020-04-08;15;241
2020-04-09;13;254
2020-04-10;16;270
2020-04-11;11;281
2020-04-12;11;292
2020-04-13;16;308
2020-04-14;12;320
2020-04-15;10;330
2020-04-16;12;342
2020-04-17;9;351
2020-04-18;10;361
2020-04-19;6;367
2020-04-20;7;374
2020-04-21;12;386
2020-04-22;14;400
2020-04-23;10;410
2020-04-24;6;416
2020-04-25;5;421
2020-04-26;5;426
2020-04-27;9;435
2020-04-28;10;445
2020-04-29;9;454
2020-04-30;9;463
2020-05-01;11;474
2020-05-02;8;482
2020-05-03;9;491
2020-05-04;7;498
2020-05-05;3;501
2020-05-06;6;507
2020-05-07;6;513
2020-05-08;4;517
2020-05-09;3;520
2020-05-10;5;525
2020-05-11;4;529
2020-05-12;7;536
2020-05-13;5;541
2020-05-14;0;541
2020-05-15;6;547
2020-05-16;3;550
2020-05-17;3;553
2020-05-18;3;556
2020-05-19;2;558
2020-05-20;5;563
2020-05-21;0;563
2020-05-22;1;564
2020-05-23;1;565
2020-05-24;1;566
2020-05-25;0;566
2020-05-26;3;569
2020-05-27;1;570
2020-05-28;0;570
2020-05-29;1;571
2020-05-30;4;575
2020-05-31;2;577
2020-06-01;3;580
2020-06-02;1;581
2020-06-03;1;582
2020-06-04;4;586
2020-06-05;2;588
2020-06-06;3;591
2020-06-07;2;593
2020-06-08;0;593
2020-06-09;0;593
2020-06-10;0;593
2020-06-11;1;594
2020-06-12;3;597
2020-06-13;0;597
2020-06-14;1;598
2020-06-15;0;598
2020-06-16;1;599
2020-06-17;1;600
2020-06-18;1;601
2020-06-19;1;602
2020-06-20;1;603
2020-06-21;0;603
2020-06-22;0;603
2020-06-23;1;604
2020-06-24;0;604
2020-06-25;1;605
2020-06-26;0;605
2020-06-27;0;605
2020-06-28;1;606
2020-06-29;0;606
2020-06-30;0;606
2020-07-01;0;606
2020-07-02;0;606
2020-07-03;0;606
2020-07-04;1;607
2020-07-05;0;607
2020-07-06;2;609
2020-07-07;0;609
2020-07-08;0;609
2020-07-09;0;609
2020-07-10;1;610
2020-07-11;0;610
2020-07-12;0;610
2020-07-13;0;610
2020-07-14;0;610
2020-07-15;0;610
2020-07-16;0;610
2020-07-17;1;611
2020-07-18;0;611
2020-07-19;0;611
2020-07-20;0;611
2020-07-21;0;611
2020-07-22;2;613
2020-07-23;0;613
2020-07-24;0;613
2020-07-25;0;613
2020-07-26;0;613
2020-07-27;0;613
2020-07-28;1;614
2020-07-29;1;615
2020-07-30;0;615
2020-07-31;1;616
2020-08-01;0;616
2020-08-02;0;616
2020-08-03;0;616
