"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
223;Hørsholm;10-19;1953;2022-01-31
230;Rudersdal;10-19;4615;2022-01-31
240;Egedal;10-19;3303;2022-01-31
250;Frederikssund;10-19;2954;2022-01-31
253;Greve;10-19;3813;2022-01-31
259;Køge;10-19;3932;2022-01-31
260;Halsnæs;10-19;1724;2022-01-31
265;Roskilde;10-19;6104;2022-01-31
269;Solrød;10-19;1878;2022-01-31
270;Gribskov;10-19;2371;2022-01-31
306;Odsherred;10-19;1264;2022-01-31
316;Holbæk;10-19;3910;2022-01-31
320;Faxe;10-19;2070;2022-01-31
326;Kalundborg;10-19;2313;2022-01-31
329;Ringsted;10-19;1956;2022-01-31
330;Slagelse;10-19;4336;2022-01-31
336;Stevns;10-19;1356;2022-01-31
340;Sorø;10-19;1531;2022-01-31
350;Lejre;10-19;1827;2022-01-31
360;Lolland;10-19;1789;2022-01-31
370;Næstved;10-19;4816;2022-01-31
376;Guldborgsund;10-19;3131;2022-01-31
390;Vordingborg;10-19;2422;2022-01-31
400;Bornholm;10-19;1626;2022-01-31
410;Middelfart;10-19;2121;2022-01-31
420;Assens;10-19;2000;2022-01-31
430;Faaborg-Midtfyn;10-19;2518;2022-01-31
440;Kerteminde;10-19;1184;2022-01-31
450;Nyborg;10-19;1618;2022-01-31
461;Odense;10-19;11267;2022-01-31
479;Svendborg;10-19;3097;2022-01-31
480;Nordfyn;10-19;1562;2022-01-31
482;Langeland;10-19;429;2022-01-31
492;Ærø;10-19;171;2022-01-31
510;Haderslev;10-19;2858;2022-01-31
530;Billund;10-19;1477;2022-01-31
540;Sønderborg;10-19;3711;2022-01-31
550;Tønder;10-19;1846;2022-01-31
561;Esbjerg;10-19;6294;2022-01-31
563;Fanø;10-19;151;2022-01-31
573;Varde;10-19;2641;2022-01-31
575;Vejen;10-19;2437;2022-01-31
580;Aabenraa;10-19;2909;2022-01-31
607;Fredericia;10-19;2543;2022-01-31
615;Horsens;10-19;4863;2022-01-31
621;Kolding;10-19;4931;2022-01-31
630;Vejle;10-19;7182;2022-01-31
657;Herning;10-19;4853;2022-01-31
661;Holstebro;10-19;3649;2022-01-31
665;Lemvig;10-19;870;2022-01-31
671;Struer;10-19;1072;2022-01-31
706;Syddjurs;10-19;1949;2022-01-31
707;Norddjurs;10-19;1428;2022-01-31
710;Favrskov;10-19;3282;2022-01-31
727;Odder;10-19;1285;2022-01-31
730;Randers;10-19;5305;2022-01-31
740;Silkeborg;10-19;5616;2022-01-31
741;Samsø;10-19;60;2022-01-31
746;Skanderborg;10-19;4365;2022-01-31
751;Århus;10-19;18771;2022-01-31
756;Ikast-Brande;10-19;2130;2022-01-31
760;Ringkøbing-Skjern;10-19;2805;2022-01-31
766;Hedensted;10-19;2381;2022-01-31
773;Morsø;10-19;894;2022-01-31
779;Skive;10-19;2360;2022-01-31
787;Thisted;10-19;2054;2022-01-31
791;Viborg;10-19;5593;2022-01-31
810;Brønderslev;10-19;1822;2022-01-31
813;Frederikshavn;10-19;2739;2022-01-31
820;Vesthimmerland;10-19;1759;2022-01-31
825;Læsø;10-19;42;2022-01-31
840;Rebild;10-19;1641;2022-01-31
846;Mariagerfjord;10-19;2472;2022-01-31
849;Jammerbugt;10-19;1892;2022-01-31
851;Aalborg;10-19;10316;2022-01-31
860;Hjørring;10-19;3340;2022-01-31
;;20-29;1945;2022-01-31
011;;20-29;356;2022-01-31
012;;20-29;11;2022-01-31
019;;20-29;60;2022-01-31
101;København;20-29;67593;2022-01-31
147;Frederiksberg;20-29;8752;2022-01-31
151;Ballerup;20-29;2283;2022-01-31
153;Brøndby;20-29;2158;2022-01-31
155;Dragør;20-29;293;2022-01-31
157;Gentofte;20-29;2413;2022-01-31
159;Gladsaxe;20-29;3443;2022-01-31
161;Glostrup;20-29;1394;2022-01-31
163;Herlev;20-29;1427;2022-01-31
165;Albertslund;20-29;1671;2022-01-31
167;Hvidovre;20-29;2890;2022-01-31
169;Høje Tåstrup;20-29;2887;2022-01-31
173;Lyngby-Taarbæk;20-29;2546;2022-01-31
175;Rødovre;20-29;2192;2022-01-31
183;Ishøj;20-29;1564;2022-01-31
185;Tårnby;20-29;1660;2022-01-31
187;Vallensbæk;20-29;762;2022-01-31
190;Furesø;20-29;1142;2022-01-31
201;Allerød;20-29;555;2022-01-31
210;Fredensborg;20-29;1212;2022-01-31
217;Helsingør;20-29;2259;2022-01-31
219;Hillerød;20-29;2245;2022-01-31
223;Hørsholm;20-29;552;2022-01-31
230;Rudersdal;20-29;1505;2022-01-31
240;Egedal;20-29;1321;2022-01-31
250;Frederikssund;20-29;1399;2022-01-31
253;Greve;20-29;1845;2022-01-31
259;Køge;20-29;2402;2022-01-31
260;Halsnæs;20-29;901;2022-01-31
265;Roskilde;20-29;3755;2022-01-31
269;Solrød;20-29;776;2022-01-31
270;Gribskov;20-29;990;2022-01-31
306;Odsherred;20-29;720;2022-01-31
316;Holbæk;20-29;2288;2022-01-31
320;Faxe;20-29;1071;2022-01-31
326;Kalundborg;20-29;1235;2022-01-31
329;Ringsted;20-29;1383;2022-01-31
330;Slagelse;20-29;3308;2022-01-31
336;Stevns;20-29;623;2022-01-31
340;Sorø;20-29;733;2022-01-31
350;Lejre;20-29;614;2022-01-31
360;Lolland;20-29;1047;2022-01-31
370;Næstved;20-29;2975;2022-01-31
376;Guldborgsund;20-29;1963;2022-01-31
390;Vordingborg;20-29;1121;2022-01-31
400;Bornholm;20-29;787;2022-01-31
410;Middelfart;20-29;796;2022-01-31
420;Assens;20-29;854;2022-01-31
430;Faaborg-Midtfyn;20-29;1013;2022-01-31
440;Kerteminde;20-29;544;2022-01-31
