"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
210;Fredensborg;60-69;863;2022-01-31
217;Helsingør;60-69;1455;2022-01-31
219;Hillerød;60-69;996;2022-01-31
223;Hørsholm;60-69;529;2022-01-31
230;Rudersdal;60-69;1113;2022-01-31
240;Egedal;60-69;768;2022-01-31
250;Frederikssund;60-69;905;2022-01-31
253;Greve;60-69;1013;2022-01-31
259;Køge;60-69;977;2022-01-31
260;Halsnæs;60-69;636;2022-01-31
265;Roskilde;60-69;1509;2022-01-31
269;Solrød;60-69;436;2022-01-31
270;Gribskov;60-69;905;2022-01-31
306;Odsherred;60-69;576;2022-01-31
316;Holbæk;60-69;1275;2022-01-31
320;Faxe;60-69;687;2022-01-31
326;Kalundborg;60-69;811;2022-01-31
329;Ringsted;60-69;517;2022-01-31
330;Slagelse;60-69;1224;2022-01-31
336;Stevns;60-69;480;2022-01-31
340;Sorø;60-69;478;2022-01-31
350;Lejre;60-69;479;2022-01-31
360;Lolland;60-69;824;2022-01-31
370;Næstved;60-69;1374;2022-01-31
376;Guldborgsund;60-69;1180;2022-01-31
390;Vordingborg;60-69;911;2022-01-31
400;Bornholm;60-69;680;2022-01-31
410;Middelfart;60-69;512;2022-01-31
420;Assens;60-69;482;2022-01-31
430;Faaborg-Midtfyn;60-69;759;2022-01-31
440;Kerteminde;60-69;340;2022-01-31
450;Nyborg;60-69;542;2022-01-31
461;Odense;60-69;2533;2022-01-31
479;Svendborg;60-69;955;2022-01-31
480;Nordfyn;60-69;415;2022-01-31
482;Langeland;60-69;180;2022-01-31
492;Ærø;60-69;68;2022-01-31
510;Haderslev;60-69;817;2022-01-31
530;Billund;60-69;299;2022-01-31
540;Sønderborg;60-69;848;2022-01-31
550;Tønder;60-69;572;2022-01-31
561;Esbjerg;60-69;1675;2022-01-31
563;Fanø;60-69;61;2022-01-31
573;Varde;60-69;714;2022-01-31
575;Vejen;60-69;543;2022-01-31
580;Aabenraa;60-69;800;2022-01-31
607;Fredericia;60-69;694;2022-01-31
615;Horsens;60-69;1044;2022-01-31
621;Kolding;60-69;1089;2022-01-31
630;Vejle;60-69;1395;2022-01-31
657;Herning;60-69;1251;2022-01-31
661;Holstebro;60-69;913;2022-01-31
665;Lemvig;60-69;355;2022-01-31
671;Struer;60-69;332;2022-01-31
706;Syddjurs;60-69;525;2022-01-31
707;Norddjurs;60-69;461;2022-01-31
710;Favrskov;60-69;478;2022-01-31
727;Odder;60-69;336;2022-01-31
730;Randers;60-69;1167;2022-01-31
740;Silkeborg;60-69;1170;2022-01-31
741;Samsø;60-69;57;2022-01-31
746;Skanderborg;60-69;807;2022-01-31
751;Århus;60-69;4015;2022-01-31
756;Ikast-Brande;60-69;532;2022-01-31
760;Ringkøbing-Skjern;60-69;780;2022-01-31
766;Hedensted;60-69;651;2022-01-31
773;Morsø;60-69;337;2022-01-31
779;Skive;60-69;637;2022-01-31
787;Thisted;60-69;611;2022-01-31
791;Viborg;60-69;1298;2022-01-31
810;Brønderslev;60-69;527;2022-01-31
813;Frederikshavn;60-69;981;2022-01-31
820;Vesthimmerland;60-69;679;2022-01-31
825;Læsø;60-69;11;2022-01-31
840;Rebild;60-69;400;2022-01-31
846;Mariagerfjord;60-69;655;2022-01-31
849;Jammerbugt;60-69;532;2022-01-31
851;Aalborg;60-69;2355;2022-01-31
860;Hjørring;60-69;1052;2022-01-31
;;70-79;103;2022-01-31
011;;70-79;8;2022-01-31
019;;70-79;3;2022-01-31
101;København;70-79;4321;2022-01-31
147;Frederiksberg;70-79;1041;2022-01-31
151;Ballerup;70-79;539;2022-01-31
153;Brøndby;70-79;465;2022-01-31
155;Dragør;70-79;229;2022-01-31
157;Gentofte;70-79;910;2022-01-31
159;Gladsaxe;70-79;605;2022-01-31
161;Glostrup;70-79;240;2022-01-31
163;Herlev;70-79;281;2022-01-31
165;Albertslund;70-79;351;2022-01-31
167;Hvidovre;70-79;562;2022-01-31
169;Høje Tåstrup;70-79;528;2022-01-31
173;Lyngby-Taarbæk;70-79;551;2022-01-31
175;Rødovre;70-79;365;2022-01-31
183;Ishøj;70-79;268;2022-01-31
185;Tårnby;70-79;502;2022-01-31
187;Vallensbæk;70-79;212;2022-01-31
190;Furesø;70-79;376;2022-01-31
201;Allerød;70-79;257;2022-01-31
210;Fredensborg;70-79;517;2022-01-31
217;Helsingør;70-79;816;2022-01-31
219;Hillerød;70-79;500;2022-01-31
223;Hørsholm;70-79;379;2022-01-31
230;Rudersdal;70-79;611;2022-01-31
240;Egedal;70-79;520;2022-01-31
250;Frederikssund;70-79;527;2022-01-31
253;Greve;70-79;565;2022-01-31
259;Køge;70-79;587;2022-01-31
260;Halsnæs;70-79;341;2022-01-31
265;Roskilde;70-79;792;2022-01-31
269;Solrød;70-79;265;2022-01-31
270;Gribskov;70-79;513;2022-01-31
306;Odsherred;70-79;307;2022-01-31
316;Holbæk;70-79;585;2022-01-31
320;Faxe;70-79;281;2022-01-31
326;Kalundborg;70-79;430;2022-01-31
329;Ringsted;70-79;257;2022-01-31
330;Slagelse;70-79;637;2022-01-31
336;Stevns;70-79;263;2022-01-31
340;Sorø;70-79;221;2022-01-31
350;Lejre;70-79;226;2022-01-31
360;Lolland;70-79;489;2022-01-31
370;Næstved;70-79;711;2022-01-31
376;Guldborgsund;70-79;640;2022-01-31
390;Vordingborg;70-79;460;2022-01-31
400;Bornholm;70-79;373;2022-01-31
410;Middelfart;70-79;259;2022-01-31
420;Assens;70-79;218;2022-01-31
430;Faaborg-Midtfyn;70-79;372;2022-01-31
440;Kerteminde;70-79;163;2022-01-31
450;Nyborg;70-79;306;2022-01-31
461;Odense;70-79;1250;2022-01-31
479;Svendborg;70-79;468;2022-01-31
480;Nordfyn;70-79;236;2022-01-31
482;Langeland;70-79;127;2022-01-31
492;Ærø;70-79;62;2022-01-31
510;Haderslev;70-79;435;2022-01-31
530;Billund;70-79;200;2022-01-31
540;Sønderborg;70-79;470;2022-01-31
550;Tønder;70-79;258;2022-01-31
561;Esbjerg;70-79;807;2022-01-31
563;Fanø;70-79;50;2022-01-31
573;Varde;70-79;384;2022-01-31
575;Vejen;70-79;267;2022-01-31
580;Aabenraa;70-79;410;2022-01-31
607;Fredericia;70-79;377;2022-01-31
615;Horsens;70-79;539;2022-01-31
621;Kolding;70-79;536;2022-01-31
630;Vejle;70-79;631;2022-01-31
657;Herning;70-79;538;2022-01-31
661;Holstebro;70-79;457;2022-01-31
665;Lemvig;70-79;201;2022-01-31
671;Struer;70-79;203;2022-01-31
706;Syddjurs;70-79;303;2022-01-31
707;Norddjurs;70-79;193;2022-01-31
710;Favrskov;70-79;253;2022-01-31
727;Odder;70-79;137;2022-01-31
730;Randers;70-79;594;2022-01-31
740;Silkeborg;70-79;557;2022-01-31
741;Samsø;70-79;23;2022-01-31
746;Skanderborg;70-79;405;2022-01-31
751;Århus;70-79;1812;2022-01-31
756;Ikast-Brande;70-79;277;2022-01-31
760;Ringkøbing-Skjern;70-79;360;2022-01-31
766;Hedensted;70-79;271;2022-01-31
773;Morsø;70-79;202;2022-01-31
779;Skive;70-79;338;2022-01-31
787;Thisted;70-79;345;2022-01-31
791;Viborg;70-79;576;2022-01-31
810;Brønderslev;70-79;279;2022-01-31
813;Frederikshavn;70-79;511;2022-01-31
820;Vesthimmerland;70-79;402;2022-01-31
825;Læsø;70-79;10;2022-01-31
840;Rebild;70-79;183;2022-01-31
846;Mariagerfjord;70-79;320;2022-01-31
849;Jammerbugt;70-79;312;2022-01-31
851;Aalborg;70-79;1250;2022-01-31
860;Hjørring;70-79;549;2022-01-31
;;80-89;41;2022-01-31
011;;80-89;2;2022-01-31
101;København;80-89;1555;2022-01-31
147;Frederiksberg;80-89;509;2022-01-31
151;Ballerup;80-89;301;2022-01-31
153;Brøndby;80-89;194;2022-01-31
155;Dragør;80-89;93;2022-01-31
157;Gentofte;80-89;346;2022-01-31
159;Gladsaxe;80-89;293;2022-01-31
161;Glostrup;80-89;129;2022-01-31
163;Herlev;80-89;159;2022-01-31
165;Albertslund;80-89;111;2022-01-31
167;Hvidovre;80-89;249;2022-01-31
169;Høje Tåstrup;80-89;205;2022-01-31
173;Lyngby-Taarbæk;80-89;230;2022-01-31
175;Rødovre;80-89;147;2022-01-31
183;Ishøj;80-89;81;2022-01-31
185;Tårnby;80-89;211;2022-01-31
187;Vallensbæk;80-89;81;2022-01-31
190;Furesø;80-89;177;2022-01-31
201;Allerød;80-89;115;2022-01-31
210;Fredensborg;80-89;178;2022-01-31
217;Helsingør;80-89;321;2022-01-31
219;Hillerød;80-89;182;2022-01-31
223;Hørsholm;80-89;147;2022-01-31
230;Rudersdal;80-89;263;2022-01-31
240;Egedal;80-89;170;2022-01-31
250;Frederikssund;80-89;205;2022-01-31
253;Greve;80-89;181;2022-01-31
259;Køge;80-89;159;2022-01-31
260;Halsnæs;80-89;110;2022-01-31
265;Roskilde;80-89;285;2022-01-31
269;Solrød;80-89;69;2022-01-31
270;Gribskov;80-89;205;2022-01-31
306;Odsherred;80-89;91;2022-01-31
316;Holbæk;80-89;172;2022-01-31
320;Faxe;80-89;81;2022-01-31
326;Kalundborg;80-89;160;2022-01-31
329;Ringsted;80-89;112;2022-01-31
330;Slagelse;80-89;271;2022-01-31
336;Stevns;80-89;92;2022-01-31
340;Sorø;80-89;76;2022-01-31
350;Lejre;80-89;72;2022-01-31
360;Lolland;80-89;192;2022-01-31
370;Næstved;80-89;246;2022-01-31
376;Guldborgsund;80-89;255;2022-01-31
390;Vordingborg;80-89;134;2022-01-31
400;Bornholm;80-89;113;2022-01-31
410;Middelfart;80-89;101;2022-01-31
420;Assens;80-89;73;2022-01-31
430;Faaborg-Midtfyn;80-89;110;2022-01-31
440;Kerteminde;80-89;66;2022-01-31
450;Nyborg;80-89;113;2022-01-31
461;Odense;80-89;419;2022-01-31
479;Svendborg;80-89;141;2022-01-31
480;Nordfyn;80-89;92;2022-01-31
482;Langeland;80-89;26;2022-01-31
492;Ærø;80-89;10;2022-01-31
510;Haderslev;80-89;168;2022-01-31
530;Billund;80-89;62;2022-01-31
540;Sønderborg;80-89;189;2022-01-31
550;Tønder;80-89;75;2022-01-31
561;Esbjerg;80-89;284;2022-01-31
563;Fanø;80-89;7;2022-01-31
573;Varde;80-89;112;2022-01-31
575;Vejen;80-89;116;2022-01-31
580;Aabenraa;80-89;157;2022-01-31
607;Fredericia;80-89;148;2022-01-31
615;Horsens;80-89;160;2022-01-31
621;Kolding;80-89;180;2022-01-31
630;Vejle;80-89;210;2022-01-31
657;Herning;80-89;207;2022-01-31
661;Holstebro;80-89;163;2022-01-31
665;Lemvig;80-89;62;2022-01-31
671;Struer;80-89;62;2022-01-31
706;Syddjurs;80-89;86;2022-01-31
707;Norddjurs;80-89;70;2022-01-31
710;Favrskov;80-89;75;2022-01-31
727;Odder;80-89;50;2022-01-31
730;Randers;80-89;183;2022-01-31
740;Silkeborg;80-89;140;2022-01-31
741;Samsø;80-89;6;2022-01-31
746;Skanderborg;80-89;127;2022-01-31
751;Århus;80-89;639;2022-01-31
756;Ikast-Brande;80-89;107;2022-01-31
760;Ringkøbing-Skjern;80-89;131;2022-01-31
766;Hedensted;80-89;103;2022-01-31
773;Morsø;80-89;56;2022-01-31
779;Skive;80-89;91;2022-01-31
787;Thisted;80-89;133;2022-01-31
791;Viborg;80-89;192;2022-01-31
810;Brønderslev;80-89;80;2022-01-31
813;Frederikshavn;80-89;152;2022-01-31
820;Vesthimmerland;80-89;162;2022-01-31
825;Læsø;80-89;2;2022-01-31
840;Rebild;80-89;62;2022-01-31
846;Mariagerfjord;80-89;142;2022-01-31
849;Jammerbugt;80-89;113;2022-01-31
851;Aalborg;80-89;426;2022-01-31
860;Hjørring;80-89;213;2022-01-31
;;90+;28;2022-01-31
101;København;90+;502;2022-01-31
147;Frederiksberg;90+;204;2022-01-31
151;Ballerup;90+;41;2022-01-31
153;Brøndby;90+;45;2022-01-31
155;Dragør;90+;21;2022-01-31
157;Gentofte;90+;124;2022-01-31
159;Gladsaxe;90+;113;2022-01-31
161;Glostrup;90+;43;2022-01-31
163;Herlev;90+;60;2022-01-31
165;Albertslund;90+;10;2022-01-31
167;Hvidovre;90+;74;2022-01-31
169;Høje Tåstrup;90+;46;2022-01-31
173;Lyngby-Taarbæk;90+;133;2022-01-31
175;Rødovre;90+;51;2022-01-31
183;Ishøj;90+;12;2022-01-31
185;Tårnby;90+;89;2022-01-31
187;Vallensbæk;90+;16;2022-01-31
190;Furesø;90+;53;2022-01-31
201;Allerød;90+;35;2022-01-31
210;Fredensborg;90+;43;2022-01-31
217;Helsingør;90+;82;2022-01-31
219;Hillerød;90+;28;2022-01-31
223;Hørsholm;90+;60;2022-01-31
230;Rudersdal;90+;94;2022-01-31
240;Egedal;90+;25;2022-01-31
250;Frederikssund;90+;30;2022-01-31
253;Greve;90+;21;2022-01-31
259;Køge;90+;36;2022-01-31
260;Halsnæs;90+;18;2022-01-31
265;Roskilde;90+;64;2022-01-31
269;Solrød;90+;18;2022-01-31
270;Gribskov;90+;54;2022-01-31
306;Odsherred;90+;13;2022-01-31
316;Holbæk;90+;48;2022-01-31
320;Faxe;90+;17;2022-01-31
326;Kalundborg;90+;34;2022-01-31
329;Ringsted;90+;30;2022-01-31
330;Slagelse;90+;77;2022-01-31
336;Stevns;90+;25;2022-01-31
340;Sorø;90+;18;2022-01-31
350;Lejre;90+;13;2022-01-31
360;Lolland;90+;48;2022-01-31
370;Næstved;90+;52;2022-01-31
376;Guldborgsund;90+;79;2022-01-31
390;Vordingborg;90+;28;2022-01-31
400;Bornholm;90+;20;2022-01-31
410;Middelfart;90+;17;2022-01-31
420;Assens;90+;14;2022-01-31
430;Faaborg-Midtfyn;90+;26;2022-01-31
440;Kerteminde;90+;10;2022-01-31
450;Nyborg;90+;21;2022-01-31
461;Odense;90+;91;2022-01-31
479;Svendborg;90+;48;2022-01-31
480;Nordfyn;90+;18;2022-01-31
482;Langeland;90+;4;2022-01-31
492;Ærø;90+;3;2022-01-31
510;Haderslev;90+;30;2022-01-31
530;Billund;90+;32;2022-01-31
540;Sønderborg;90+;35;2022-01-31
550;Tønder;90+;18;2022-01-31
561;Esbjerg;90+;69;2022-01-31
573;Varde;90+;41;2022-01-31
575;Vejen;90+;14;2022-01-31
580;Aabenraa;90+;36;2022-01-31
607;Fredericia;90+;17;2022-01-31
615;Horsens;90+;41;2022-01-31
621;Kolding;90+;29;2022-01-31
630;Vejle;90+;43;2022-01-31
657;Herning;90+;51;2022-01-31
661;Holstebro;90+;32;2022-01-31
665;Lemvig;90+;9;2022-01-31
671;Struer;90+;11;2022-01-31
706;Syddjurs;90+;26;2022-01-31
707;Norddjurs;90+;10;2022-01-31
710;Favrskov;90+;20;2022-01-31
727;Odder;90+;9;2022-01-31
730;Randers;90+;59;2022-01-31
740;Silkeborg;90+;28;2022-01-31
741;Samsø;90+;7;2022-01-31
746;Skanderborg;90+;35;2022-01-31
751;Århus;90+;170;2022-01-31
756;Ikast-Brande;90+;28;2022-01-31
760;Ringkøbing-Skjern;90+;32;2022-01-31
766;Hedensted;90+;23;2022-01-31
773;Morsø;90+;23;2022-01-31
779;Skive;90+;31;2022-01-31
787;Thisted;90+;25;2022-01-31
791;Viborg;90+;58;2022-01-31
810;Brønderslev;90+;11;2022-01-31
813;Frederikshavn;90+;25;2022-01-31
820;Vesthimmerland;90+;42;2022-01-31
825;Læsø;90+;1;2022-01-31
840;Rebild;90+;19;2022-01-31
846;Mariagerfjord;90+;35;2022-01-31
849;Jammerbugt;90+;14;2022-01-31
851;Aalborg;90+;97;2022-01-31
860;Hjørring;90+;42;2022-01-31
