"Kommune";"Kommunenavn";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;København;26867;103153;26,05
147;Frederiksberg;4233;15935;26,56
151;Ballerup;2472;9705;25,47
153;Brøndby;1669;6368;26,21
155;Dragør;609;2738;22,24
157;Gentofte;3611;12887;28,02
159;Gladsaxe;3244;12420;26,12
161;Glostrup;1055;4352;24,24
163;Herlev;1337;5349;25,00
165;Albertslund;1100;4780;23,01
167;Hvidovre;2642;10418;25,36
169;Høje Tåstrup;2607;10655;24,47
173;Lyngby-Taarbæk;2940;9854;29,84
175;Rødovre;1887;7485;25,21
183;Ishøj;1117;4599;24,29
185;Tårnby;2017;8585;23,49
187;Vallensbæk;943;3406;27,69
190;Furesø;2527;8649;29,22
201;Allerød;1575;5673;27,76
210;Fredensborg;2003;7330;27,33
217;Helsingør;3040;11161;27,24
219;Hillerød;3025;12277;24,64
223;Hørsholm;1238;4128;29,99
230;Rudersdal;2913;10059;28,96
240;Egedal;2350;9091;25,85
250;Frederikssund;2559;9130;28,03
253;Greve;2813;10930;25,74
259;Køge;3013;12151;24,80
260;Halsnæs;1492;5705;26,15
265;Roskilde;4584;18074;25,36
269;Solrød;1391;5175;26,88
270;Gribskov;1688;7341;22,99
306;Odsherred;1032;4841;21,32
316;Holbæk;3315;12773;25,95
320;Faxe;1770;6990;25,32
326;Kalundborg;1907;7347;25,96
329;Ringsted;1547;6076;25,46
330;Slagelse;3826;14784;25,88
336;Stevns;1290;4664;27,66
340;Sorø;1293;5166;25,03
350;Lejre;1399;5623;24,88
360;Lolland;1742;9783;17,81
370;Næstved;4218;17319;24,35
376;Guldborgsund;3446;14308;24,08
390;Vordingborg;2247;8457;26,57
400;Bornholm;1879;10012;18,77
410;Middelfart;2005;7818;25,65
411;;0;9;0,00
420;Assens;2060;7391;27,87
430;Faaborg-Midtfyn;2664;10239;26,02
440;Kerteminde;1207;5038;23,96
450;Nyborg;1682;7192;23,39
461;Odense;11503;45055;25,53
479;Svendborg;3034;13194;23,00
480;Nordfyn;1788;6048;29,56
482;Langeland;425;2071;20,52
492;Ærø;147;944;15,57
510;Haderslev;3126;11561;27,04
530;Billund;1552;5802;26,75
540;Sønderborg;3452;16952;20,36
550;Tønder;1429;6818;20,96
561;Esbjerg;6615;22520;29,37
563;Fanø;115;566;20,32
573;Varde;2825;8964;31,51
575;Vejen;2237;7332;30,51
580;Aabenraa;2635;13164;20,02
607;Fredericia;2466;9831;25,08
615;Horsens;4664;17957;25,97
621;Kolding;4525;17047;26,54
630;Vejle;6087;27102;22,46
657;Herning;4982;17901;27,83
661;Holstebro;3134;13046;24,02
665;Lemvig;714;3214;22,22
671;Struer;968;4102;23,60
706;Syddjurs;2021;7132;28,34
707;Norddjurs;1362;5376;25,33
710;Favrskov;2869;9756;29,41
727;Odder;943;4019;23,46
730;Randers;4755;16661;28,54
740;Silkeborg;5218;18038;28,93
741;Samsø;55;285;19,30
746;Skanderborg;4170;13465;30,97
751;Århus;17744;59180;29,98
756;Ikast-Brande;1975;7847;25,17
760;Ringkøbing-Skjern;2470;9683;25,51
766;Hedensted;2069;8472;24,42
773;Morsø;803;3339;24,05
779;Skive;1770;7512;23,56
787;Thisted;1749;7330;23,86
791;Viborg;3958;16275;24,32
810;Brønderslev;1782;6856;25,99
813;Frederikshavn;2649;10321;25,67
820;Vesthimmerland;1578;6380;24,73
825;Læsø;32;324;9,88
840;Rebild;1687;5882;28,68
846;Mariagerfjord;2218;8052;27,55
849;Jammerbugt;1835;7370;24,90
851;Aalborg;10605;39440;26,89
860;Hjørring;3537;11678;30,29
