method,number_cluster,iteration_avg,random_seed_avg,silhouette_score_avg,ch_score_avg,model_specific_score_avg,db_score_avg,iteration_std,random_seed_std,silhouette_score_std,ch_score_std,model_specific_score_std,db_score_std
gmm_diag,2,4.5,82.3,0.15404232544773472,8395.948853247373,-106780.78941778265,2.2865983443954776,3.0276503540974917,37.288812739956676,1.4458184435474535e-05,0.1557879351147557,0.2557305281075381,1.821964440309372e-05
gmm_diag,3,4.5,82.3,0.05982807363926061,5102.507454456564,-122798.35402403676,2.9374801560423585,3.0276503540974917,37.288812739956676,0.00010865410867288545,8.204586516780227,17.730509467918942,0.0041704691939955215
gmm_diag,4,4.5,82.3,0.0328284834751645,4137.412071021316,-155762.3055791965,4.260518233571831,3.0276503540974917,37.288812739956676,0.009942589472987363,170.86090587449863,175.2051153814613,0.3589522300304633
gmm_diag,5,4.5,82.3,0.030628838225116674,3825.5692516828917,-162517.76939981594,3.603398578137349,3.0276503540974917,37.288812739956676,0.0003907758454983482,11.359147794622123,17.254491757818236,0.0028037722774094023
gmm_diag,6,4.5,82.3,0.036471095808327,3699.6270040323825,-167213.94409379672,3.2277207257690312,3.0276503540974917,37.288812739956676,0.001934895318035644,39.85773863415883,78.19584946527377,0.016232889028833953
gmm_diag,7,4.5,82.3,0.012707916681002091,3340.914431567934,-169848.0989998541,3.3730752369715353,3.0276503540974917,37.288812739956676,0.00402710648834565,39.90983171306645,180.01382091780584,0.24344033170842896
gmm_full,2,4.5,82.3,0.1606350113934199,6214.9437015050335,-124545.5614317504,2.6397316546767238,3.0276503540974917,37.288812739956676,2.255505413819425e-05,1.0151367291899456,0.2412136392044188,0.0002796574366707404
gmm_full,3,4.5,82.3,0.02326773698121504,4081.543175109492,-132894.76863005507,3.760981468462505,3.0276503540974917,37.288812739956676,0.00035495609038562473,3.2430235607530156,11.474658821848854,0.007945736344752529
gmm_full,4,4.5,82.3,0.02152241620085665,3469.6741315970985,-168078.35839512112,3.335829717654929,3.0276503540974917,37.288812739956676,0.003506448402535071,53.91578388570893,53.79099268094677,0.1310853082538944
gmm_full,5,4.5,82.3,0.01777507047858744,3349.100579506554,-172543.73286716596,3.423489916249185,3.0276503540974917,37.288812739956676,0.0010537030274134231,34.49626565393877,137.55700437132973,0.023960986456134165
gmm_full,6,4.5,82.3,0.016144981071902438,3060.8037112028487,-174776.03120243349,3.3298548713581875,3.0276503540974917,37.288812739956676,0.004329231200230931,31.161922898376393,106.01486167842671,0.10155953430336236
gmm_full,7,4.5,82.3,0.00012165288705980002,2805.522913751674,-176759.63500382626,3.7678109030334914,3.0276503540974917,37.288812739956676,0.0010486767094642169,36.12538110335365,150.57496214020006,0.12147786172216417
gmm_spherical,2,4.5,82.3,0.21445384094172582,8601.312786784174,-76747.24473893268,2.2081188453210467,3.0276503540974917,37.288812739956676,0.00020587532571224895,1.2113146073161942,0.8062190835883707,0.0005465264809159588
gmm_spherical,3,4.5,82.3,0.12643859038954308,8308.001005538614,-86753.70420292202,1.904118934814523,3.0276503540974917,37.288812739956676,2.8499644212563576e-05,1.584772595288203,1.1167369858359466,0.0003890930000535244
gmm_spherical,4,4.5,82.3,0.0873388316652482,6386.895910768557,-93640.54946638437,2.445446310897525,3.0276503540974917,37.288812739956676,0.0012602295912588221,11.473054303864494,7.5339019989450815,0.011922403693775997
gmm_spherical,5,4.5,82.3,0.10716312961375189,6240.1413804133135,-96871.47547044148,2.1743517418239255,3.0276503540974917,37.288812739956676,0.002063447014022895,82.97615703598896,119.90326022076604,0.022761193937767397
gmm_spherical,6,4.5,82.3,0.11528860587100061,5915.581552008968,-99880.94611843882,1.96045983863083,3.0276503540974917,37.288812739956676,0.004235300999154895,116.09099218248811,21.417767280107963,0.02914910662938064
gmm_spherical,7,4.5,82.3,0.11058125909300236,5777.7068715691785,-102746.94790487259,1.8251206381333092,3.0276503540974917,37.288812739956676,0.01247342698284996,260.85218942403577,552.2009240126874,0.05490539219169293
gmm_tied,2,4.5,82.3,0.2412293757331641,3584.091230621103,-103726.8761894575,1.8119642607869193,3.0276503540974917,37.288812739956676,0.00021693387004388076,6.826682197122895,4.404258480490033,0.0018005769130307015
gmm_tied,3,4.5,82.3,0.15435265369871395,5630.825073158815,-106471.89661741613,1.9905876939028335,3.0276503540974917,37.288812739956676,0.026097111950711977,854.1472883516922,4758.468125884932,0.061255186661725546
gmm_tied,4,4.5,82.3,0.14602129536216796,5713.558214972358,-115612.8950157429,1.8552467711314335,3.0276503540974917,37.288812739956676,4.537329250056341e-05,2.2027995329020578,1.3218781259571837,0.0014911443905682516
gmm_tied,5,4.5,82.3,0.14055089117218883,5963.457927441795,-116744.85487966538,1.801542491044319,3.0276503540974917,37.288812739956676,0.003384895735850197,492.64659339666497,847.8762991223234,0.014859455960998044
gmm_tied,6,4.5,82.3,0.1272207218343247,5196.165012816773,-117723.75589904448,1.773999745404255,3.0276503540974917,37.288812739956676,0.0003087310231106608,14.539931871263837,23.282083185505897,0.0006074006531228369
gmm_tied,7,4.5,82.3,0.10852080300606604,4967.978452305504,-118103.41034243061,1.858732663702657,3.0276503540974917,37.288812739956676,0.008527928001902108,301.5420695973704,587.5562544569814,0.12716233888382977
kmeans,2,4.5,82.3,0.18684194873080903,10527.375674394241,9059.160884391144,1.9997064897292192,3.0276503540974917,37.288812739956676,9.418790410606699e-05,0.39890953118169653,0.0021477263097217274,0.0003381567939669071
kmeans,3,4.5,82.3,0.15421455090150318,9624.55192223238,7948.7914121322565,1.7933117273627264,3.0276503540974917,37.288812739956676,8.652077586103024e-05,1.761417617074854,0.015702736644774454,0.0009194243443108259
kmeans,4,4.5,82.3,0.15814810636312782,8108.818838223005,7356.810245178271,1.7996114526321432,3.0276503540974917,37.288812739956676,2.9780491817959693e-05,0.7873894657344643,0.04264683889800169,0.0023427479108222887
kmeans,5,4.5,82.3,0.14318936946686409,7360.756207096124,6873.156052179305,1.7417484357979913,3.0276503540974917,37.288812739956676,0.003217664184203477,5.880826639912813,6.543924649717034,0.01455763113773114
kmeans,6,4.5,82.3,0.1503098925531214,6973.018262081112,6437.561188056265,1.6763608650444208,3.0276503540974917,37.288812739956676,0.00031610131364108923,0.6397674152649212,0.13021464267718763,0.0027846515432834416
kmeans,7,4.5,82.3,0.13996143477379333,6652.5027549194365,6082.029118263925,1.6260506457457062,3.0276503540974917,37.288812739956676,0.00031588036395976797,3.9146418255158615,0.05781925724633081,0.008199535342441404
nnmf,2,4.5,82.3,0.27977599726362,3920.6694585258288,77.34843106213707,1.5350781788845649,3.0276503540974917,37.288812739956676,0.05075191762417799,1256.9219732399197,0.00033423405581654343,0.29596640993097795
