,group
0,5
1,5
2,1
3,0
4,0
5,4
6,1
7,2
8,1
9,2
10,2
11,5
12,1
13,1
14,1
15,4
16,1
17,1
18,5
19,2
20,1
21,2
22,2
23,3
24,4
25,0
26,2
27,5
28,0
29,0
30,1
31,0
32,0
33,2
34,1
35,1
36,1
37,0
38,2
39,1
40,0
41,0
42,1
43,1
44,2
45,1
46,5
47,0
48,3
49,5
50,1
51,0
52,3
53,3
54,0
55,5
56,0
57,3
58,2
59,4
60,3
61,0
62,0
63,1
64,0
65,0
66,1
67,1
68,4
69,0
70,0
71,0
72,0
73,2
74,4
75,1
76,2
77,1
78,3
79,2
80,4
81,4
82,2
83,3
84,1
85,3
86,2
87,3
88,1
89,1
90,3
91,3
92,0
93,4
94,1
95,5
96,0
97,4
98,0
99,1
100,2
101,1
102,1
103,2
104,1
105,1
106,5
107,0
108,1
109,3
110,0
111,5
112,3
113,0
114,5
115,0
116,3
117,5
118,4
119,1
120,3
121,4
122,3
123,3
124,5
125,3
126,3
127,1
128,1
129,2
130,1
131,1
132,0
133,3
134,4
135,3
136,3
137,4
138,4
139,0
140,0
141,4
142,0
143,0
144,1
145,4
146,3
147,0
148,0
149,1
150,0
151,1
152,4
153,0
154,3
155,3
156,1
157,0
158,0
159,0
160,3
161,3
162,1
163,0
164,5
165,1
166,1
167,2
168,0
169,3
170,1
171,1
172,0
173,5
174,3
175,0
176,3
177,0
178,0
179,2
180,2
181,2
182,2
183,0
184,4
185,1
186,1
187,4
188,2
189,3
190,1
191,1
192,1
193,0
194,4
195,3
196,0
197,5
198,2
199,0
200,1
201,1
202,1
203,0
204,3
205,3
206,0
207,0
208,1
209,2
210,3
211,3
212,2
213,1
214,3
215,1
216,3
217,4
218,3
219,0
220,1
221,3
222,4
223,4
224,1
225,0
226,2
227,4
228,0
229,1
230,4
231,1
232,0
233,1
234,0
235,3
236,3
237,2
238,2
239,0
240,4
241,1
242,0
243,4
244,0
245,0
246,4
247,3
248,2
249,2
250,4
251,1
252,4
253,5
254,1
255,5
256,3
257,3
258,1
259,5
260,2
261,4
262,0
263,0
264,1
265,2
266,2
267,1
268,3
269,1
270,4
271,4
272,4
273,2
274,4
275,1
276,5
277,2
278,2
279,5
280,0
281,1
282,3
283,0
284,0
285,0
286,4
287,1
288,3
289,2
290,0
291,3
292,3
293,3
294,0
295,2
296,3
297,4
298,0
299,1
300,5
301,1
302,1
303,3
304,4
305,1
306,1
307,1
308,3
309,5
310,5
311,1
312,4
313,3
314,1
315,0
316,1
317,0
318,0
319,0
320,3
321,0
322,0
323,1
324,0
325,1
326,0
327,2
328,2
329,0
330,1
331,3
332,1
333,0
334,1
335,0
336,3
337,0
338,1
339,3
340,3
341,5
342,0
343,5
344,5
345,5
346,4
347,0
348,1
349,3
350,0
351,0
352,1
353,1
354,3
355,1
356,3
357,3
358,3
359,0
360,0
361,1
362,4
363,2
364,1
365,5
366,3
367,0
368,0
369,1
370,1
371,0
372,0
373,2
374,1
375,2
376,2
377,5
378,0
379,0
380,0
381,1
382,2
383,0
384,3
385,2
386,4
387,2
388,2
389,0
390,1
391,1
392,0
393,0
394,4
395,2
396,2
397,4
398,1
399,1
400,1
401,4
402,1
403,1
404,4
405,4
406,1
407,1
408,1
409,0
410,0
411,1
412,3
413,2
414,0
415,2
416,0
417,1
418,2
419,5
420,4
421,1
422,3
423,1
424,3
425,1
426,1
427,3
428,1
429,0
430,0
431,0
432,0
433,5
434,3
435,4
436,0
437,5
438,1
439,1
440,1
441,4
442,1
443,1
444,1
445,2
446,1
447,1
448,3
449,1
450,3
451,0
452,1
453,1
454,4
455,3
456,1
457,2
458,3
459,3
460,1
461,3
462,3
463,4
464,1
465,5
466,5
467,3
468,3
469,0
470,1
471,3
472,1
473,3
474,3
475,0
476,1
477,1
478,2
479,0
480,3
481,3
482,2
483,2
484,0
485,4
486,1
487,2
488,1
489,4
490,1
491,3
492,0
493,1
494,1
495,3
496,2
497,4
498,0
499,0
500,1
501,2
502,3
503,3
504,5
505,0
506,2
507,1
508,0
509,2
510,0
511,5
512,1
513,3
514,2
515,0
516,2
517,1
518,0
519,5
520,0
521,2
522,0
523,2
524,1
525,3
526,2
527,2
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,3
538,1
539,0
540,2
541,1
542,4
543,4
544,3
545,1
546,0
547,2
548,1
549,0
550,2
551,4
552,4
553,4
554,1
555,2
556,3
557,5
558,2
559,1
560,5
561,2
562,4
563,3
564,5
565,0
